#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024303,64871766,KIV66_gp02,KIV66_gp02,SEA_MYRADEE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
2024303,64871767,KIV66_gp03,KIV66_gp03,SEA_MYRADEE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024303,64871768,KIV66_gp04,KIV66_gp04,SEA_MYRADEE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024303,64871769,KIV66_gp05,KIV66_gp05,SEA_MYRADEE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024303,64871770,KIV66_gp06,KIV66_gp06,SEA_MYRADEE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024303,64871771,KIV66_gp07,KIV66_gp07,SEA_MYRADEE_7,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
2024303,64871772,KIV66_gp08,KIV66_gp08,SEA_MYRADEE_8,-,-,-,holin,protein-coding,-,-,-,holin,20210515,-
2024303,64871773,KIV66_gp09,KIV66_gp09,SEA_MYRADEE_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210515,-
2024303,64871774,KIV66_gp10,KIV66_gp10,SEA_MYRADEE_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2024303,64871775,KIV66_gp11,KIV66_gp11,SEA_MYRADEE_11,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210515,-
2024303,64871776,KIV66_gp12,KIV66_gp12,SEA_MYRADEE_12,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210515,-
2024303,64871777,KIV66_gp13,KIV66_gp13,SEA_MYRADEE_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210515,-
2024303,64871778,KIV66_gp14,KIV66_gp14,SEA_MYRADEE_14,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210515,-
2024303,64871779,KIV66_gp15,KIV66_gp15,SEA_MYRADEE_15,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210515,-
2024303,64871780,KIV66_gp16,KIV66_gp16,SEA_MYRADEE_16,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210515,-
2024303,64871781,KIV66_gp17,KIV66_gp17,SEA_MYRADEE_17,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210515,-
2024303,64871782,KIV66_gp18,KIV66_gp18,SEA_MYRADEE_18,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210515,-
2024303,64871783,KIV66_gp19,KIV66_gp19,SEA_MYRADEE_19,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210515,-
2024303,64871784,KIV66_gp20,KIV66_gp20,SEA_MYRADEE_20,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210515,-
2024303,64871785,KIV66_gp21,KIV66_gp21,SEA_MYRADEE_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2024303,64871786,KIV66_gp23,KIV66_gp23,SEA_MYRADEE_23,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210515,-
2024303,64871787,KIV66_gp22,KIV66_gp22,SEA_MYRADEE_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2024303,64871788,KIV66_gp24,KIV66_gp24,SEA_MYRADEE_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2024303,64871789,KIV66_gp25,KIV66_gp25,SEA_MYRADEE_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
