#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2530143,63925834,2,KDW71_gp02,SEA_RABBS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210515,-
2530143,63925835,3,KDW71_gp03,SEA_RABBS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2530143,63925836,4,KDW71_gp04,SEA_RABBS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210422,-
2530143,63925837,5,KDW71_gp05,SEA_RABBS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925838,6,KDW71_gp06,SEA_RABBS_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210422,-
2530143,63925839,7,KDW71_gp07,SEA_RABBS_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210422,-
2530143,63925840,8,KDW71_gp08,SEA_RABBS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925841,9,KDW71_gp09,SEA_RABBS_9,-,-,-,HTH adaptor,protein-coding,-,-,-,HTH adaptor,20210422,-
2530143,63925842,10,KDW71_gp10,SEA_RABBS_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210422,-
2530143,63925843,11,KDW71_gp11,SEA_RABBS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925844,12,KDW71_gp12,SEA_RABBS_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210422,-
2530143,63925845,13,KDW71_gp13,SEA_RABBS_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210422,-
2530143,63925846,15,KDW71_gp14,SEA_RABBS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2530143,63925847,16,KDW71_gp16,SEA_RABBS_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210422,-
2530143,63925848,17,KDW71_gp17,SEA_RABBS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2530143,63925849,18,KDW71_gp18,SEA_RABBS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2530143,63925850,19,KDW71_gp19,SEA_RABBS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2530143,63925851,20,KDW71_gp20,SEA_RABBS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2530143,63925852,21,KDW71_gp21,SEA_RABBS_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2530143,63925853,22,KDW71_gp22,SEA_RABBS_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2530143,63925854,23,KDW71_gp23,SEA_RABBS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925855,24,KDW71_gp24,SEA_RABBS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925856,25,KDW71_gp25,SEA_RABBS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925857,26,KDW71_gp26,SEA_RABBS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925858,27,KDW71_gp27,SEA_RABBS_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210422,-
2530143,63925859,28,KDW71_gp28,SEA_RABBS_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210422,-
2530143,63925860,29,KDW71_gp29,SEA_RABBS_29,-,-,-,holin,protein-coding,-,-,-,holin,20210422,-
2530143,63925861,30,KDW71_gp30,SEA_RABBS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925862,31,KDW71_gp31,SEA_RABBS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925863,32,KDW71_gp32,SEA_RABBS_32,-,-,-,integrase,protein-coding,-,-,-,integrase,20210422,-
2530143,63925864,33,KDW71_gp33,SEA_RABBS_33,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210422,-
2530143,63925865,34,KDW71_gp34,SEA_RABBS_34,-,-,-,excise,protein-coding,-,-,-,excise,20210422,-
2530143,63925866,35,KDW71_gp35,SEA_RABBS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925867,36,KDW71_gp36,SEA_RABBS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925868,37,KDW71_gp37,SEA_RABBS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925869,38,KDW71_gp38,SEA_RABBS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925870,39,KDW71_gp39,SEA_RABBS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925871,40,KDW71_gp40,SEA_RABBS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925872,41,KDW71_gp41,SEA_RABBS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925873,43,KDW71_gp43,SEA_RABBS_43,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210422,-
2530143,63925874,44,KDW71_gp44,SEA_RABBS_44,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210422,-
2530143,63925875,45,KDW71_gp45,SEA_RABBS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925876,46,KDW71_gp46,SEA_RABBS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925877,47,KDW71_gp47,SEA_RABBS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925878,49,KDW71_gp49,SEA_RABBS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925879,50,KDW71_gp50,SEA_RABBS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925880,51,KDW71_gp51,SEA_RABBS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925881,52,KDW71_gp52,SEA_RABBS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925882,53,KDW71_gp53,SEA_RABBS_53,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210422,-
2530143,63925883,54,KDW71_gp54,SEA_RABBS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925884,55,KDW71_gp55,SEA_RABBS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925885,56,KDW71_gp56,SEA_RABBS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925886,57,KDW71_gp57,SEA_RABBS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925887,58,KDW71_gp58,SEA_RABBS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925888,59,KDW71_gp59,SEA_RABBS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925889,60,KDW71_gp60,SEA_RABBS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925890,61,KDW71_gp61,SEA_RABBS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925891,62,KDW71_gp62,SEA_RABBS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925892,63,KDW71_gp63,SEA_RABBS_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210422,-
2530143,63925893,64,KDW71_gp64,SEA_RABBS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925894,65,KDW71_gp65,SEA_RABBS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925895,14,KDW71_gp15,SEA_RABBS_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2530143,63925896,42,KDW71_gp42,SEA_RABBS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925897,48,KDW71_gp48,SEA_RABBS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2530143,63925898,1,KDW71_gp01,SEA_RABBS_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210422,-
2530143,64409751,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
