#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059880,54987116,HOS57_gp02,HOS57_gp02,SEA_ABBEYMIKOLON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2059880,54987117,HOS57_gp03,HOS57_gp03,SEA_ABBEYMIKOLON_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2059880,54987118,HOS57_gp04,HOS57_gp04,SEA_ABBEYMIKOLON_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2059880,54987119,HOS57_gp05,HOS57_gp05,SEA_ABBEYMIKOLON_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
2059880,54987120,HOS57_gp06,HOS57_gp06,SEA_ABBEYMIKOLON_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
2059880,54987121,HOS57_gp07,HOS57_gp07,SEA_ABBEYMIKOLON_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987122,HOS57_gp08,HOS57_gp08,SEA_ABBEYMIKOLON_8,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200910,-
2059880,54987123,HOS57_gp09,HOS57_gp09,SEA_ABBEYMIKOLON_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200910,-
2059880,54987124,HOS57_gp11,HOS57_gp11,SEA_ABBEYMIKOLON_11,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200910,-
2059880,54987125,HOS57_gp12,HOS57_gp12,SEA_ABBEYMIKOLON_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2059880,54987126,HOS57_gp13,HOS57_gp13,SEA_ABBEYMIKOLON_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2059880,54987127,HOS57_gp15,HOS57_gp15,SEA_ABBEYMIKOLON_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210123,-
2059880,54987128,HOS57_gp14,HOS57_gp14,SEA_ABBEYMIKOLON_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2059880,54987129,HOS57_gp16,HOS57_gp16,SEA_ABBEYMIKOLON_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987130,HOS57_gp17,HOS57_gp17,SEA_ABBEYMIKOLON_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987131,HOS57_gp18,HOS57_gp18,SEA_ABBEYMIKOLON_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2059880,54987132,HOS57_gp19,HOS57_gp19,SEA_ABBEYMIKOLON_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987133,HOS57_gp20,HOS57_gp20,SEA_ABBEYMIKOLON_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987134,HOS57_gp21,HOS57_gp21,SEA_ABBEYMIKOLON_21,-,-,-,lysin,protein-coding,-,-,-,lysin,20210403,-
2059880,54987135,HOS57_gp22,HOS57_gp22,SEA_ABBEYMIKOLON_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059880,54987136,HOS57_gp23,HOS57_gp23,SEA_ABBEYMIKOLON_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987137,HOS57_gp24,HOS57_gp24,SEA_ABBEYMIKOLON_24,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210403,-
2059880,54987138,HOS57_gp25,HOS57_gp25,SEA_ABBEYMIKOLON_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987139,HOS57_gp26,HOS57_gp26,SEA_ABBEYMIKOLON_26,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
2059880,54987140,HOS57_gp27,HOS57_gp27,SEA_ABBEYMIKOLON_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987141,HOS57_gp28,HOS57_gp28,SEA_ABBEYMIKOLON_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987142,HOS57_gp29,HOS57_gp29,SEA_ABBEYMIKOLON_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987143,HOS57_gp30,HOS57_gp30,SEA_ABBEYMIKOLON_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987144,HOS57_gp31,HOS57_gp31,SEA_ABBEYMIKOLON_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059880,54987145,HOS57_gp32,HOS57_gp32,SEA_ABBEYMIKOLON_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987146,HOS57_gp33,HOS57_gp33,SEA_ABBEYMIKOLON_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987147,HOS57_gp34,HOS57_gp34,SEA_ABBEYMIKOLON_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987148,HOS57_gp35,HOS57_gp35,SEA_ABBEYMIKOLON_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987149,HOS57_gp36,HOS57_gp36,SEA_ABBEYMIKOLON_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059880,54987150,HOS57_gp37,HOS57_gp37,SEA_ABBEYMIKOLON_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987151,HOS57_gp39,HOS57_gp39,SEA_ABBEYMIKOLON_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987152,HOS57_gp40,HOS57_gp40,SEA_ABBEYMIKOLON_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987153,HOS57_gp41,HOS57_gp41,SEA_ABBEYMIKOLON_41,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2059880,54987154,HOS57_gp42,HOS57_gp42,SEA_ABBEYMIKOLON_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987155,HOS57_gp43,HOS57_gp43,SEA_ABBEYMIKOLON_43,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210403,-
2059880,54987156,HOS57_gp44,HOS57_gp44,SEA_ABBEYMIKOLON_44,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2059880,54987157,HOS57_gp45,HOS57_gp45,SEA_ABBEYMIKOLON_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059880,54987158,HOS57_gp46,HOS57_gp46,SEA_ABBEYMIKOLON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987159,HOS57_gp47,HOS57_gp47,SEA_ABBEYMIKOLON_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987160,HOS57_gp48,HOS57_gp48,SEA_ABBEYMIKOLON_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
