#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2231343,54995582,HOT60_gp001,HOT60_gp001,-,-,-,-,small terminase,protein-coding,-,-,-,small terminase,20200910,-
2231343,54995583,HOT60_gp163,HOT60_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995584,HOT60_gt003,HOT60_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995585,HOT60_gp157,HOT60_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2231343,54995586,HOT60_gp155,HOT60_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995587,HOT60_gp152,HOT60_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2231343,54995588,HOT60_gt007,HOT60_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995589,HOT60_gt008,HOT60_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995590,HOT60_gp151,HOT60_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995591,HOT60_gt010,HOT60_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995592,HOT60_gp148,HOT60_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995593,HOT60_gp147,HOT60_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995594,HOT60_gt013,HOT60_gt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995595,HOT60_gt014,HOT60_gt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995596,HOT60_gt015,HOT60_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995597,HOT60_gp146,HOT60_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995598,HOT60_gt017,HOT60_gt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995599,HOT60_gp144,HOT60_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995600,HOT60_gt019,HOT60_gt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995601,HOT60_gt020,HOT60_gt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995602,HOT60_gp143,HOT60_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995603,HOT60_gt022,HOT60_gt022,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995604,HOT60_gp142,HOT60_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995605,HOT60_gt024,HOT60_gt024,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995606,HOT60_gp141,HOT60_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995607,HOT60_gt026,HOT60_gt026,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995608,HOT60_gt027,HOT60_gt027,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995609,HOT60_gp140,HOT60_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995610,HOT60_gp138,HOT60_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995611,HOT60_gt030,HOT60_gt030,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995612,HOT60_gp137,HOT60_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995613,HOT60_gp002,HOT60_gp002,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200919,-
2231343,54995614,HOT60_gp003,HOT60_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995615,HOT60_gp004,HOT60_gp004,-,-,-,-,portal (connector) protein,protein-coding,-,-,-,portal (connector) protein,20210129,-
2231343,54995616,HOT60_gp005,HOT60_gp005,-,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20210129,-
2231343,54995617,HOT60_gp006,HOT60_gp006,-,-,-,-,head protease,protein-coding,-,-,-,head protease,20200912,-
2231343,54995618,HOT60_gp007,HOT60_gp007,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210129,-
2231343,54995619,HOT60_gp008,HOT60_gp008,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200910,-
2231343,54995620,HOT60_gp009,HOT60_gp009,-,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20200910,-
2231343,54995621,HOT60_gp010,HOT60_gp010,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
2231343,54995622,HOT60_gp011,HOT60_gp011,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210129,-
2231343,54995623,HOT60_gp012,HOT60_gp012,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
2231343,54995624,HOT60_gp013,HOT60_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995625,HOT60_gp014,HOT60_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995626,HOT60_gp015,HOT60_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2231343,54995627,HOT60_gp016,HOT60_gp016,-,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20200910,-
2231343,54995628,HOT60_gp017,HOT60_gp017,-,-,-,-,baseplate hub protein,protein-coding,-,-,-,baseplate hub protein,20210129,-
2231343,54995629,HOT60_gp018,HOT60_gp018,-,-,-,-,central straight fiber,protein-coding,-,-,-,central straight fiber,20200910,-
2231343,54995630,HOT60_gp019,HOT60_gp019,-,-,-,-,lateral fibers collar protein,protein-coding,-,-,-,lateral fibers collar protein,20200910,-
2231343,54995631,HOT60_gp020,HOT60_gp020,-,-,-,-,L-shaped fiber,protein-coding,-,-,-,L-shaped fiber,20210129,-
2231343,54995632,HOT60_gp021,HOT60_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995633,HOT60_gp022,HOT60_gp022,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210129,-
2231343,54995634,HOT60_gp023,HOT60_gp023,-,-,-,-,5'3' exonuclease-like protein,protein-coding,-,-,-,5'3' exonuclease-like protein,20200912,-
2231343,54995635,HOT60_gp024,HOT60_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995636,HOT60_gp025,HOT60_gp025,-,-,-,-,putative exonuclease subunit 2,protein-coding,-,-,-,putative exonuclease subunit 2,20210129,-
2231343,54995637,HOT60_gp026,HOT60_gp026,-,-,-,-,putative endonuclease subunit,protein-coding,-,-,-,putative endonuclease subunit,20210129,-
2231343,54995638,HOT60_gp027,HOT60_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995639,HOT60_gp028,HOT60_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
