#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327766,16213795,28,M046_gp28,PBI_NEWMAN_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1327766,16213796,41,M046_gp41,PBI_NEWMAN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213797,23,M046_gp23,PBI_NEWMAN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213798,36,M046_gp36,PBI_NEWMAN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213799,43,M046_gp43,PBI_NEWMAN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213800,85,M046_gp85,PBI_NEWMAN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213801,31,M046_gp31,PBI_NEWMAN_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213802,34,M046_gp34,PBI_NEWMAN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213803,55,M046_gp55,PBI_NEWMAN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213804,91,M046_gp91,PBI_NEWMAN_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213805,17,M046_gp17,PBI_NEWMAN_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213806,81,M046_gp81,PBI_NEWMAN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213807,61,M046_gp61,PBI_NEWMAN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213808,25,M046_gp25,PBI_NEWMAN_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1327766,16213809,67,M046_gp67,PBI_NEWMAN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213810,53,M046_gp53,PBI_NEWMAN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213811,38,M046_gp38,PBI_NEWMAN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213812,24,M046_gp24,PBI_NEWMAN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213813,83,M046_gp83,PBI_NEWMAN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213814,90,M046_gp90,PBI_NEWMAN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213815,46,M046_gp46,PBI_NEWMAN_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1327766,16213816,33,M046_gp33,PBI_NEWMAN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213817,82,M046_gp82,PBI_NEWMAN_82,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1327766,16213818,72,M046_gp72,PBI_NEWMAN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213819,92,M046_gp92,PBI_NEWMAN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213820,18,M046_gp18,PBI_NEWMAN_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1327766,16213821,60,M046_gp60,PBI_NEWMAN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213822,62,M046_gp62,PBI_NEWMAN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213823,93,M046_gp93,PBI_NEWMAN_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213824,75,M046_gp75,PBI_NEWMAN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213825,21,M046_gp21,PBI_NEWMAN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213826,4,M046_gp04,PBI_NEWMAN_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213827,2,M046_gp02,PBI_NEWMAN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1327766,16213828,73,M046_gp73,PBI_NEWMAN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213829,40,M046_gp40,PBI_NEWMAN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213830,11,M046_gp11,PBI_NEWMAN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213831,70,M046_gp70,PBI_NEWMAN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213832,8,M046_gp08,PBI_NEWMAN_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1327766,16213833,35,M046_gp35,PBI_NEWMAN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213834,12,M046_gp12,PBI_NEWMAN_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1327766,16213835,6,M046_gp06,PBI_NEWMAN_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
1327766,16213836,94,M046_gp94,PBI_NEWMAN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213837,48,M046_gp48,PBI_NEWMAN_48,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1327766,16213838,68,M046_gp68,PBI_NEWMAN_68,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1327766,16213839,56,M046_gp56,PBI_NEWMAN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213840,63,M046_gp63,PBI_NEWMAN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213841,7,M046_gp07,PBI_NEWMAN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213842,89,M046_gp89,PBI_NEWMAN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213843,47,M046_gp47,PBI_NEWMAN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213844,14,M046_gp14,PBI_NEWMAN_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213845,87,M046_gp87,PBI_NEWMAN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213846,80,M046_gp80,PBI_NEWMAN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213847,1,M046_gp01,PBI_NEWMAN_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20200927,-
1327766,16213848,86,M046_gp86,PBI_NEWMAN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213849,76,M046_gp76,PBI_NEWMAN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213850,26,M046_gp26,PBI_NEWMAN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213851,13,M046_gp13,PBI_NEWMAN_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213852,79,M046_gp79,PBI_NEWMAN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213853,59,M046_gp59,PBI_NEWMAN_59,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1327766,16213854,95,M046_gp95,PBI_NEWMAN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213855,54,M046_gp54,PBI_NEWMAN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213856,20,M046_gp20,PBI_NEWMAN_20,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1327766,16213857,84,M046_gp84,PBI_NEWMAN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213858,51,M046_gp51,PBI_NEWMAN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213859,78,M046_gp78,PBI_NEWMAN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213860,64,M046_gp64,PBI_NEWMAN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213861,74,M046_gp74,PBI_NEWMAN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213862,15,M046_gp15,PBI_NEWMAN_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213863,29,M046_gp29,PBI_NEWMAN_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1327766,16213864,5,M046_gp05,PBI_NEWMAN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213865,3,M046_gp03,PBI_NEWMAN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213866,57,M046_gp57,PBI_NEWMAN_57,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1327766,16213867,58,M046_gp58,PBI_NEWMAN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213868,27,M046_gp27,PBI_NEWMAN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213869,10,M046_gp10,PBI_NEWMAN_10,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1327766,16213870,9,M046_gp09,PBI_NEWMAN_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210123,-
1327766,16213871,96,M046_gp96,PBI_NEWMAN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213872,32,M046_gp32,PBI_NEWMAN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213873,77,M046_gp77,PBI_NEWMAN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213874,22,M046_gp22,PBI_NEWMAN_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1327766,16213875,71,M046_gp71,PBI_NEWMAN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1327766,16213876,16,M046_gp16,PBI_NEWMAN_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213877,19,M046_gp19,PBI_NEWMAN_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213878,52,M046_gp52,PBI_NEWMAN_52,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1327766,16213879,88,M046_gp88,PBI_NEWMAN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213880,69,M046_gp69,PBI_NEWMAN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213881,65,M046_gp65,PBI_NEWMAN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213882,44,M046_gp44,PBI_NEWMAN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213883,30,M046_gp30,PBI_NEWMAN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327766,16213884,42,M046_gp42,PBI_NEWMAN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
