#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897542,62362782,JMN85_gp02,JMN85_gp02,SEA_PACERPAUL_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
1897542,62362783,JMN85_gp04,JMN85_gp04,SEA_PACERPAUL_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362784,JMN85_gp05,JMN85_gp05,SEA_PACERPAUL_5,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210123,-
1897542,62362785,JMN85_gp06,JMN85_gp06,SEA_PACERPAUL_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362786,JMN85_gp07,JMN85_gp07,SEA_PACERPAUL_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362787,JMN85_gp08,JMN85_gp08,SEA_PACERPAUL_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362788,JMN85_gp09,JMN85_gp09,SEA_PACERPAUL_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1897542,62362789,JMN85_gp10,JMN85_gp10,SEA_PACERPAUL_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
1897542,62362790,JMN85_gp11,JMN85_gp11,SEA_PACERPAUL_11,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
1897542,62362791,JMN85_gp12,JMN85_gp12,SEA_PACERPAUL_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1897542,62362792,JMN85_gp13,JMN85_gp13,SEA_PACERPAUL_13,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
1897542,62362793,JMN85_gp14,JMN85_gp14,SEA_PACERPAUL_14,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
1897542,62362794,JMN85_gp15,JMN85_gp15,SEA_PACERPAUL_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1897542,62362795,JMN85_gp16,JMN85_gp16,SEA_PACERPAUL_16,-,-,-,head-tail connector,protein-coding,-,-,-,head-tail connector,20210123,-
1897542,62362796,JMN85_gp17,JMN85_gp17,SEA_PACERPAUL_17,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
1897542,62362797,JMN85_gp18,JMN85_gp18,SEA_PACERPAUL_18,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
1897542,62362798,JMN85_gp19,JMN85_gp19,SEA_PACERPAUL_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1897542,62362799,JMN85_gp20,JMN85_gp20,SEA_PACERPAUL_20,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
1897542,62362800,JMN85_gp21,JMN85_gp21,SEA_PACERPAUL_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
1897542,62362801,JMN85_gp22,JMN85_gp22,SEA_PACERPAUL_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1897542,62362802,JMN85_gp24,JMN85_gp24,SEA_PACERPAUL_24,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20210424,-
1897542,62362803,JMN85_gp23,JMN85_gp23,SEA_PACERPAUL_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210212,-
1897542,62362804,JMN85_gp25,JMN85_gp25,SEA_PACERPAUL_25,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20210123,-
1897542,62362805,JMN85_gp26,JMN85_gp26,SEA_PACERPAUL_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362806,JMN85_gp27,JMN85_gp27,SEA_PACERPAUL_27,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20210123,-
1897542,62362807,JMN85_gp28,JMN85_gp28,SEA_PACERPAUL_28,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20210212,-
1897542,62362808,JMN85_gp29,JMN85_gp29,SEA_PACERPAUL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362809,JMN85_gp30,JMN85_gp30,SEA_PACERPAUL_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362810,JMN85_gp31,JMN85_gp31,SEA_PACERPAUL_31,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20210123,-
1897542,62362811,JMN85_gp32,JMN85_gp32,SEA_PACERPAUL_32,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
1897542,62362812,JMN85_gp33,JMN85_gp33,SEA_PACERPAUL_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362813,JMN85_gp34,JMN85_gp34,SEA_PACERPAUL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362814,JMN85_gp35,JMN85_gp35,SEA_PACERPAUL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362815,JMN85_gp36,JMN85_gp36,SEA_PACERPAUL_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362816,JMN85_gp38,JMN85_gp38,SEA_PACERPAUL_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1897542,62362817,JMN85_gp39,JMN85_gp39,SEA_PACERPAUL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362818,JMN85_gp40,JMN85_gp40,SEA_PACERPAUL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362819,JMN85_gp41,JMN85_gp41,SEA_PACERPAUL_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362820,JMN85_gp43,JMN85_gp43,SEA_PACERPAUL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362821,JMN85_gp44,JMN85_gp44,SEA_PACERPAUL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362822,JMN85_gp45,JMN85_gp45,SEA_PACERPAUL_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
1897542,62362823,JMN85_gp46,JMN85_gp46,SEA_PACERPAUL_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362824,JMN85_gp47,JMN85_gp47,SEA_PACERPAUL_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362825,JMN85_gp48,JMN85_gp48,SEA_PACERPAUL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1897542,62362826,JMN85_gp49,JMN85_gp49,SEA_PACERPAUL_49,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210123,-
1897542,62362827,JMN85_gp50,JMN85_gp50,SEA_PACERPAUL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362828,JMN85_gp51,JMN85_gp51,SEA_PACERPAUL_51,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210424,-
1897542,62362829,JMN85_gp52,JMN85_gp52,SEA_PACERPAUL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362830,JMN85_gp53,JMN85_gp53,SEA_PACERPAUL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362831,JMN85_gp54,JMN85_gp54,SEA_PACERPAUL_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1897542,62362832,JMN85_gp55,JMN85_gp55,SEA_PACERPAUL_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1897542,62362833,JMN85_gp57,JMN85_gp57,SEA_PACERPAUL_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
