#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713268,60335889,2,I5J38_gp02,SEA_WILLSAMMY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210129,-
2713268,60335890,3,I5J38_gp03,SEA_WILLSAMMY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2713268,60335891,4,I5J38_gp04,SEA_WILLSAMMY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210129,-
2713268,60335892,5,I5J38_gp05,SEA_WILLSAMMY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210129,-
2713268,60335893,6,I5J38_gp06,SEA_WILLSAMMY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2713268,60335894,7,I5J38_gp07,SEA_WILLSAMMY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335895,8,I5J38_gp08,SEA_WILLSAMMY_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2713268,60335896,9,I5J38_gp09,SEA_WILLSAMMY_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2713268,60335897,10,I5J38_gp10,SEA_WILLSAMMY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713268,60335898,11,I5J38_gp11,SEA_WILLSAMMY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335899,12,I5J38_gp12,SEA_WILLSAMMY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335900,13,I5J38_gp13,SEA_WILLSAMMY_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2713268,60335901,14,I5J38_gp14,SEA_WILLSAMMY_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2713268,60335902,16,I5J38_gp15,SEA_WILLSAMMY_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2713268,60335903,17,I5J38_gp17,SEA_WILLSAMMY_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210129,-
2713268,60335904,15,I5J38_gp16,SEA_WILLSAMMY_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2713268,60335905,18,I5J38_gp18,SEA_WILLSAMMY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2713268,60335906,19,I5J38_gp19,SEA_WILLSAMMY_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2713268,60335907,20,I5J38_gp20,SEA_WILLSAMMY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2713268,60335908,21,I5J38_gp21,SEA_WILLSAMMY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2713268,60335909,22,I5J38_gp22,SEA_WILLSAMMY_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2713268,60335910,23,I5J38_gp23,SEA_WILLSAMMY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335911,24,I5J38_gp24,SEA_WILLSAMMY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335912,25,I5J38_gp25,SEA_WILLSAMMY_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2713268,60335913,26,I5J38_gp26,SEA_WILLSAMMY_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210129,-
2713268,60335914,27,I5J38_gp27,SEA_WILLSAMMY_27,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2713268,60335915,28,I5J38_gp28,SEA_WILLSAMMY_28,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210129,-
2713268,60335916,29,I5J38_gp29,SEA_WILLSAMMY_29,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210129,-
2713268,60335917,30,I5J38_gp30,SEA_WILLSAMMY_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2713268,60335918,31,I5J38_gp31,SEA_WILLSAMMY_31,-,-,-,excise,protein-coding,-,-,-,excise,20210403,-
2713268,60335919,32,I5J38_gp32,SEA_WILLSAMMY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335920,33,I5J38_gp33,SEA_WILLSAMMY_33,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210313,-
2713268,60335921,34,I5J38_gp34,SEA_WILLSAMMY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335922,35,I5J38_gp35,SEA_WILLSAMMY_35,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2713268,60335923,36,I5J38_gp36,SEA_WILLSAMMY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335924,37,I5J38_gp37,SEA_WILLSAMMY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713268,60335925,38,I5J38_gp38,SEA_WILLSAMMY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335926,39,I5J38_gp39,SEA_WILLSAMMY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335927,40,I5J38_gp40,SEA_WILLSAMMY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335928,41,I5J38_gp41,SEA_WILLSAMMY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335929,42,I5J38_gp42,SEA_WILLSAMMY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335930,44,I5J38_gp44,SEA_WILLSAMMY_44,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210403,-
2713268,60335931,45,I5J38_gp45,SEA_WILLSAMMY_45,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210123,-
2713268,60335932,46,I5J38_gp46,SEA_WILLSAMMY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335933,47,I5J38_gp47,SEA_WILLSAMMY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335934,48,I5J38_gp48,SEA_WILLSAMMY_48,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210116,-
2713268,60335935,49,I5J38_gp49,SEA_WILLSAMMY_49,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2713268,60335936,50,I5J38_gp50,SEA_WILLSAMMY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335937,51,I5J38_gp51,SEA_WILLSAMMY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335938,52,I5J38_gp52,SEA_WILLSAMMY_52,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210129,-
2713268,60335939,53,I5J38_gp53,SEA_WILLSAMMY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
