#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
205922,3760128,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas fluorescens str. Pf0-1; Pseudomonas fluorescens strain Pf0-1).,other,-,-,-,-,20181022,-
205922,29578698,PFL01_RS15405,PFL01_RS15405,Pfl01_R50,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29578799,PFL01_RS23910,PFL01_RS23910,Pfl01_R76,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29578838,PFL01_RS06730,PFL01_RS06730,Pfl01_R23,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29578860,PFL01_RS11885,PFL01_RS11885,Pfl01_R46,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29578880,PFL01_RS00955,PFL01_RS00955,Pfl01_R7,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29578988,PFL01_RS24330,PFL01_RS24330,Pfl01_R85,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29579017,PFL01_RS03465,PFL01_RS03465,Pfl01_R13,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29579260,PFL01_RS06940,PFL01_RS06940,Pfl01_R24,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29579307,PFL01_RS25635,PFL01_RS25635,Pfl01_R88,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29579710,PFL01_RS25945,PFL01_RS25945,Pfl01_R95,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29579835,PFL01_RS11235,PFL01_RS11235,Pfl01_R43,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29579862,PFL01_RS02685,PFL01_RS02685,Pfl01_R11,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580035,PFL01_RS21045,PFL01_RS21045,Pfl01_R63,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580077,PFL01_RS21485,PFL01_RS21485,Pfl01_R69,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580139,PFL01_RS25640,PFL01_RS25640,Pfl01_R89,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
