#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147158,14182377,F859_gp02,F859_gp02,mEp390_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1147158,14182378,F859_gp03,F859_gp03,mEp390_003,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1147158,14182379,F859_gp04,F859_gp04,mEp390_004,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20200629,-
1147158,14182380,F859_gp05,F859_gp05,mEp390_005,-,-,-,major head subunit,protein-coding,-,-,-,major head subunit,20200629,-
1147158,14182381,F859_gp06,F859_gp06,mEp390_006,-,-,-,head-tail connector I,protein-coding,-,-,-,head-tail connector I,20200629,-
1147158,14182382,F859_gp07,F859_gp07,mEp390_007,-,-,-,head-tail connector II,protein-coding,-,-,-,head-tail connector II,20200629,-
1147158,14182383,F859_gp08,F859_gp08,mEp390_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182384,F859_gp09,F859_gp09,mEp390_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182385,F859_gp10,F859_gp10,mEp390_010,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200629,-
1147158,14182386,F859_gp11,F859_gp11,mEp390_011,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201026,-
1147158,14182387,F859_gp12,F859_gp12,mEp390_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182388,F859_gp13,F859_gp13,mEp390_013,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20200629,-
1147158,14182389,F859_gp14,F859_gp14,mEp390_014,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1147158,14182390,F859_gp15,F859_gp15,mEp390_015,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1147158,14182391,F859_gp16,F859_gp16,mEp390_016,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1147158,14182392,F859_gp17,F859_gp17,mEp390_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182393,F859_gp18,F859_gp18,mEp390_018,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200629,-
1147158,14182394,F859_gp19,F859_gp19,mEp390_019,-,-,-,central tail fiber,protein-coding,-,-,-,central tail fiber,20200629,-
1147158,14182395,F859_gp20,F859_gp20,mEp390_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182396,F859_gp21,F859_gp21,mEp390_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182397,F859_gp22,F859_gp22,mEp390_022,-,-,-,Cor protein,protein-coding,-,-,-,Cor protein,20200629,-
