#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821561,29124532,2,BJD60_gp02,SEA_SCHNABELTIER_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821561,29124533,3,BJD60_gp03,SEA_SCHNABELTIER_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1821561,29124534,4,BJD60_gp04,SEA_SCHNABELTIER_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124535,5,BJD60_gp05,SEA_SCHNABELTIER_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124536,6,BJD60_gp06,SEA_SCHNABELTIER_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1821561,29124537,7,BJD60_gp07,SEA_SCHNABELTIER_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124538,8,BJD60_gp08,SEA_SCHNABELTIER_8,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200927,-
1821561,29124539,9,BJD60_gp09,SEA_SCHNABELTIER_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200927,-
1821561,29124540,10,BJD60_gp10,SEA_SCHNABELTIER_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124541,11,BJD60_gp11,SEA_SCHNABELTIER_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124542,12,BJD60_gp12,SEA_SCHNABELTIER_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821561,29124543,13,BJD60_gp13,SEA_SCHNABELTIER_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124544,15,BJD60_gp14,SEA_SCHNABELTIER_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821561,29124545,16,BJD60_gp16,SEA_SCHNABELTIER_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124546,14,BJD60_gp15,SEA_SCHNABELTIER_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821561,29124547,17,BJD60_gp17,SEA_SCHNABELTIER_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821561,29124548,18,BJD60_gp18,SEA_SCHNABELTIER_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821561,29124549,19,BJD60_gp19,SEA_SCHNABELTIER_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821561,29124550,20,BJD60_gp20,SEA_SCHNABELTIER_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124551,21,BJD60_gp21,SEA_SCHNABELTIER_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1821561,29124552,22,BJD60_gp22,SEA_SCHNABELTIER_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124553,23,BJD60_gp23,SEA_SCHNABELTIER_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124554,24,BJD60_gp24,SEA_SCHNABELTIER_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124555,25,BJD60_gp25,SEA_SCHNABELTIER_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124556,26,BJD60_gp26,SEA_SCHNABELTIER_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1821561,29124557,27,BJD60_gp27,SEA_SCHNABELTIER_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821561,29124558,28,BJD60_gp28,SEA_SCHNABELTIER_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821561,29124559,29,BJD60_gp29,SEA_SCHNABELTIER_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124560,30,BJD60_gp30,SEA_SCHNABELTIER_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124561,31,BJD60_gp31,SEA_SCHNABELTIER_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124562,32,BJD60_gp32,SEA_SCHNABELTIER_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124563,33,BJD60_gp33,SEA_SCHNABELTIER_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124564,34,BJD60_gp34,SEA_SCHNABELTIER_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124565,35,BJD60_gp35,SEA_SCHNABELTIER_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124566,36,BJD60_gp36,SEA_SCHNABELTIER_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124567,37,BJD60_gp37,SEA_SCHNABELTIER_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124568,38,BJD60_gp38,SEA_SCHNABELTIER_38,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1821561,29124569,39,BJD60_gp39,SEA_SCHNABELTIER_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124570,40,BJD60_gp40,SEA_SCHNABELTIER_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1821561,29124571,41,BJD60_gp41,SEA_SCHNABELTIER_41,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20200927,-
1821561,29124572,42,BJD60_gp42,SEA_SCHNABELTIER_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124573,43,BJD60_gp43,SEA_SCHNABELTIER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124574,44,BJD60_gp44,SEA_SCHNABELTIER_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124575,45,BJD60_gp45,SEA_SCHNABELTIER_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124576,46,BJD60_gp46,SEA_SCHNABELTIER_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124577,47,BJD60_gp47,SEA_SCHNABELTIER_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124578,48,BJD60_gp48,SEA_SCHNABELTIER_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124579,49,BJD60_gp49,SEA_SCHNABELTIER_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124580,50,BJD60_gp50,SEA_SCHNABELTIER_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124581,51,BJD60_gp51,SEA_SCHNABELTIER_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124582,52,BJD60_gp52,SEA_SCHNABELTIER_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124583,53,BJD60_gp53,SEA_SCHNABELTIER_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
