#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1071506,18562003,2,RIDGECB_2,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1071506,18562004,3,RIDGECB_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562005,4,RIDGECB_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562006,5,RIDGECB_5,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1071506,18562007,6,RIDGECB_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562008,7,RIDGECB_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562009,8,RIDGECB_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562010,9,RIDGECB_9,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210123,-
1071506,18562011,10,RIDGECB_10,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1071506,18562012,11,RIDGECB_11,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
1071506,18562013,12,RIDGECB_12,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1071506,18562014,13,RIDGECB_13,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1071506,18562015,14,RIDGECB_14,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1071506,18562016,15,RIDGECB_15,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
1071506,18562017,16,RIDGECB_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562018,17,RIDGECB_17,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1071506,18562019,18,RIDGECB_18,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1071506,18562020,19,RIDGECB_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1071506,18562021,20,RIDGECB_20,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1071506,18562022,21,RIDGECB_21,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1071506,18562023,23,RIDGECB_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1071506,18562024,22,RIDGECB_22,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1071506,18562025,24,RIDGECB_24,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1071506,18562026,25,RIDGECB_25,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1071506,18562027,26,RIDGECB_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562028,27,RIDGECB_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1071506,18562029,28,RIDGECB_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562030,29,RIDGECB_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562031,30,RIDGECB_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562032,31,RIDGECB_31,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1071506,18562033,32,RIDGECB_32,-,-,-,-,carboxypeptidase,protein-coding,-,-,-,carboxypeptidase,20210424,-
1071506,18562034,33,RIDGECB_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562035,34,RIDGECB_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562036,35,RIDGECB_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562037,36,RIDGECB_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562038,37,RIDGECB_37,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1071506,18562039,38,RIDGECB_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562040,39,RIDGECB_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562041,40,RIDGECB_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562042,41,RIDGECB_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562043,42,RIDGECB_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562044,43,RIDGECB_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562045,44,RIDGECB_44,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1071506,18562046,45,RIDGECB_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562047,46,RIDGECB_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562048,47,RIDGECB_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562049,48,RIDGECB_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562050,49,RIDGECB_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562051,50,RIDGECB_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562052,51,RIDGECB_51,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20201220,-
1071506,18562053,52,RIDGECB_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562054,53,RIDGECB_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
