#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458856,19735917,LP101_002,LP101_002,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1458856,19735918,LP101_003,LP101_003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1458856,19735919,LP101_004,LP101_004,-,-,-,-,Clp protease ClpP,protein-coding,-,-,-,Clp protease ClpP,20201221,-
1458856,19735920,LP101_005,LP101_005,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1458856,19735921,LP101_006,LP101_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735922,LP101_007,LP101_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735923,LP101_008,LP101_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735924,LP101_009,LP101_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735925,LP101_010,LP101_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735926,LP101_011,LP101_011,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1458856,19735927,LP101_012,LP101_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735928,LP101_013,LP101_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735929,LP101_014,LP101_014,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1458856,19735930,LP101_015,LP101_015,-,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20201221,-
1458856,19735931,LP101_016,LP101_016,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1458856,19735932,LP101_017,LP101_017,-,-,-,-,carbohydrate-binding protein CenC,protein-coding,-,-,-,carbohydrate-binding protein CenC,20201221,-
1458856,19735933,LP101_018,LP101_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735934,LP101_019,LP101_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735935,LP101_020,LP101_020,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1458856,19735936,LP101_021,LP101_021,-,-,-,-,M15 family metallopeptidase,protein-coding,-,-,-,M15 family metallopeptidase,20201221,-
1458856,19735937,LP101_022,LP101_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735938,LP101_023,LP101_023,-,-,-,-,anti-CRISPR protein AcrIIA1,protein-coding,-,-,-,anti-CRISPR protein AcrIIA1,20201221,-
1458856,19735939,LP101_024,LP101_024,-,-,-,-,anti-CRISPR protein AcrIIA2,protein-coding,-,-,-,anti-CRISPR protein AcrIIA2,20201221,-
1458856,19735940,LP101_025,LP101_025,-,-,-,-,anti-CRISPR protein AcrIIA3,protein-coding,-,-,-,anti-CRISPR protein AcrIIA3,20201221,-
1458856,19735941,LP101_026,LP101_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735942,LP101_027,LP101_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735943,LP101_028,LP101_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735944,LP101_029,LP101_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735945,LP101_030,LP101_030,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1458856,19735946,LP101_031,LP101_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735947,LP101_032,LP101_032,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20210424,-
1458856,19735948,LP101_033,LP101_033,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
