#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
120017,64860427,UHO2_00001,UHO2_00001,-,-,Unknown,-,putative zinc metallo-protease,protein-coding,-,-,-,putative zinc metallo-protease,20210514,-
120017,64860428,UHO2_00002,UHO2_00002,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860429,UHO2_00003,UHO2_00003,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860430,UHO2_00004,UHO2_00004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860431,UHO2_00005,UHO2_00005,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860432,UHO2_00006,UHO2_00006,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860433,UHO2_00007,UHO2_00007,-,-,Unknown,-,Cys(2)His(2) zinc finger transcriptional activator,protein-coding,-,-,-,Cys(2)His(2) zinc finger transcriptional activator,20210514,-
120017,64860434,UHO2_00008,UHO2_00008,-,-,Unknown,-,"putative MEF1 - translation elongation factor G, mitochondrial",protein-coding,-,-,-,"putative MEF1 - translation elongation factor G, mitochondrial",20210514,-
120017,64860435,UHO2_00009,UHO2_00009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860436,UHO2_00010,UHO2_00010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860437,UHO2_00011,UHO2_00011,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860438,UHO2_00012,UHO2_00012,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860439,UHO2_00013,UHO2_00013,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860440,UHO2_00014,UHO2_00014,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860441,UHO2_00015,UHO2_00015,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860442,UHO2_00016,UHO2_00016,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860443,UHO2_00017,UHO2_00017,-,-,Unknown,-,putative chimeric spermidine synthase/saccharopine reductase,protein-coding,-,-,-,putative chimeric spermidine synthase/saccharopine reductase,20210514,-
120017,64860444,UHO2_00018,UHO2_00018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860445,UHO2_00019,UHO2_00019,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
