#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500825,24724853,ACQ67_gp02,ACQ67_gp02,PHL152M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500825,24724854,ACQ67_gp03,ACQ67_gp03,PHL152M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500825,24724855,ACQ67_gp04,ACQ67_gp04,PHL152M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724856,ACQ67_gp05,ACQ67_gp05,PHL152M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500825,24724857,ACQ67_gp06,ACQ67_gp06,PHL152M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500825,24724858,ACQ67_gp07,ACQ67_gp07,PHL152M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724859,ACQ67_gp08,ACQ67_gp08,PHL152M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724860,ACQ67_gp09,ACQ67_gp09,PHL152M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724861,ACQ67_gp10,ACQ67_gp10,PHL152M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724862,ACQ67_gp11,ACQ67_gp11,PHL152M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500825,24724863,ACQ67_gp12,ACQ67_gp12,PHL152M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724864,ACQ67_gp13,ACQ67_gp13,PHL152M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724865,ACQ67_gp14,ACQ67_gp14,PHL152M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500825,24724866,ACQ67_gp15,ACQ67_gp15,PHL152M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500825,24724867,ACQ67_gp16,ACQ67_gp16,PHL152M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500825,24724868,ACQ67_gp17,ACQ67_gp17,PHL152M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724869,ACQ67_gp18,ACQ67_gp18,PHL152M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724870,ACQ67_gp19,ACQ67_gp19,PHL152M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500825,24724871,ACQ67_gp20,ACQ67_gp20,PHL152M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500825,24724872,ACQ67_gp21,ACQ67_gp21,PHL152M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500825,24724873,ACQ67_gp22,ACQ67_gp22,PHL152M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724874,ACQ67_gp23,ACQ67_gp23,PHL152M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500825,24724875,ACQ67_gp24,ACQ67_gp24,PHL152M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724876,ACQ67_gp25,ACQ67_gp25,PHL152M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724877,ACQ67_gp26,ACQ67_gp26,PHL152M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724878,ACQ67_gp27,ACQ67_gp27,PHL152M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724879,ACQ67_gp28,ACQ67_gp28,PHL152M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724880,ACQ67_gp29,ACQ67_gp29,PHL152M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724881,ACQ67_gp30,ACQ67_gp30,PHL152M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500825,24724882,ACQ67_gp31,ACQ67_gp31,PHL152M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500825,24724883,ACQ67_gp32,ACQ67_gp32,PHL152M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724884,ACQ67_gp33,ACQ67_gp33,PHL152M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
