#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419980,60330703,2,I5H58_gp002,SEA_LIZZIANA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2419980,60330704,3,I5H58_gp003,SEA_LIZZIANA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419980,60330705,4,I5H58_gp004,SEA_LIZZIANA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2419980,60330706,5,I5H58_gp005,SEA_LIZZIANA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2419980,60330707,6,I5H58_gp006,SEA_LIZZIANA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2419980,60330708,7,I5H58_gp007,SEA_LIZZIANA_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2419980,60330709,8,I5H58_gp008,SEA_LIZZIANA_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2419980,60330710,9,I5H58_gp009,SEA_LIZZIANA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2419980,60330711,10,I5H58_gp010,SEA_LIZZIANA_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2419980,60330712,11,I5H58_gp011,SEA_LIZZIANA_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2419980,60330713,13,I5H58_gp012,SEA_LIZZIANA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2419980,60330714,14,I5H58_gp014,SEA_LIZZIANA_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210406,-
2419980,60330715,12,I5H58_gp013,SEA_LIZZIANA_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2419980,60330716,15,I5H58_gp015,SEA_LIZZIANA_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2419980,60330717,16,I5H58_gp016,SEA_LIZZIANA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2419980,60330718,17,I5H58_gp017,SEA_LIZZIANA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2419980,60330719,18,I5H58_gp018,SEA_LIZZIANA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2419980,60330720,19,I5H58_gp019,SEA_LIZZIANA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2419980,60330721,20,I5H58_gp020,SEA_LIZZIANA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2419980,60330722,21,I5H58_gp021,SEA_LIZZIANA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2419980,60330723,22,I5H58_gp022,SEA_LIZZIANA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2419980,60330724,23,I5H58_gp023,SEA_LIZZIANA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2419980,60330725,24,I5H58_gp024,SEA_LIZZIANA_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2419980,60330726,25,I5H58_gp025,SEA_LIZZIANA_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2419980,60330727,26,I5H58_gp026,SEA_LIZZIANA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330728,27,I5H58_gp027,SEA_LIZZIANA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330729,28,I5H58_gp028,SEA_LIZZIANA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330730,29,I5H58_gp029,SEA_LIZZIANA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330731,30,I5H58_gp030,SEA_LIZZIANA_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210406,-
2419980,60330732,31,I5H58_gp031,SEA_LIZZIANA_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2419980,60330733,32,I5H58_gp032,SEA_LIZZIANA_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2419980,60330734,33,I5H58_gp033,SEA_LIZZIANA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2419980,60330735,34,I5H58_gp034,SEA_LIZZIANA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330736,35,I5H58_gp035,SEA_LIZZIANA_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210424,-
2419980,60330737,36,I5H58_gp036,SEA_LIZZIANA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330738,37,I5H58_gp037,SEA_LIZZIANA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330739,38,I5H58_gp038,SEA_LIZZIANA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330740,39,I5H58_gp039,SEA_LIZZIANA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330741,40,I5H58_gp040,SEA_LIZZIANA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
