#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873696,29068983,BI025_gp002,BI025_gp002,SEA_GARDANN_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1873696,29068984,BI025_gp003,BI025_gp003,SEA_GARDANN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29068985,BI025_gp004,BI025_gp004,SEA_GARDANN_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1873696,29068986,BI025_gp005,BI025_gp005,SEA_GARDANN_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1873696,29068987,BI025_gp006,BI025_gp006,SEA_GARDANN_6,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200927,-
1873696,29068988,BI025_gp007,BI025_gp007,SEA_GARDANN_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1873696,29068989,BI025_gp008,BI025_gp008,SEA_GARDANN_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1873696,29068990,BI025_gp009,BI025_gp009,SEA_GARDANN_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
1873696,29068991,BI025_gp010,BI025_gp010,SEA_GARDANN_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1873696,29068992,BI025_gp011,BI025_gp011,SEA_GARDANN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29068993,BI025_gp012,BI025_gp012,SEA_GARDANN_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1873696,29068994,BI025_gp013,BI025_gp013,SEA_GARDANN_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1873696,29068995,BI025_gp014,BI025_gp014,SEA_GARDANN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1873696,29068996,BI025_gp015,BI025_gp015,SEA_GARDANN_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1873696,29068997,BI025_gp016,BI025_gp016,SEA_GARDANN_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1873696,29068998,BI025_gp017,BI025_gp017,SEA_GARDANN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1873696,29068999,BI025_gp018,BI025_gp018,SEA_GARDANN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
