#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079565,60328823,I5H40_gp002,I5H40_gp002,SEA_FRANKIE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2079565,60328824,I5H40_gp003,I5H40_gp003,SEA_FRANKIE_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2079565,60328825,I5H40_gp004,I5H40_gp004,SEA_FRANKIE_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2079565,60328826,I5H40_gp005,I5H40_gp005,SEA_FRANKIE_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2079565,60328827,I5H40_gp006,I5H40_gp006,SEA_FRANKIE_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2079565,60328828,I5H40_gp007,I5H40_gp007,SEA_FRANKIE_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2079565,60328829,I5H40_gp008,I5H40_gp008,SEA_FRANKIE_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2079565,60328830,I5H40_gp009,I5H40_gp009,SEA_FRANKIE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2079565,60328831,I5H40_gp010,I5H40_gp010,SEA_FRANKIE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2079565,60328832,I5H40_gp011,I5H40_gp011,SEA_FRANKIE_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2079565,60328833,I5H40_gp012,I5H40_gp012,SEA_FRANKIE_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2079565,60328834,I5H40_gp013,I5H40_gp013,SEA_FRANKIE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2079565,60328835,I5H40_gp015,I5H40_gp015,SEA_FRANKIE_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2079565,60328836,I5H40_gp014,I5H40_gp014,SEA_FRANKIE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2079565,60328837,I5H40_gp016,I5H40_gp016,SEA_FRANKIE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079565,60328838,I5H40_gp017,I5H40_gp017,SEA_FRANKIE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079565,60328839,I5H40_gp018,I5H40_gp018,SEA_FRANKIE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079565,60328840,I5H40_gp019,I5H40_gp019,SEA_FRANKIE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079565,60328841,I5H40_gp020,I5H40_gp020,SEA_FRANKIE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2079565,60328842,I5H40_gp021,I5H40_gp021,SEA_FRANKIE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079565,60328843,I5H40_gp022,I5H40_gp022,SEA_FRANKIE_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079565,60328844,I5H40_gp023,I5H40_gp023,SEA_FRANKIE_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079565,60328845,I5H40_gp024,I5H40_gp024,SEA_FRANKIE_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079565,60328846,I5H40_gp025,I5H40_gp025,SEA_FRANKIE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328847,I5H40_gp026,I5H40_gp026,SEA_FRANKIE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079565,60328848,I5H40_gp027,I5H40_gp027,SEA_FRANKIE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328849,I5H40_gp028,I5H40_gp028,SEA_FRANKIE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328850,I5H40_gp029,I5H40_gp029,SEA_FRANKIE_29,-,-,-,transposase,protein-coding,-,-,-,transposase,20210424,-
2079565,60328851,I5H40_gp030,I5H40_gp030,SEA_FRANKIE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328852,I5H40_gp031,I5H40_gp031,SEA_FRANKIE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328853,I5H40_gp032,I5H40_gp032,SEA_FRANKIE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328854,I5H40_gp033,I5H40_gp033,SEA_FRANKIE_33,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2079565,60328855,I5H40_gp034,I5H40_gp034,SEA_FRANKIE_34,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2079565,60328856,I5H40_gp035,I5H40_gp035,SEA_FRANKIE_35,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2079565,60328857,I5H40_gp036,I5H40_gp036,SEA_FRANKIE_36,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2079565,60328858,I5H40_gp037,I5H40_gp037,SEA_FRANKIE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079565,60328859,I5H40_gp038,I5H40_gp038,SEA_FRANKIE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328860,I5H40_gp039,I5H40_gp039,SEA_FRANKIE_39,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2079565,60328861,I5H40_gp040,I5H40_gp040,SEA_FRANKIE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328862,I5H40_gp041,I5H40_gp041,SEA_FRANKIE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328863,I5H40_gp042,I5H40_gp042,SEA_FRANKIE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328864,I5H40_gp043,I5H40_gp043,SEA_FRANKIE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328865,I5H40_gp044,I5H40_gp044,SEA_FRANKIE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328866,I5H40_gp045,I5H40_gp045,SEA_FRANKIE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328867,I5H40_gp046,I5H40_gp046,SEA_FRANKIE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328868,I5H40_gp047,I5H40_gp047,SEA_FRANKIE_47,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2079565,60328869,I5H40_gp048,I5H40_gp048,SEA_FRANKIE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328870,I5H40_gp049,I5H40_gp049,SEA_FRANKIE_49,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210406,-
2079565,60328871,I5H40_gp050,I5H40_gp050,SEA_FRANKIE_50,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210406,-
2079565,60328872,I5H40_gp051,I5H40_gp051,SEA_FRANKIE_51,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210424,-
2079565,60328873,I5H40_gp052,I5H40_gp052,SEA_FRANKIE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
