#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
423476,4818419,hyp_orf02,phi3396_02,-,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,protein-coding,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,20210212,-
423476,4818420,phi3396_13,phi3396_13,-,-,-,-,putative replication protein,protein-coding,-,-,-,putative replication protein,20200629,-
423476,4818421,phi3396_11,phi3396_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818422,phi3396_12,phi3396_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818423,phb1,phi3396_25,-,-,-,-,putative prohibitin,protein-coding,-,-,-,putative prohibitin,20200629,-
423476,4818424,phi3396_18,phi3396_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818425,phi3396_08,phi3396_08,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20200629,-
423476,4818426,phi3396_06,phi3396_06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818427,phi3396_22,phi3396_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818428,phi3396_21,phi3396_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818429,ssb1,phi3396_15,-,-,-,-,putative single-strand binding protein 1,protein-coding,-,-,-,putative single-strand binding protein 1,20200629,-
423476,4818430,phi3396_07,phi3396_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818431,phi3396_16,phi3396_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818432,phi3396_05,phi3396_05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818433,phi3396_03,phi3396_03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818434,phi3396_23,phi3396_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818435,phi3396_24,phi3396_24,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
423476,4818436,phi3396_61,phi3396_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818437,phi3396_63,phi3396_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
423476,4818438,phi3396_64,phi3396_64,-,-,-,-,putative paratox,protein-coding,-,-,-,putative paratox,20200629,-
423476,4818439,phi3396_20,phi3396_20,-,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20201220,-
423476,4818440,phi3396_62,phi3396_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818441,phi3396_56,phi3396_56,-,-,-,-,phage-associated cell wall hydrolase,protein-coding,-,-,-,phage-associated cell wall hydrolase,20200629,-
423476,4818442,phi3396_60,phi3396_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818443,phi3396_58,phi3396_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818444,phi3396_09,phi3396_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818445,phi3396_59,phi3396_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818446,phi3396_19,phi3396_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818447,phi3396_10,phi3396_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818448,phi3396_57,phi3396_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818449,phi3396_28,phi3396_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818450,phi3396_17,phi3396_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818451,phi3396_29,phi3396_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818452,phi3396_27,phi3396_27,-,-,-,-,probable site-specific tyrosine recombinase xerc_like,protein-coding,-,-,-,probable site-specific tyrosine recombinase xerc_like,20200629,-
423476,4818453,phi3396_14,phi3396_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818454,phi3396_52,phi3396_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818455,phi3396_55,phi3396_55,-,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
423476,4818456,phi3396_51,phi3396_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818457,phi3396_54,phi3396_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818458,phi3396_53,phi3396_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818459,int,phi3396_01,-,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20200629,-
423476,4818460,phi3396_46,phi3396_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818461,phi3396_50,phi3396_50,-,-,-,-,phage infection protein,protein-coding,-,-,-,phage infection protein,20200629,-
423476,4818462,phi3396_48,phi3396_48,-,-,-,-,phage hyaluronoglucosaminidase,protein-coding,-,-,-,phage hyaluronoglucosaminidase,20200629,-
423476,4818463,phi3396_49,phi3396_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818464,phi3396_47,phi3396_47,-,-,-,-,phage endopeptidase,protein-coding,-,-,-,phage endopeptidase,20200629,-
423476,4818465,phi3396_41,phi3396_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818466,phi3396_04,phi3396_04,-,-,-,-,putative repressor,protein-coding,-,-,-,putative repressor,20200629,-
423476,4818467,phi3396_45,phi3396_45,-,-,-,-,putative phage-related tail tape measure protein,protein-coding,-,-,-,putative phage-related tail tape measure protein,20200629,-
423476,4818468,phi3396_43,phi3396_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818469,phi3396_44,phi3396_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818470,phi3396_42,phi3396_42,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200629,-
423476,4818471,phi3396_36,phi3396_36,-,-,-,-,major coat protein,protein-coding,-,-,-,major coat protein,20200629,-
423476,4818472,phi3396_40,phi3396_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818473,phi3396_38,phi3396_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818474,phi3396_39,phi3396_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818475,phi3396_37,phi3396_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818476,phi3396_31,phi3396_31,-,-,-,-,P27 familygterminase small subunit,protein-coding,-,-,-,P27 familygterminase small subunit,20201220,-
423476,4818477,phi3396_35,phi3396_35,-,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20200629,-
423476,4818478,phi3396_33,phi3396_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
423476,4818479,phi3396_34,phi3396_34,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200629,-
423476,4818480,phi3396_32,phi3396_32,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
423476,4818481,phi3396_26,phi3396_26,-,-,-,-,putative phage transcriptional activator,protein-coding,-,-,-,putative phage transcriptional activator,20200629,-
423476,4818482,phi3396_30,phi3396_30,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200629,-
423476,4836552,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
