#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1365176,16572651,N186_RS00010,N186_RS00010,N186_00010,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,protein-coding,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,20200829,-
1365176,16572652,N186_RS00020,N186_RS00020,N186_00020,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20201026,-
1365176,16572653,N186_RS00025,N186_RS00025,N186_00025,-,-,-,SWIM zinc finger family protein,protein-coding,-,-,-,SWIM zinc finger family protein,20201026,-
1365176,16572654,N186_RS00030,N186_RS00030,N186_00030,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20200919,-
1365176,16572655,N186_RS00035,N186_RS00035,N186_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572656,N186_RS00040,N186_RS00040,N186_00040,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20201026,-
1365176,16572657,N186_RS00045,N186_RS00045,N186_00045,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
1365176,16572658,N186_RS00050,N186_RS00050,N186_00050,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210529,-
1365176,16572659,N186_RS00055,N186_RS00055,N186_00055,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
1365176,16572660,N186_RS00060,N186_RS00060,N186_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1365176,16572661,N186_RS00065,N186_RS00065,N186_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572662,N186_RS00070,N186_RS00070,N186_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1365176,16572663,N186_RS00075,N186_RS00075,N186_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572664,N186_RS00080,N186_RS00080,N186_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572665,N186_RS00085,N186_RS00085,N186_00085,-,-,-,carboxypeptidase regulatory-like domain-containing protein,protein-coding,-,-,-,carboxypeptidase regulatory-like domain-containing protein,20200829,-
1365176,16572666,N186_RS00090,N186_RS00090,N186_00090,-,-,-,biotin--[acetyl-CoA-carboxylase] ligase,protein-coding,-,-,-,biotin--[acetyl-CoA-carboxylase] ligase,20201026,-
1365176,16572667,N186_RS00095,N186_RS00095,N186_00095,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20201026,-
1365176,16572668,N186_RS00100,N186_RS00100,N186_00100,-,-,-,CDP-alcohol phosphatidyltransferase family protein,protein-coding,-,-,-,CDP-alcohol phosphatidyltransferase family protein,20210529,-
1365176,16572669,N186_RS00105,N186_RS00105,N186_00105,-,-,-,NTP transferase domain-containing protein,protein-coding,-,-,-,NTP transferase domain-containing protein,20201026,-
1365176,16572670,N186_RS00110,N186_RS00110,N186_00110,-,-,-,PadR family transcriptional regulator,protein-coding,-,-,-,PadR family transcriptional regulator,20200829,-
1365176,16572671,N186_RS00115,N186_RS00115,N186_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572672,N186_RS00120,N186_RS00120,N186_00120,-,-,-,class II aldolase/adducin family protein,protein-coding,-,-,-,class II aldolase/adducin family protein,20200829,-
1365176,16572673,cas6,N186_RS00125,N186_00125,-,-,-,CRISPR system precrRNA processing endoribonuclease RAMP protein Cas6,protein-coding,-,-,-,CRISPR system precrRNA processing endoribonuclease RAMP protein Cas6,20210529,-
1365176,16572674,N186_RS00130,N186_RS00130,N186_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
