#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1080800,11257781,SFP_0002,SFP_0002,-,-,-,-,RIIB phage protein,protein-coding,-,-,-,RIIB phage protein,20210313,-
1080800,11257782,SFP_0003,SFP_0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257783,SFP_0004,SFP_0004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257784,SFP_0005,SFP_0005,-,-,-,-,Ig-like phage tail protein,protein-coding,-,-,-,Ig-like phage tail protein,20210313,-
1080800,11257785,SFP_0006,SFP_0006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257786,SFP_0007,SFP_0007,-,-,-,-,histone-like protein,protein-coding,-,-,-,histone-like protein,20201220,-
1080800,11257787,SFP_0008,SFP_0008,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
1080800,11257788,SFP_0009,SFP_0009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257789,SFP_0010,SFP_0010,-,-,-,-,viral tegument-like protein,protein-coding,-,-,-,viral tegument-like protein,20201220,-
1080800,11257790,SFP_0011,SFP_0011,-,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20201220,-
1080800,11257791,SFP_0012,SFP_0012,-,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210313,-
1080800,11257792,SFP_0013,SFP_0013,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
1080800,11257793,SFP_0014,SFP_0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257794,SFP_0015,SFP_0015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257795,SFP_0016,SFP_0016,-,-,-,-,calcium-binding hemolysin protein,protein-coding,-,-,-,calcium-binding hemolysin protein,20201220,-
1080800,11257796,SFP_0017,SFP_0017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257797,SFP_0018,SFP_0018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257798,SFP_0019,SFP_0019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257799,SFP_0020,SFP_0020,-,-,-,-,exonuclease DexA,protein-coding,-,-,-,exonuclease DexA,20210313,-
1080800,11257800,SFP_0021,SFP_0021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257801,SFP_0022,SFP_0022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257802,SFP_0023,SFP_0023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257803,SFP_0024,SFP_0024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
