#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588511,64367953,2,KD932_gp02,SEA_FULBRIGHT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2588511,64367954,3,KD932_gp03,SEA_FULBRIGHT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367955,4,KD932_gp04,SEA_FULBRIGHT_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2588511,64367956,5,KD932_gp05,SEA_FULBRIGHT_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210423,-
2588511,64367957,6,KD932_gp06,SEA_FULBRIGHT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2588511,64367958,7,KD932_gp07,SEA_FULBRIGHT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367959,8,KD932_gp08,SEA_FULBRIGHT_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210423,-
2588511,64367960,9,KD932_gp09,SEA_FULBRIGHT_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210423,-
2588511,64367961,10,KD932_gp10,SEA_FULBRIGHT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367962,11,KD932_gp11,SEA_FULBRIGHT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2588511,64367963,12,KD932_gp12,SEA_FULBRIGHT_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210423,-
2588511,64367964,13,KD932_gp13,SEA_FULBRIGHT_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210423,-
2588511,64367965,15,KD932_gp14,SEA_FULBRIGHT_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2588511,64367966,16,KD932_gp16,SEA_FULBRIGHT_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210423,-
2588511,64367967,14,KD932_gp15,SEA_FULBRIGHT_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2588511,64367968,17,KD932_gp17,SEA_FULBRIGHT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2588511,64367969,18,KD932_gp18,SEA_FULBRIGHT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2588511,64367970,19,KD932_gp19,SEA_FULBRIGHT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2588511,64367971,20,KD932_gp20,SEA_FULBRIGHT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2588511,64367972,21,KD932_gp21,SEA_FULBRIGHT_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2588511,64367973,22,KD932_gp22,SEA_FULBRIGHT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367974,23,KD932_gp23,SEA_FULBRIGHT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
