#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2662296,55814255,HYQ04_gp02,HYQ04_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210320,-
2662296,55814256,HYQ04_gp03,HYQ04_gp03,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210320,-
2662296,55814257,HYQ04_gp04,HYQ04_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
2662296,55814258,HYQ04_gp05,HYQ04_gp05,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210320,-
2662296,55814259,HYQ04_gp06,HYQ04_gp06,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200704,-
2662296,55814260,HYQ04_gp07,HYQ04_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814261,HYQ04_gp08,HYQ04_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814262,HYQ04_gp09,HYQ04_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814263,HYQ04_gp10,HYQ04_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814264,HYQ04_gp11,HYQ04_gp11,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210320,-
2662296,55814265,HYQ04_gp12,HYQ04_gp12,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210320,-
2662296,55814266,HYQ04_gp13,HYQ04_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814267,HYQ04_gp14,HYQ04_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814268,HYQ04_gp15,HYQ04_gp15,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210320,-
2662296,55814269,HYQ04_gp16,HYQ04_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2662296,55814270,HYQ04_gp17,HYQ04_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2662296,55814271,HYQ04_gp18,HYQ04_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814272,HYQ04_gp19,HYQ04_gp19,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210320,-
2662296,55814273,HYQ04_gp20,HYQ04_gp20,-,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2662296,55814274,HYQ04_gp21,HYQ04_gp21,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210320,-
2662296,55814275,HYQ04_gp22,HYQ04_gp22,-,-,-,-,immunodominant staphylococcal antigen A precursor,protein-coding,-,-,-,immunodominant staphylococcal antigen A precursor,20210320,-
2662296,55814276,HYQ04_gp23,HYQ04_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814277,HYQ04_gp24,HYQ04_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814278,HYQ04_gp25,HYQ04_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814279,HYQ04_gp26,HYQ04_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814280,HYQ04_gp27,HYQ04_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2662296,55814281,HYQ04_gp28,HYQ04_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814282,HYQ04_gp29,HYQ04_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2662296,55814283,HYQ04_gp30,HYQ04_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814284,HYQ04_gp31,HYQ04_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814285,HYQ04_gp32,HYQ04_gp32,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200704,-
2662296,55814286,HYQ04_gp33,HYQ04_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814287,HYQ04_gp34,HYQ04_gp34,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210320,-
2662296,55814288,HYQ04_gp35,HYQ04_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2662296,55814289,HYQ04_gp36,HYQ04_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814290,HYQ04_gp37,HYQ04_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814291,HYQ04_gp38,HYQ04_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662296,55814292,HYQ04_gp39,HYQ04_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
