#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2530140,64871148,2,KIV59_gp02,SEA_PHARAOH_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210515,-
2530140,64871149,3,KIV59_gp03,SEA_PHARAOH_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871150,4,KIV59_gp04,SEA_PHARAOH_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
2530140,64871151,5,KIV59_gp05,SEA_PHARAOH_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
2530140,64871152,6,KIV59_gp06,SEA_PHARAOH_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2530140,64871153,7,KIV59_gp07,SEA_PHARAOH_7,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2530140,64871154,8,KIV59_gp08,SEA_PHARAOH_8,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210515,-
2530140,64871155,9,KIV59_gt01,SEA_PHARAOH_9,-,-,-,tRNA,tRNA,-,-,-,-,20210515,-
2530140,64871156,10,KIV59_gp80,SEA_PHARAOH_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
2530140,64871157,11,KIV59_gp79,SEA_PHARAOH_11,-,-,-,holin,protein-coding,-,-,-,holin,20210515,-
2530140,64871158,12,KIV59_gp78,SEA_PHARAOH_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210515,-
2530140,64871159,13,KIV59_gp77,SEA_PHARAOH_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2530140,64871160,14,KIV59_gp76,SEA_PHARAOH_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210515,-
2530140,64871161,15,KIV59_gp75,SEA_PHARAOH_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210515,-
2530140,64871162,16,KIV59_gp74,SEA_PHARAOH_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210515,-
2530140,64871163,17,KIV59_gp73,SEA_PHARAOH_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871164,18,KIV59_gp72,SEA_PHARAOH_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210515,-
2530140,64871165,19,KIV59_gp71,SEA_PHARAOH_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871166,20,KIV59_gp70,SEA_PHARAOH_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210515,-
2530140,64871167,21,KIV59_gp69,SEA_PHARAOH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871168,22,KIV59_gp68,SEA_PHARAOH_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210515,-
2530140,64871169,23,KIV59_gp67,SEA_PHARAOH_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210515,-
2530140,64871170,25,KIV59_gp65,SEA_PHARAOH_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2530140,64871171,26,KIV59_gp64,SEA_PHARAOH_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210515,-
2530140,64871172,24,KIV59_gp66,SEA_PHARAOH_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2530140,64871173,27,KIV59_gp63,SEA_PHARAOH_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2530140,64871174,28,KIV59_gp62,SEA_PHARAOH_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2530140,64871175,29,KIV59_gp61,SEA_PHARAOH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871176,30,KIV59_gp60,SEA_PHARAOH_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871177,31,KIV59_gp59,SEA_PHARAOH_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2530140,64871178,32,KIV59_gp58,SEA_PHARAOH_32,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210515,-
2530140,64871179,33,KIV59_gp57,SEA_PHARAOH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871180,34,KIV59_gp56,SEA_PHARAOH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871181,35,KIV59_gp55,SEA_PHARAOH_35,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210515,-
2530140,64871182,36,KIV59_gp54,SEA_PHARAOH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871183,37,KIV59_gp53,SEA_PHARAOH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871184,38,KIV59_gp52,SEA_PHARAOH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871185,39,KIV59_gp51,SEA_PHARAOH_39,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210515,-
2530140,64871186,40,KIV59_gp50,SEA_PHARAOH_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871187,41,KIV59_gp49,SEA_PHARAOH_41,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210515,-
2530140,64871188,42,KIV59_gp48,SEA_PHARAOH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871189,43,KIV59_gp47,SEA_PHARAOH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871190,44,KIV59_gp46,SEA_PHARAOH_44,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210515,-
2530140,64871191,45,KIV59_gp45,SEA_PHARAOH_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871192,46,KIV59_gp44,SEA_PHARAOH_46,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210515,-
2530140,64871193,47,KIV59_gp43,SEA_PHARAOH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871194,48,KIV59_gp42,SEA_PHARAOH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871195,49,KIV59_gp41,SEA_PHARAOH_49,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210515,-
2530140,64871196,50,KIV59_gp40,SEA_PHARAOH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871197,51,KIV59_gp39,SEA_PHARAOH_51,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210515,-
2530140,64871198,52,KIV59_gp38,SEA_PHARAOH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871199,53,KIV59_gp37,SEA_PHARAOH_53,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210515,-
2530140,64871200,54,KIV59_gp36,SEA_PHARAOH_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
2530140,64871201,55,KIV59_gp35,SEA_PHARAOH_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
2530140,64871202,57,KIV59_gp33,SEA_PHARAOH_57,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210515,-
2530140,64871203,58,KIV59_gp32,SEA_PHARAOH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871204,59,KIV59_gp31,SEA_PHARAOH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871205,60,KIV59_gp30,SEA_PHARAOH_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871206,61,KIV59_gp29,SEA_PHARAOH_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871207,62,KIV59_gp28,SEA_PHARAOH_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871208,63,KIV59_gp27,SEA_PHARAOH_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871209,64,KIV59_gp26,SEA_PHARAOH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871210,65,KIV59_gp25,SEA_PHARAOH_65,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210515,-
2530140,64871211,66,KIV59_gp24,SEA_PHARAOH_66,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210515,-
2530140,64871212,67,KIV59_gp23,SEA_PHARAOH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871213,68,KIV59_gp22,SEA_PHARAOH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871214,69,KIV59_gp21,SEA_PHARAOH_69,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210515,-
2530140,64871215,70,KIV59_gp20,SEA_PHARAOH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871216,71,KIV59_gp19,SEA_PHARAOH_71,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210515,-
2530140,64871217,72,KIV59_gp18,SEA_PHARAOH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871218,73,KIV59_gp17,SEA_PHARAOH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871219,74,KIV59_gp16,SEA_PHARAOH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871220,75,KIV59_gp15,SEA_PHARAOH_75,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210515,-
2530140,64871221,76,KIV59_gp14,SEA_PHARAOH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871222,77,KIV59_gp13,SEA_PHARAOH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871223,78,KIV59_gp12,SEA_PHARAOH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871224,79,KIV59_gp11,SEA_PHARAOH_79,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
2530140,64871225,80,KIV59_gp10,SEA_PHARAOH_80,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210515,-
2530140,64871226,81,KIV59_gp09,SEA_PHARAOH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871227,56,KIV59_gp34,SEA_PHARAOH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64871228,1,KIV59_gp01,SEA_PHARAOH_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2530140,64953909,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210517,-
