#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1324617,52325162,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia aspalathi.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200408,-
1324617,64446210,hisQ,BM438_RS00005,SAMN05192563_10012,-,-,-,histidine ABC transporter permease HisQ,protein-coding,-,-,-,histidine ABC transporter permease HisQ,20210430,-
1324617,64446211,BM438_RS00010,BM438_RS00010,SAMN05192563_10013,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210430,-
1324617,64446212,BM438_RS00015,BM438_RS00015,SAMN05192563_10014,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20210430,-
1324617,64446213,BM438_RS00020,BM438_RS00020,SAMN05192563_10015,-,-,-,GlxA family transcriptional regulator,protein-coding,-,-,-,GlxA family transcriptional regulator,20210430,-
1324617,64446214,BM438_RS00025,BM438_RS00025,SAMN05192563_10016,-,-,-,aspartate aminotransferase family protein,protein-coding,-,-,-,aspartate aminotransferase family protein,20210430,-
1324617,64446215,aruF,BM438_RS00030,SAMN05192563_10017,-,-,-,arginine/ornithine succinyltransferase subunit alpha,protein-coding,-,-,-,arginine/ornithine succinyltransferase subunit alpha,20210430,-
1324617,64446216,astA,BM438_RS00035,SAMN05192563_10018,-,-,-,arginine N-succinyltransferase,protein-coding,-,-,-,arginine N-succinyltransferase,20210430,-
1324617,64446217,astD,BM438_RS00040,SAMN05192563_10019,-,-,-,succinylglutamate-semialdehyde dehydrogenase,protein-coding,-,-,-,succinylglutamate-semialdehyde dehydrogenase,20210430,-
1324617,64446218,astB,BM438_RS00045,SAMN05192563_100110,-,-,-,N-succinylarginine dihydrolase,protein-coding,-,-,-,N-succinylarginine dihydrolase,20210430,-
1324617,64446219,astE,BM438_RS00050,SAMN05192563_100111,-,-,-,succinylglutamate desuccinylase,protein-coding,-,-,-,succinylglutamate desuccinylase,20210430,-
1324617,64446220,gstA,BM438_RS00055,SAMN05192563_100112,-,-,-,glutathione transferase GstA,protein-coding,-,-,-,glutathione transferase GstA,20210430,-
1324617,64446221,BM438_RS00060,BM438_RS00060,SAMN05192563_100113,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64446222,BM438_RS00065,BM438_RS00065,SAMN05192563_100114,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64446223,BM438_RS00070,BM438_RS00070,SAMN05192563_100115,-,-,-,acetoacetate decarboxylase,protein-coding,-,-,-,acetoacetate decarboxylase,20210430,-
1324617,64446224,BM438_RS00075,BM438_RS00075,SAMN05192563_100116,-,-,-,EAL domain-containing protein,protein-coding,-,-,-,EAL domain-containing protein,20210430,-
