#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575323,65053111,KMB85_gp03,KMB85_gp03,vBEcoSW011D_3,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2575323,65053112,KMB85_gp04,KMB85_gp04,vBEcoSW011D_4,-,-,-,putative zonula occludens toxin,protein-coding,-,-,-,putative zonula occludens toxin,20210608,-
2575323,65053113,KMB85_gp05,KMB85_gp05,vBEcoSW011D_5,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2575323,65053114,KMB85_gp06,KMB85_gp06,vBEcoSW011D_6,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210608,-
2575323,65053115,KMB85_gp07,KMB85_gp07,vBEcoSW011D_7,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210608,-
2575323,65053116,KMB85_gp08,KMB85_gp08,vBEcoSW011D_8,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2575323,65053117,KMB85_gp09,KMB85_gp09,vBEcoSW011D_9,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210608,-
2575323,65053118,KMB85_gp10,KMB85_gp10,vBEcoSW011D_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053119,KMB85_gp11,KMB85_gp11,vBEcoSW011D_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053120,KMB85_gp12,KMB85_gp12,vBEcoSW011D_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053121,KMB85_gp13,KMB85_gp13,vBEcoSW011D_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053122,KMB85_gp14,KMB85_gp14,vBEcoSW011D_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053123,KMB85_gp15,KMB85_gp15,vBEcoSW011D_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053124,KMB85_gp16,KMB85_gp16,vBEcoSW011D_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053125,KMB85_gp17,KMB85_gp17,vBEcoSW011D_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053126,KMB85_gp18,KMB85_gp18,vBEcoSW011D_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053127,KMB85_gp19,KMB85_gp19,vBEcoSW011D_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053128,KMB85_gp20,KMB85_gp20,vBEcoSW011D_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053129,KMB85_gp21,KMB85_gp21,vBEcoSW011D_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053130,KMB85_gp22,KMB85_gp22,vBEcoSW011D_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053131,KMB85_gp23,KMB85_gp23,vBEcoSW011D_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053132,KMB85_gp24,KMB85_gp24,vBEcoSW011D_24,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210608,-
2575323,65053133,KMB85_gp25,KMB85_gp25,vBEcoSW011D_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053134,KMB85_gp26,KMB85_gp26,vBEcoSW011D_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053135,KMB85_gp27,KMB85_gp27,vBEcoSW011D_27,-,-,-,acid phosphatase,protein-coding,-,-,-,acid phosphatase,20210608,-
