#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024239,54981763,HOR92_gp02,HOR92_gp02,KPNN141_02,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210403,-
2024239,54981764,HOR92_gp03,HOR92_gp03,KPNN141_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981765,HOR92_gp04,HOR92_gp04,KPNN141_04,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
2024239,54981766,HOR92_gp05,HOR92_gp05,KPNN141_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981767,HOR92_gp06,HOR92_gp06,KPNN141_06,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20210403,-
2024239,54981768,HOR92_gp07,HOR92_gp07,KPNN141_07,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210403,-
2024239,54981769,HOR92_gp08,HOR92_gp08,KPNN141_08,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20210403,-
2024239,54981770,HOR92_gp09,HOR92_gp09,KPNN141_09,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2024239,54981771,HOR92_gp10,HOR92_gp10,KPNN141_10,-,-,-,SAR endolysin,protein-coding,-,-,-,SAR endolysin,20201221,-
2024239,54981772,HOR92_gp11,HOR92_gp11,KPNN141_11,-,-,-,u-spanin,protein-coding,-,-,-,u-spanin,20210327,-
2024239,54981773,HOR92_gp12,HOR92_gp12,KPNN141_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981774,HOR92_gp13,HOR92_gp13,KPNN141_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2024239,54981775,HOR92_gp14,HOR92_gp14,KPNN141_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981776,HOR92_gp15,HOR92_gp15,KPNN141_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981777,HOR92_gp16,HOR92_gp16,KPNN141_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981778,HOR92_gp17,HOR92_gp17,KPNN141_17,-,-,-,cytosine DNA methylase,protein-coding,-,-,-,cytosine DNA methylase,20201221,-
2024239,54981779,HOR92_gp18,HOR92_gp18,KPNN141_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981780,HOR92_gp19,HOR92_gp19,KPNN141_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981781,HOR92_gp20,HOR92_gp20,KPNN141_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981782,HOR92_gp21,HOR92_gp21,KPNN141_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981783,HOR92_gp22,HOR92_gp22,KPNN141_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2024239,54981784,HOR92_gp23,HOR92_gp23,KPNN141_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981785,HOR92_gp24,HOR92_gp24,KPNN141_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981786,HOR92_gp25,HOR92_gp25,KPNN141_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981787,HOR92_gp26,HOR92_gp26,KPNN141_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981788,HOR92_gp27,HOR92_gp27,KPNN141_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981789,HOR92_gp28,HOR92_gp28,KPNN141_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981790,HOR92_gp29,HOR92_gp29,KPNN141_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981791,HOR92_gp30,HOR92_gp30,KPNN141_30,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
2024239,54981792,HOR92_gp31,HOR92_gp31,KPNN141_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981793,HOR92_gp32,HOR92_gp32,KPNN141_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981794,HOR92_gp33,HOR92_gp33,KPNN141_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981795,HOR92_gp34,HOR92_gp34,KPNN141_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981796,HOR92_gp35,HOR92_gp35,KPNN141_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981797,HOR92_gp36,HOR92_gp36,KPNN141_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981798,HOR92_gp37,HOR92_gp37,KPNN141_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981799,HOR92_gp38,HOR92_gp38,KPNN141_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981800,HOR92_gp39,HOR92_gp39,KPNN141_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981801,HOR92_gp40,HOR92_gp40,KPNN141_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981802,HOR92_gp41,HOR92_gp41,KPNN141_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981803,HOR92_gp42,HOR92_gp42,KPNN141_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981804,HOR92_gp43,HOR92_gp43,KPNN141_43,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20210403,-
2024239,54981805,HOR92_gp44,HOR92_gp44,KPNN141_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981806,HOR92_gp45,HOR92_gp45,KPNN141_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981807,HOR92_gp46,HOR92_gp46,KPNN141_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981808,HOR92_gp47,HOR92_gp47,KPNN141_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981809,HOR92_gp48,HOR92_gp48,KPNN141_48,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2024239,54981810,HOR92_gp49,HOR92_gp49,KPNN141_49,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2024239,54981811,HOR92_gp50,HOR92_gp50,KPNN141_50,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2024239,54981812,HOR92_gp51,HOR92_gp51,KPNN141_51,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210403,-
2024239,54981813,HOR92_gp52,HOR92_gp52,KPNN141_52,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210403,-
2024239,54981814,HOR92_gp53,HOR92_gp53,KPNN141_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981815,HOR92_gp54,HOR92_gp54,KPNN141_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2024239,54981816,HOR92_gp55,HOR92_gp55,KPNN141_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981817,HOR92_gp56,HOR92_gp56,KPNN141_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2024239,54981818,HOR92_gp57,HOR92_gp57,KPNN141_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981819,HOR92_gp58,HOR92_gp58,KPNN141_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981820,HOR92_gp59,HOR92_gp59,KPNN141_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2024239,54981821,HOR92_gp60,HOR92_gp60,KPNN141_60,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2024239,54981822,HOR92_gp61,HOR92_gp61,KPNN141_61,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210403,-
2024239,54981823,HOR92_gp62,HOR92_gp62,KPNN141_62,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210403,-
2024239,54981824,HOR92_gp63,HOR92_gp63,KPNN141_63,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20210403,-
2024239,54981825,HOR92_gp64,HOR92_gp64,KPNN141_64,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2024239,54981826,HOR92_gp65,HOR92_gp65,KPNN141_65,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2024239,54981827,HOR92_gp66,HOR92_gp66,KPNN141_66,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
