#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499071,64854788,2,KIJ59_gp02,SEA_ZETZY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210514,-
2499071,64854789,3,KIJ59_gp03,SEA_ZETZY_3,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2499071,64854790,4,KIJ59_gp04,SEA_ZETZY_4,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2499071,64854791,5,KIJ59_gp05,SEA_ZETZY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854792,6,KIJ59_gt01,SEA_ZETZY_6,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2499071,64854793,7,KIJ59_gt02,SEA_ZETZY_7,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2499071,64854794,8,KIJ59_gt03,SEA_ZETZY_8,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2499071,64854795,9,KIJ59_gp81,SEA_ZETZY_9,-,-,-,holin,protein-coding,-,-,-,holin,20210514,-
2499071,64854796,1,KIJ59_gp01,SEA_ZETZY_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2499071,64854797,10,KIJ59_gp80,SEA_ZETZY_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210514,-
2499071,64854798,11,KIJ59_gp79,SEA_ZETZY_11,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210514,-
2499071,64854799,12,KIJ59_gp78,SEA_ZETZY_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210514,-
2499071,64854800,13,KIJ59_gp77,SEA_ZETZY_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210514,-
2499071,64854801,14,KIJ59_gp76,SEA_ZETZY_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210514,-
2499071,64854802,15,KIJ59_gp75,SEA_ZETZY_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210514,-
2499071,64854803,16,KIJ59_gp74,SEA_ZETZY_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210514,-
2499071,64854804,17,KIJ59_gp73,SEA_ZETZY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854805,18,KIJ59_gp72,SEA_ZETZY_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210514,-
2499071,64854806,19,KIJ59_gp71,SEA_ZETZY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854807,20,KIJ59_gp70,SEA_ZETZY_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210514,-
2499071,64854808,21,KIJ59_gp69,SEA_ZETZY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2499071,64854809,22,KIJ59_gp68,SEA_ZETZY_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210514,-
2499071,64854810,23,KIJ59_gp67,SEA_ZETZY_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210514,-
2499071,64854811,25,KIJ59_gp66,SEA_ZETZY_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210514,-
2499071,64854812,26,KIJ59_gp64,SEA_ZETZY_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210514,-
2499071,64854813,24,KIJ59_gp65,SEA_ZETZY_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210514,-
2499071,64854814,27,KIJ59_gp63,SEA_ZETZY_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2499071,64854815,28,KIJ59_gp62,SEA_ZETZY_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2499071,64854816,29,KIJ59_gp61,SEA_ZETZY_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2499071,64854817,30,KIJ59_gp60,SEA_ZETZY_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2499071,64854818,31,KIJ59_gp59,SEA_ZETZY_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2499071,64854819,32,KIJ59_gp58,SEA_ZETZY_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2499071,64854820,33,KIJ59_gp57,SEA_ZETZY_33,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210514,-
2499071,64854821,34,KIJ59_gp56,SEA_ZETZY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854822,35,KIJ59_gp55,SEA_ZETZY_35,-,-,-,integrase,protein-coding,-,-,-,integrase,20210514,-
2499071,64854823,36,KIJ59_gp54,SEA_ZETZY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854824,37,KIJ59_gp53,SEA_ZETZY_37,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210522,-
2499071,64854825,38,KIJ59_gp52,SEA_ZETZY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854826,39,KIJ59_gp51,SEA_ZETZY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854827,40,KIJ59_gp50,SEA_ZETZY_40,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210522,-
2499071,64854828,41,KIJ59_gp49,SEA_ZETZY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854829,42,KIJ59_gp48,SEA_ZETZY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854830,43,KIJ59_gp47,SEA_ZETZY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854831,44,KIJ59_gp46,SEA_ZETZY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854832,45,KIJ59_gp45,SEA_ZETZY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854833,46,KIJ59_gp44,SEA_ZETZY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854834,47,KIJ59_gp43,SEA_ZETZY_47,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210514,-
2499071,64854835,48,KIJ59_gp42,SEA_ZETZY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854836,49,KIJ59_gp41,SEA_ZETZY_49,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210514,-
2499071,64854837,50,KIJ59_gp40,SEA_ZETZY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854838,51,KIJ59_gp39,SEA_ZETZY_51,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210514,-
2499071,64854839,52,KIJ59_gp38,SEA_ZETZY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854840,53,KIJ59_gp37,SEA_ZETZY_53,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210514,-
2499071,64854841,54,KIJ59_gp36,SEA_ZETZY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2499071,64854842,55,KIJ59_gp35,SEA_ZETZY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854843,56,KIJ59_gp34,SEA_ZETZY_56,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210514,-
2499071,64854844,57,KIJ59_gp33,SEA_ZETZY_57,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210514,-
2499071,64854845,58,KIJ59_gp32,SEA_ZETZY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854846,59,KIJ59_gp31,SEA_ZETZY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854847,60,KIJ59_gp30,SEA_ZETZY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854848,61,KIJ59_gp29,SEA_ZETZY_61,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210514,-
2499071,64854849,62,KIJ59_gp28,SEA_ZETZY_62,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210612,-
2499071,64854850,63,KIJ59_gp27,SEA_ZETZY_63,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210514,-
2499071,64854851,64,KIJ59_gp26,SEA_ZETZY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854852,65,KIJ59_gp25,SEA_ZETZY_65,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210514,-
2499071,64854853,66,KIJ59_gp24,SEA_ZETZY_66,-,-,-,DprA-like DNA processing chain A,protein-coding,-,-,-,DprA-like DNA processing chain A,20210514,-
2499071,64854854,67,KIJ59_gp23,SEA_ZETZY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854855,68,KIJ59_gp22,SEA_ZETZY_68,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210514,-
2499071,64854856,69,KIJ59_gp21,SEA_ZETZY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854857,70,KIJ59_gp20,SEA_ZETZY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854858,71,KIJ59_gp19,SEA_ZETZY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854859,72,KIJ59_gp18,SEA_ZETZY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854860,73,KIJ59_gp17,SEA_ZETZY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854861,74,KIJ59_gp16,SEA_ZETZY_74,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210514,-
2499071,64854862,75,KIJ59_gp15,SEA_ZETZY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854863,76,KIJ59_gp14,SEA_ZETZY_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210514,-
2499071,64854864,77,KIJ59_gp13,SEA_ZETZY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854865,78,KIJ59_gp12,SEA_ZETZY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854866,79,KIJ59_gp11,SEA_ZETZY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854867,80,KIJ59_gp10,SEA_ZETZY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854868,81,KIJ59_gp09,SEA_ZETZY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854869,82,KIJ59_gp08,SEA_ZETZY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854870,83,KIJ59_gp07,SEA_ZETZY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64854871,84,KIJ59_gp06,SEA_ZETZY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2499071,64953897,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210517,-
