#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1536603,23678943,PBI_ESTAVE1_2,PBI_ESTAVE1_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1536603,23678944,PBI_ESTAVE1_3,PBI_ESTAVE1_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1536603,23678945,PBI_ESTAVE1_4,PBI_ESTAVE1_4,-,-,-,-,capsid maturation protein,protein-coding,-,-,-,capsid maturation protein,20201221,-
1536603,23678946,PBI_ESTAVE1_5,PBI_ESTAVE1_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1536603,23678947,PBI_ESTAVE1_6,PBI_ESTAVE1_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1536603,23678948,PBI_ESTAVE1_7,PBI_ESTAVE1_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1536603,23678949,PBI_ESTAVE1_8,PBI_ESTAVE1_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1536603,23678950,PBI_ESTAVE1_9,PBI_ESTAVE1_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678951,PBI_ESTAVE1_10,PBI_ESTAVE1_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1536603,23678952,PBI_ESTAVE1_11,PBI_ESTAVE1_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1536603,23678953,PBI_ESTAVE1_13,PBI_ESTAVE1_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1536603,23678954,PBI_ESTAVE1_14,PBI_ESTAVE1_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1536603,23678955,PBI_ESTAVE1_12,PBI_ESTAVE1_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1536603,23678956,PBI_ESTAVE1_15,PBI_ESTAVE1_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536603,23678957,PBI_ESTAVE1_16,PBI_ESTAVE1_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536603,23678958,PBI_ESTAVE1_17,PBI_ESTAVE1_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536603,23678959,PBI_ESTAVE1_18,PBI_ESTAVE1_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536603,23678960,PBI_ESTAVE1_19,PBI_ESTAVE1_19,-,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20201221,-
1536603,23678961,PBI_ESTAVE1_20,PBI_ESTAVE1_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536603,23678962,PBI_ESTAVE1_21,PBI_ESTAVE1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678963,PBI_ESTAVE1_22,PBI_ESTAVE1_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678964,PBI_ESTAVE1_23,PBI_ESTAVE1_23,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1536603,23678965,PBI_ESTAVE1_24,PBI_ESTAVE1_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678966,PBI_ESTAVE1_25,PBI_ESTAVE1_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678967,PBI_ESTAVE1_26,PBI_ESTAVE1_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678968,PBI_ESTAVE1_27,PBI_ESTAVE1_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678969,PBI_ESTAVE1_28,PBI_ESTAVE1_28,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1536603,23678970,PBI_ESTAVE1_29,PBI_ESTAVE1_29,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1536603,23678971,PBI_ESTAVE1_30,PBI_ESTAVE1_30,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1536603,23678972,PBI_ESTAVE1_31,PBI_ESTAVE1_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678973,PBI_ESTAVE1_32,PBI_ESTAVE1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678974,PBI_ESTAVE1_33,PBI_ESTAVE1_33,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20201221,-
1536603,23678975,PBI_ESTAVE1_34,PBI_ESTAVE1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678976,PBI_ESTAVE1_35,PBI_ESTAVE1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678977,PBI_ESTAVE1_36,PBI_ESTAVE1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678978,PBI_ESTAVE1_37,PBI_ESTAVE1_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678979,PBI_ESTAVE1_38,PBI_ESTAVE1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678980,PBI_ESTAVE1_39,PBI_ESTAVE1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678981,PBI_ESTAVE1_40,PBI_ESTAVE1_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678982,PBI_ESTAVE1_41,PBI_ESTAVE1_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678983,PBI_ESTAVE1_42,PBI_ESTAVE1_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678984,PBI_ESTAVE1_43,PBI_ESTAVE1_43,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
1536603,23678985,PBI_ESTAVE1_44,PBI_ESTAVE1_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
