#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
72407,20564796,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20160921,-
72407,39499737,DXM79_RS00465,DXM79_RS00465,DXM79_28645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
72407,39499748,DXM79_RS00060,DXM79_RS00060,DXM79_28235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
72407,39499752,DXM79_RS00565,DXM79_RS00565,DXM79_28745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
72407,39499762,DXM79_RS00560,DXM79_RS00560,DXM79_28740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
72407,39499763,DXM79_RS00690,DXM79_RS00690,DXM79_28870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
72407,39499777,DXM79_RS00135,DXM79_RS00135,DXM79_28310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
72407,39499786,DXM79_RS00570,DXM79_RS00570,DXM79_28750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
72407,39499801,DXM79_RS00620,DXM79_RS00620,DXM79_28800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
72407,39499822,DXM79_RS00605,DXM79_RS00605,DXM79_28785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
72407,39499823,DXM79_RS00115,DXM79_RS00115,DXM79_28290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
72407,39499845,DXM79_RS00610,DXM79_RS00610,DXM79_28790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
72407,39499846,DXM79_RS00515,DXM79_RS00515,DXM79_28695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
72407,39499850,DXM79_RS00500,DXM79_RS00500,DXM79_28680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
