#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
36911,8512230,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Candida lusitaniae; Clavispora imtechensis; Clavispora imtechensis (nom, inval.)).",other,-,-,-,-,20200810,-
36911,16792570,atp9,-,-,-,MT,-,ATP synthase F0 subunit 9,protein-coding,-,-,-,-,20210529,-
36911,16792571,trnR(ucu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792572,nad5,-,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20160903,-
36911,16792573,nad4L,-,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20160903,-
36911,16792574,cob,-,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,-,20150626,-
36911,16792575,atp6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20150718,-
36911,16792576,atp8,-,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20160903,-
36911,16792577,trnP(ugg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792578,trnC(gca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792579,trnG(ucc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792580,trnE(uuc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792581,trnT(ugu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792582,trnM(cau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792583,trnH(gug),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792584,trnY(gua),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792585,trnL(uaa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792586,trnI(gau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792587,rns,-,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20130906,-
36911,16792588,trnM(cau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792589,trnM(cau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792590,trnR(acg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792591,trnS(gcu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792592,trnD(guc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792593,trnQ(uug),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792594,orf113,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20150626,-
36911,16792595,cox3,-,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,-,20160903,-
36911,16792596,trnK(uuu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792597,trnF(gaa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792598,trnW(uca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792599,trnV(uac),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792600,orf100,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20150626,-
36911,16792601,nad1,-,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20160903,-
36911,16792602,nad6,-,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20160903,-
36911,16792603,trnN(guu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792604,cox2,-,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,-,20160903,-
36911,16792605,trnA(ugc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792606,rnl,-,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20130906,-
36911,16792607,nad4,-,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20160903,-
36911,16792608,trnL(uag),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792609,trnS(uga),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
36911,16792610,orf102,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20150626,-
36911,16792611,nad3,-,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20160903,-
36911,16792612,nad2,-,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20160903,-
36911,16792613,cox1-I1,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20160903,-
36911,16792614,cox1,-,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,-,20160903,-
