#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743932,64368024,2,KD933_gp02,SEA_REBEL_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210423,-
2743932,64368025,3,KD933_gp03,SEA_REBEL_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368026,4,KD933_gp04,SEA_REBEL_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2743932,64368027,5,KD933_gp05,SEA_REBEL_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210522,-
2743932,64368028,6,KD933_gp06,SEA_REBEL_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2743932,64368029,7,KD933_gp07,SEA_REBEL_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368030,8,KD933_gp08,SEA_REBEL_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210423,-
2743932,64368031,9,KD933_gp09,SEA_REBEL_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210423,-
2743932,64368032,10,KD933_gp10,SEA_REBEL_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368033,11,KD933_gp11,SEA_REBEL_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743932,64368034,12,KD933_gp12,SEA_REBEL_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210423,-
2743932,64368035,13,KD933_gp13,SEA_REBEL_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210423,-
2743932,64368036,15,KD933_gp14,SEA_REBEL_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2743932,64368037,16,KD933_gp16,SEA_REBEL_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210605,-
2743932,64368038,14,KD933_gp15,SEA_REBEL_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2743932,64368039,17,KD933_gp17,SEA_REBEL_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743932,64368040,18,KD933_gp18,SEA_REBEL_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743932,64368041,19,KD933_gp19,SEA_REBEL_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743932,64368042,20,KD933_gp20,SEA_REBEL_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743932,64368043,21,KD933_gp21,SEA_REBEL_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743932,64368044,22,KD933_gp22,SEA_REBEL_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368045,23,KD933_gp23,SEA_REBEL_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368046,24,KD933_gp24,SEA_REBEL_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368047,26,KD933_gp26,SEA_REBEL_26,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
2743932,64368048,27,KD933_gp27,SEA_REBEL_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2743932,64368049,28,KD933_gp28,SEA_REBEL_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2743932,64368050,29,KD933_gp29,SEA_REBEL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368051,30,KD933_gp30,SEA_REBEL_30,-,-,-,putative immunity repressor,protein-coding,-,-,-,putative immunity repressor,20210423,-
2743932,64368052,33,KD933_gp33,SEA_REBEL_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368053,34,KD933_gp34,SEA_REBEL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368054,35,KD933_gp35,SEA_REBEL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368055,36,KD933_gp36,SEA_REBEL_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743932,64368056,37,KD933_gp37,SEA_REBEL_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2743932,64368057,38,KD933_gp38,SEA_REBEL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368058,41,KD933_gp41,SEA_REBEL_41,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210522,-
2743932,64368059,42,KD933_gp42,SEA_REBEL_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368060,43,KD933_gp43,SEA_REBEL_43,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210522,-
2743932,64368061,44,KD933_gp44,SEA_REBEL_44,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210522,-
2743932,64368062,45,KD933_gp45,SEA_REBEL_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
