#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599843,55622986,2,HWC68_gp02,PBI_GIBBIN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2599843,55622987,3,HWC68_gp03,PBI_GIBBIN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2599843,55622988,4,HWC68_gp04,PBI_GIBBIN_4,-,-,-,esterase,protein-coding,-,-,-,esterase,20210424,-
2599843,55622989,5,HWC68_gp05,PBI_GIBBIN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55622990,6,HWC68_gp06,PBI_GIBBIN_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55622991,7,HWC68_gp07,PBI_GIBBIN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55622992,8,HWC68_gp08,PBI_GIBBIN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55622993,9,HWC68_gp09,PBI_GIBBIN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55622994,10,HWC68_gp10,PBI_GIBBIN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55622995,11,HWC68_gp11,PBI_GIBBIN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55622996,12,HWC68_gp12,PBI_GIBBIN_12,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210424,-
2599843,55622997,13,HWC68_gp13,PBI_GIBBIN_13,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200620,-
2599843,55622998,14,HWC68_gp14,PBI_GIBBIN_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55622999,15,HWC68_gp15,PBI_GIBBIN_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623000,16,HWC68_gp16,PBI_GIBBIN_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2599843,55623001,17,HWC68_gp17,PBI_GIBBIN_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623002,18,HWC68_gp18,PBI_GIBBIN_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623003,20,HWC68_gp20,PBI_GIBBIN_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2599843,55623004,21,HWC68_gp21,PBI_GIBBIN_21,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20200620,-
2599843,55623005,22,HWC68_gp22,PBI_GIBBIN_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2599843,55623006,23,HWC68_gp23,PBI_GIBBIN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623007,24,HWC68_gp24,PBI_GIBBIN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623008,26,HWC68_gp26,PBI_GIBBIN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623009,27,HWC68_gp27,PBI_GIBBIN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623010,28,HWC68_gp28,PBI_GIBBIN_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2599843,55623011,29,HWC68_gp29,PBI_GIBBIN_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599843,55623012,30,HWC68_gp30,PBI_GIBBIN_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599843,55623013,31,HWC68_gp31,PBI_GIBBIN_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599843,55623014,32,HWC68_gp32,PBI_GIBBIN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623015,33,HWC68_gp33,PBI_GIBBIN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623016,34,HWC68_gp34,PBI_GIBBIN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623017,35,HWC68_gp35,PBI_GIBBIN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623018,36,HWC68_gp36,PBI_GIBBIN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623019,37,HWC68_gp37,PBI_GIBBIN_37,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2599843,55623020,38,HWC68_gp38,PBI_GIBBIN_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599843,55623021,39,HWC68_gp39,PBI_GIBBIN_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599843,55623022,40,HWC68_gp40,PBI_GIBBIN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623023,41,HWC68_gp41,PBI_GIBBIN_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599843,55623024,43,HWC68_gp43,PBI_GIBBIN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623025,44,HWC68_gp44,PBI_GIBBIN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623026,45,HWC68_gp45,PBI_GIBBIN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623027,46,HWC68_gp46,PBI_GIBBIN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623028,47,HWC68_gp47,PBI_GIBBIN_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599843,55623029,48,HWC68_gp48,PBI_GIBBIN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623030,49,HWC68_gp49,PBI_GIBBIN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623031,50,HWC68_gp50,PBI_GIBBIN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623032,51,HWC68_gp51,PBI_GIBBIN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599843,55623033,52,HWC68_gp52,PBI_GIBBIN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623034,53,HWC68_gp53,PBI_GIBBIN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623035,54,HWC68_gp54,PBI_GIBBIN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623036,55,HWC68_gp55,PBI_GIBBIN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623037,56,HWC68_gp56,PBI_GIBBIN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623038,57,HWC68_gp57,PBI_GIBBIN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623039,58,HWC68_gp58,PBI_GIBBIN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623040,59,HWC68_gp59,PBI_GIBBIN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623041,60,HWC68_gp60,PBI_GIBBIN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623042,61,HWC68_gp61,PBI_GIBBIN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623043,63,HWC68_gp63,PBI_GIBBIN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623044,64,HWC68_gp64,PBI_GIBBIN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623045,65,HWC68_gp65,PBI_GIBBIN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623046,66,HWC68_gp66,PBI_GIBBIN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623047,67,HWC68_gp67,PBI_GIBBIN_67,-,-,-,DNA helicase/nuclease,protein-coding,-,-,-,DNA helicase/nuclease,20210424,-
2599843,55623048,68,HWC68_gp68,PBI_GIBBIN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623049,69,HWC68_gp69,PBI_GIBBIN_69,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2599843,55623050,70,HWC68_gp70,PBI_GIBBIN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623051,71,HWC68_gp71,PBI_GIBBIN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623052,73,HWC68_gp73,PBI_GIBBIN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623053,75,HWC68_gp75,PBI_GIBBIN_75,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2599843,55623054,76,HWC68_gp76,PBI_GIBBIN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623055,77,HWC68_gp77,PBI_GIBBIN_77,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20201217,-
2599843,55623056,78,HWC68_gp78,PBI_GIBBIN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623057,82,HWC68_gp82,PBI_GIBBIN_82,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210424,-
2599843,55623058,83,HWC68_gp83,PBI_GIBBIN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623059,84,HWC68_gp84,PBI_GIBBIN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623060,85,HWC68_gp85,PBI_GIBBIN_85,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210424,-
2599843,55623061,86,HWC68_gp86,PBI_GIBBIN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623062,87,HWC68_gp87,PBI_GIBBIN_87,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200620,-
2599843,55623063,88,HWC68_gp88,PBI_GIBBIN_88,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210424,-
2599843,55623064,89,HWC68_gp89,PBI_GIBBIN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623065,90,HWC68_gp90,PBI_GIBBIN_90,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2599843,55623066,91,HWC68_gp91,PBI_GIBBIN_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623067,92,HWC68_gp92,PBI_GIBBIN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623068,93,HWC68_gp93,PBI_GIBBIN_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623069,94,HWC68_gp94,PBI_GIBBIN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623070,95,HWC68_gp95,PBI_GIBBIN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623071,96,HWC68_gp96,PBI_GIBBIN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623072,97,HWC68_gp97,PBI_GIBBIN_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623073,98,HWC68_gp98,PBI_GIBBIN_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623074,99,HWC68_gp99,PBI_GIBBIN_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623075,25,HWC68_gp25,PBI_GIBBIN_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201217,-
2599843,55623076,19,HWC68_gp19,PBI_GIBBIN_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623077,42,HWC68_gp42,PBI_GIBBIN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623078,62,HWC68_gp62,PBI_GIBBIN_62,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201217,-
2599843,55623079,72,HWC68_gp72,PBI_GIBBIN_72,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210424,-
2599843,55623080,74,HWC68_gp74,PBI_GIBBIN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623081,79,HWC68_gp79,PBI_GIBBIN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55623082,80,HWC68_gp80,PBI_GIBBIN_80,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599843,55623083,81,HWC68_gp81,PBI_GIBBIN_81,-,-,-,DnaE-like DNA polymerase III,protein-coding,-,-,-,DnaE-like DNA polymerase III,20201217,-
2599843,55623084,1,HWC68_gp01,PBI_GIBBIN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599843,55636024,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
