#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698366,26634190,AVV06_gp02,AVV06_gp02,SEA_CHADWICK_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200622,-
1698366,26634191,AVV06_gp03,AVV06_gp03,SEA_CHADWICK_3,-,-,-,tail subunit,protein-coding,-,-,-,tail subunit,20200622,-
1698366,26634192,AVV06_gp04,AVV06_gp04,SEA_CHADWICK_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634193,AVV06_gp05,AVV06_gp05,SEA_CHADWICK_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634194,AVV06_gt01,AVV06_gt01,SEA_CHADWICK_6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1698366,26634195,AVV06_gp88,AVV06_gp88,SEA_CHADWICK_7,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200622,-
1698366,26634196,AVV06_gp87,AVV06_gp87,SEA_CHADWICK_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634197,AVV06_gp86,AVV06_gp86,SEA_CHADWICK_9,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200622,-
1698366,26634198,AVV06_gp85,AVV06_gp85,SEA_CHADWICK_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634199,AVV06_gp84,AVV06_gp84,SEA_CHADWICK_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200622,-
1698366,26634200,AVV06_gp83,AVV06_gp83,SEA_CHADWICK_12,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200622,-
1698366,26634201,AVV06_gp82,AVV06_gp82,SEA_CHADWICK_13,-,-,-,capsid scaffold protein,protein-coding,-,-,-,capsid scaffold protein,20200622,-
1698366,26634202,AVV06_gp81,AVV06_gp81,SEA_CHADWICK_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200622,-
1698366,26634203,AVV06_gp80,AVV06_gp80,SEA_CHADWICK_15,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200622,-
1698366,26634204,AVV06_gp79,AVV06_gp79,SEA_CHADWICK_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634205,AVV06_gp78,AVV06_gp78,SEA_CHADWICK_17,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200622,-
1698366,26634206,AVV06_gp77,AVV06_gp77,SEA_CHADWICK_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634207,AVV06_gp76,AVV06_gp76,SEA_CHADWICK_19,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200622,-
1698366,26634208,AVV06_gp75,AVV06_gp75,SEA_CHADWICK_20,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200622,-
1698366,26634209,AVV06_gp74,AVV06_gp74,SEA_CHADWICK_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200622,-
1698366,26634210,AVV06_gp73,AVV06_gp73,SEA_CHADWICK_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200912,-
1698366,26634211,AVV06_gp72,AVV06_gp72,SEA_CHADWICK_23,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200622,-
1698366,26634212,AVV06_gp71,AVV06_gp71,SEA_CHADWICK_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1698366,26634213,AVV06_gp70,AVV06_gp70,SEA_CHADWICK_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1698366,26634214,AVV06_gp69,AVV06_gp69,SEA_CHADWICK_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634215,AVV06_gp68,AVV06_gp68,SEA_CHADWICK_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634216,AVV06_gp67,AVV06_gp67,SEA_CHADWICK_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634217,AVV06_gp66,AVV06_gp66,SEA_CHADWICK_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634218,AVV06_gp65,AVV06_gp65,SEA_CHADWICK_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634219,AVV06_gp64,AVV06_gp64,SEA_CHADWICK_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634220,AVV06_gp63,AVV06_gp63,SEA_CHADWICK_32,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20200919,-
1698366,26634221,AVV06_gp62,AVV06_gp62,SEA_CHADWICK_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634222,AVV06_gp61,AVV06_gp61,SEA_CHADWICK_34,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200622,-
1698366,26634223,AVV06_gp60,AVV06_gp60,SEA_CHADWICK_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634224,AVV06_gp59,AVV06_gp59,SEA_CHADWICK_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634225,AVV06_gp58,AVV06_gp58,SEA_CHADWICK_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634226,AVV06_gp57,AVV06_gp57,SEA_CHADWICK_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634227,AVV06_gp56,AVV06_gp56,SEA_CHADWICK_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634228,AVV06_gp55,AVV06_gp55,SEA_CHADWICK_40,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200919,-
1698366,26634229,AVV06_gp54,AVV06_gp54,SEA_CHADWICK_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634230,AVV06_gp53,AVV06_gp53,SEA_CHADWICK_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634231,AVV06_gp52,AVV06_gp52,SEA_CHADWICK_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634232,AVV06_gp51,AVV06_gp51,SEA_CHADWICK_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634233,AVV06_gp50,AVV06_gp50,SEA_CHADWICK_45,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200622,-
1698366,26634234,AVV06_gp49,AVV06_gp49,SEA_CHADWICK_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634235,AVV06_gp48,AVV06_gp48,SEA_CHADWICK_47,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200622,-
1698366,26634236,AVV06_gp47,AVV06_gp47,SEA_CHADWICK_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634237,AVV06_gp46,AVV06_gp46,SEA_CHADWICK_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634238,AVV06_gp45,AVV06_gp45,SEA_CHADWICK_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634239,AVV06_gp44,AVV06_gp44,SEA_CHADWICK_51,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200622,-
1698366,26634240,AVV06_gp43,AVV06_gp43,SEA_CHADWICK_52,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200622,-
1698366,26634241,AVV06_gp42,AVV06_gp42,SEA_CHADWICK_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634242,AVV06_gp41,AVV06_gp41,SEA_CHADWICK_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634243,AVV06_gp40,AVV06_gp40,SEA_CHADWICK_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634244,AVV06_gp39,AVV06_gp39,SEA_CHADWICK_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634245,AVV06_gp38,AVV06_gp38,SEA_CHADWICK_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
1698366,26634246,AVV06_gp37,AVV06_gp37,SEA_CHADWICK_58,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
1698366,26634247,AVV06_gp36,AVV06_gp36,SEA_CHADWICK_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634248,AVV06_gp35,AVV06_gp35,SEA_CHADWICK_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634249,AVV06_gp34,AVV06_gp34,SEA_CHADWICK_61,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200919,-
1698366,26634250,AVV06_gp33,AVV06_gp33,SEA_CHADWICK_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634251,AVV06_gp32,AVV06_gp32,SEA_CHADWICK_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634252,AVV06_gp31,AVV06_gp31,SEA_CHADWICK_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634253,AVV06_gp30,AVV06_gp30,SEA_CHADWICK_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634254,AVV06_gp29,AVV06_gp29,SEA_CHADWICK_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634255,AVV06_gp28,AVV06_gp28,SEA_CHADWICK_67,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200622,-
1698366,26634256,AVV06_gp27,AVV06_gp27,SEA_CHADWICK_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634257,AVV06_gp26,AVV06_gp26,SEA_CHADWICK_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634258,AVV06_gp25,AVV06_gp25,SEA_CHADWICK_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634259,AVV06_gp24,AVV06_gp24,SEA_CHADWICK_71,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200912,-
1698366,26634260,AVV06_gp23,AVV06_gp23,SEA_CHADWICK_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634261,AVV06_gp22,AVV06_gp22,SEA_CHADWICK_73,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200919,-
1698366,26634262,AVV06_gp21,AVV06_gp21,SEA_CHADWICK_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634263,AVV06_gp20,AVV06_gp20,SEA_CHADWICK_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634264,AVV06_gp19,AVV06_gp19,SEA_CHADWICK_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634265,AVV06_gp18,AVV06_gp18,SEA_CHADWICK_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634266,AVV06_gp17,AVV06_gp17,SEA_CHADWICK_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634267,AVV06_gp16,AVV06_gp16,SEA_CHADWICK_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634268,AVV06_gp15,AVV06_gp15,SEA_CHADWICK_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634269,AVV06_gp14,AVV06_gp14,SEA_CHADWICK_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634270,AVV06_gp13,AVV06_gp13,SEA_CHADWICK_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634271,AVV06_gp12,AVV06_gp12,SEA_CHADWICK_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634272,AVV06_gp11,AVV06_gp11,SEA_CHADWICK_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634273,AVV06_gp10,AVV06_gp10,SEA_CHADWICK_85,-,-,-,ArdA-like antirestriction protein,protein-coding,-,-,-,ArdA-like antirestriction protein,20200622,-
1698366,26634274,AVV06_gp09,AVV06_gp09,SEA_CHADWICK_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634275,AVV06_gp08,AVV06_gp08,SEA_CHADWICK_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634276,AVV06_gp07,AVV06_gp07,SEA_CHADWICK_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634277,AVV06_gp06,AVV06_gp06,SEA_CHADWICK_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698366,26634278,AVV06_gp01,AVV06_gp01,SEA_CHADWICK_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200622,-
1698366,26680923,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Chadwick).,other,-,-,-,-,20200513,-
