#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2704043,55626931,2,HWD06_gp002,SEA_CORNIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200620,-
2704043,55626932,3,HWD06_gp003,SEA_CORNIE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
2704043,55626933,4,HWD06_gp004,SEA_CORNIE_4,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200620,-
2704043,55626934,5,HWD06_gp005,SEA_CORNIE_5,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20210320,-
2704043,55626935,6,HWD06_gp006,SEA_CORNIE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210320,-
2704043,55626936,7,HWD06_gp007,SEA_CORNIE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626937,8,HWD06_gp008,SEA_CORNIE_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200620,-
2704043,55626938,9,HWD06_gp009,SEA_CORNIE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626939,10,HWD06_gp010,SEA_CORNIE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704043,55626940,11,HWD06_gp011,SEA_CORNIE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626941,12,HWD06_gp012,SEA_CORNIE_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200620,-
2704043,55626942,14,HWD06_gp013,SEA_CORNIE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2704043,55626943,15,HWD06_gp015,SEA_CORNIE_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210320,-
2704043,55626944,16,HWD06_gp016,SEA_CORNIE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2704043,55626945,17,HWD06_gp017,SEA_CORNIE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2704043,55626946,18,HWD06_gp018,SEA_CORNIE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2704043,55626947,19,HWD06_gp019,SEA_CORNIE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2704043,55626948,20,HWD06_gp020,SEA_CORNIE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2704043,55626949,21,HWD06_gp021,SEA_CORNIE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210320,-
2704043,55626950,22,HWD06_gp022,SEA_CORNIE_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2704043,55626951,23,HWD06_gp023,SEA_CORNIE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626952,24,HWD06_gp024,SEA_CORNIE_24,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210320,-
2704043,55626953,25,HWD06_gp025,SEA_CORNIE_25,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200620,-
