#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089132,18560934,2,SG4_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1089132,18560935,3,SG4_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1089132,18560936,4,SG4_4,-,-,-,-,protease,protein-coding,-,-,-,protease,20201220,-
1089132,18560937,5,SG4_5,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201220,-
1089132,18560938,6,SG4_6,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201220,-
1089132,18560939,7,SG4_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1089132,18560940,8,SG4_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1089132,18560941,9,SG4_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1089132,18560942,10,SG4_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1089132,18560943,11,SG4_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1089132,18560944,13,SG4_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1089132,18560945,14,SG4_14,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1089132,18560946,12,SG4_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1089132,18560947,15,SG4_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560948,16,SG4_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560949,17,SG4_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560950,18,SG4_18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1089132,18560951,19,SG4_19,-,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20210424,-
1089132,18560952,20,SG4_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560953,21,SG4_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560954,22,SG4_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560955,23,SG4_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560956,24,SG4_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560957,25,SG4_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560958,26,SG4_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560959,27,SG4_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560960,28,SG4_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560961,29,SG4_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560962,30,SG4_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1089132,18560963,31,SG4_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560964,32,SG4_32,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1089132,18560965,33,SG4_33,-,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
1089132,18560966,34,SG4_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560967,35,SG4_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560968,36,SG4_36,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20201220,-
1089132,18560969,37,SG4_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560970,38,SG4_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560971,39,SG4_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560972,40,SG4_40,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1089132,18560973,41,SG4_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560974,42,SG4_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560975,43,SG4_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560976,44,SG4_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1089132,18560977,45,SG4_45,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20201220,-
1089132,18560978,46,SG4_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560979,47,SG4_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560980,48,SG4_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560981,49,SG4_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560982,50,SG4_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560983,51,SG4_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560984,52,SG4_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560985,53,SG4_53,-,-,-,-,Hyp,protein-coding,-,-,-,Hyp,20210424,-
1089132,18560986,54,SG4_54,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210313,-
1089132,18560987,55,SG4_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560988,56,SG4_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1089132,18560989,57,SG4_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1089132,18560990,58,SG4_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560991,59,SG4_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560992,60,SG4_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560993,61,SG4_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560994,62,SG4_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560995,63,SG4_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560996,64,SG4_64,-,-,-,-,DNA-cytosine methyltransferase,protein-coding,-,-,-,DNA-cytosine methyltransferase,20201220,-
1089132,18560997,65,SG4_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560998,66,SG4_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18560999,67,SG4_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18561000,68,SG4_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18561001,69,SG4_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18561002,70,SG4_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089132,18561003,71,SG4_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
