#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2048976,65068152,KMC58_gp02,KMC58_gp02,CNR35_00002,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2048976,65068153,KMC58_gp03,KMC58_gp03,CNR35_00003,-,-,-,putative rIIB-like protein,protein-coding,-,-,-,putative rIIB-like protein,20210607,-
2048976,65068154,KMC58_gp04,KMC58_gp04,CNR35_00004,-,-,-,putative NTP pyrophosphohydrolase,protein-coding,-,-,-,putative NTP pyrophosphohydrolase,20210607,-
2048976,65068155,KMC58_gp05,KMC58_gp05,CNR35_00005,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2048976,65068156,KMC58_gp06,KMC58_gp06,CNR35_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068157,polA,KMC58_gp07,CNR35_00007,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210607,-
2048976,65068158,KMC58_gp08,KMC58_gp08,CNR35_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068159,KMC58_gp09,KMC58_gp09,CNR35_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068160,KMC58_gp10,KMC58_gp10,CNR35_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068161,KMC58_gp11,KMC58_gp11,CNR35_00011,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210607,-
2048976,65068162,KMC58_gp12,KMC58_gp12,CNR35_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068163,KMC58_gp13,KMC58_gp13,CNR35_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068164,KMC58_gp14,KMC58_gp14,CNR35_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
