#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
673376,14008201,phi26F_gp2,F431_gp02,-,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201220,-
673376,14008202,phi26F_gp3,F431_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008203,phi26F_gp4,F431_gp04,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20201220,-
673376,14008204,phi26F_gp5,F431_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008205,phi26F_gp6,F431_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008206,phi26F_gp7,F431_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008207,phi26F_gp8,F431_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008208,phi26F_gp9,F431_gp09,-,-,-,-,P-loop ATPase-like protein,protein-coding,-,-,-,P-loop ATPase-like protein,20201220,-
673376,14008209,phi26F_gp10,F431_gp10,-,-,-,-,phage minor structural protein GP20,protein-coding,-,-,-,phage minor structural protein GP20,20201220,-
673376,14008210,phi26F_gp11,F431_gp11,-,-,-,-,P22 coat protein 5,protein-coding,-,-,-,P22 coat protein 5,20201220,-
673376,14008211,phi26F_gp12,F431_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008212,phi26F_gp13,F431_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008213,phi26F_gp14,F431_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008214,phi26F_gp15,F431_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008215,phi26F_gp16,F431_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008216,phi26F_gp17,F431_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008217,phi26F_gp18,F431_gp18,-,-,-,-,phage tail tape measure protein,protein-coding,-,-,-,phage tail tape measure protein,20201220,-
673376,14008218,phi26F_gp19,F431_gp19,-,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20201220,-
673376,14008219,phi26F_gp20,F431_gp20,-,-,-,-,putative phage tail component,protein-coding,-,-,-,putative phage tail component,20201220,-
