#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1486472,23679508,2,VC46_gp002,PBI_GAIA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1486472,23679509,3,VC46_gp003,PBI_GAIA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1486472,23679510,4,VC46_gp004,PBI_GAIA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679511,5,VC46_gp005,PBI_GAIA_5,-,-,-,major capsid,protein-coding,-,-,-,major capsid,20200910,-
1486472,23679512,6,VC46_gp006,PBI_GAIA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679513,7,VC46_gp007,PBI_GAIA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679514,8,VC46_gp008,PBI_GAIA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679515,9,VC46_gp009,PBI_GAIA_9,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679516,10,VC46_gp010,PBI_GAIA_10,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1486472,23679517,11,VC46_gp011,PBI_GAIA_11,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1486472,23679518,12,VC46_gp012,PBI_GAIA_12,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200910,-
1486472,23679519,13,VC46_gp013,PBI_GAIA_13,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679520,14,VC46_gp014,PBI_GAIA_14,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679521,15,VC46_gp015,PBI_GAIA_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679522,16,VC46_gp016,PBI_GAIA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679523,17,VC46_gp017,PBI_GAIA_17,-,-,-,homoendonuclease,protein-coding,-,-,-,homoendonuclease,20200910,-
1486472,23679524,18,VC46_gp018,PBI_GAIA_18,-,-,-,homoendonuclease,protein-coding,-,-,-,homoendonuclease,20200910,-
1486472,23679525,19,VC46_gp019,PBI_GAIA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679526,20,VC46_gp020,PBI_GAIA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679527,21,VC46_gp021,PBI_GAIA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679528,22,VC46_gp022,PBI_GAIA_22,-,-,-,"minor tail, D-ala-D-ala carboxypeptidase",protein-coding,-,-,-,"minor tail, D-ala-D-ala carboxypeptidase",20200910,-
1486472,23679529,23,VC46_gp023,PBI_GAIA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679530,24,VC46_gp024,PBI_GAIA_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679531,25,VC46_gp025,PBI_GAIA_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679532,26,VC46_gp026,PBI_GAIA_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679533,27,VC46_gp027,PBI_GAIA_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1486472,23679534,28,VC46_gp028,PBI_GAIA_28,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20200910,-
1486472,23679535,29,VC46_gp029,PBI_GAIA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679536,30,VC46_gp030,PBI_GAIA_30,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20200910,-
1486472,23679537,31,VC46_gp031,PBI_GAIA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679538,32,VC46_gp032,PBI_GAIA_32,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
1486472,23679539,33,VC46_gp033,PBI_GAIA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679540,34,VC46_gp034,PBI_GAIA_34,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200910,-
1486472,23679541,35,VC46_gp035,PBI_GAIA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679542,36,VC46_gp036,PBI_GAIA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679543,37,VC46_gp037,PBI_GAIA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679544,38,VC46_gp038,PBI_GAIA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679545,39,VC46_gp039,PBI_GAIA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679546,40,VC46_gp040,PBI_GAIA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679547,41,VC46_gp041,PBI_GAIA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679548,42,VC46_gp042,PBI_GAIA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679549,43,VC46_gp043,PBI_GAIA_43,-,-,-,Lsr2-like protein,protein-coding,-,-,-,Lsr2-like protein,20200910,-
1486472,23679550,44,VC46_gp044,PBI_GAIA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679551,45,VC46_gp045,PBI_GAIA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679552,46,VC46_gp046,PBI_GAIA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679553,47,VC46_gp047,PBI_GAIA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679554,48,VC46_gp048,PBI_GAIA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679555,49,VC46_gp049,PBI_GAIA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679556,50,VC46_gp050,PBI_GAIA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679557,51,VC46_gp051,PBI_GAIA_51,-,-,-,excise,protein-coding,-,-,-,excise,20200910,-
1486472,23679558,52,VC46_gp052,PBI_GAIA_52,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1486472,23679559,53,VC46_gt001,PBI_GAIA_53,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1486472,23679560,54,VC46_gp179,PBI_GAIA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679561,55,VC46_gp178,PBI_GAIA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679562,56,VC46_gp177,PBI_GAIA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679563,57,VC46_gp176,PBI_GAIA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679564,58,VC46_gp175,PBI_GAIA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679565,59,VC46_gp174,PBI_GAIA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679566,60,VC46_gp173,PBI_GAIA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679567,61,VC46_gp172,PBI_GAIA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679568,62,VC46_gp171,PBI_GAIA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679569,63,VC46_gp170,PBI_GAIA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679570,64,VC46_gp169,PBI_GAIA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679571,65,VC46_gp168,PBI_GAIA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679572,66,VC46_gp167,PBI_GAIA_66,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20200910,-
1486472,23679573,67,VC46_gp166,PBI_GAIA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679574,68,VC46_gp165,PBI_GAIA_68,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200910,-
1486472,23679575,69,VC46_gp164,PBI_GAIA_69,-,-,-,HTH binding protein,protein-coding,-,-,-,HTH binding protein,20200910,-
1486472,23679576,70,VC46_gp163,PBI_GAIA_70,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200910,-
1486472,23679577,71,VC46_gp162,PBI_GAIA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679578,72,VC46_gp161,PBI_GAIA_72,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20200910,-
1486472,23679579,73,VC46_gp160,PBI_GAIA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679580,74,VC46_gp159,PBI_GAIA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679581,75,VC46_gp158,PBI_GAIA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679582,76,VC46_gp157,PBI_GAIA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679583,77,VC46_gp156,PBI_GAIA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679584,78,VC46_gp155,PBI_GAIA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679585,79,VC46_gp154,PBI_GAIA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679586,80,VC46_gp153,PBI_GAIA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679587,81,VC46_gp152,PBI_GAIA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679588,82,VC46_gp151,PBI_GAIA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679589,83,VC46_gp150,PBI_GAIA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679590,84,VC46_gp149,PBI_GAIA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679591,85,VC46_gp148,PBI_GAIA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
