#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1690427,40067841,FDG70_gp02,FDG70_gp02,SEA_DANZINA_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1690427,40067842,FDG70_gp03,FDG70_gp03,SEA_DANZINA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067843,FDG70_gp04,FDG70_gp04,SEA_DANZINA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067844,FDG70_gp05,FDG70_gp05,SEA_DANZINA_5,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201221,-
1690427,40067845,FDG70_gp06,FDG70_gp06,SEA_DANZINA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067846,FDG70_gp07,FDG70_gp07,SEA_DANZINA_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1690427,40067847,FDG70_gp08,FDG70_gp08,SEA_DANZINA_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1690427,40067848,FDG70_gp09,FDG70_gp09,SEA_DANZINA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067849,FDG70_gp10,FDG70_gp10,SEA_DANZINA_10,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1690427,40067850,FDG70_gp11,FDG70_gp11,SEA_DANZINA_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1690427,40067851,FDG70_gp12,FDG70_gp12,SEA_DANZINA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067852,FDG70_gp13,FDG70_gp13,SEA_DANZINA_13,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20201221,-
1690427,40067853,FDG70_gp14,FDG70_gp14,SEA_DANZINA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067854,FDG70_gp15,FDG70_gp15,SEA_DANZINA_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067855,FDG70_gp16,FDG70_gp16,SEA_DANZINA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067856,FDG70_gp17,FDG70_gp17,SEA_DANZINA_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1690427,40067857,FDG70_gp19,FDG70_gp19,SEA_DANZINA_19,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1690427,40067858,FDG70_gp18,FDG70_gp18,SEA_DANZINA_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1690427,40067859,FDG70_gp20,FDG70_gp20,SEA_DANZINA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1690427,40067860,FDG70_gp21,FDG70_gp21,SEA_DANZINA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1690427,40067861,FDG70_gp22,FDG70_gp22,SEA_DANZINA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067862,FDG70_gp23,FDG70_gp23,SEA_DANZINA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067863,FDG70_gp24,FDG70_gp24,SEA_DANZINA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067864,FDG70_gp25,FDG70_gp25,SEA_DANZINA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067865,FDG70_gp26,FDG70_gp26,SEA_DANZINA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067866,FDG70_gp27,FDG70_gp27,SEA_DANZINA_27,-,-,-,LysM,protein-coding,-,-,-,LysM,20201221,-
1690427,40067867,FDG70_gp28,FDG70_gp28,SEA_DANZINA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067868,FDG70_gp29,FDG70_gp29,SEA_DANZINA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067869,FDG70_gp30,FDG70_gp30,SEA_DANZINA_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1690427,40067870,FDG70_gp31,FDG70_gp31,SEA_DANZINA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
