#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772091,65131659,KNV58_gp100,KNV58_gp100,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210608,-
2772091,65131660,KNV58_gp099,KNV58_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131661,KNV58_gp074,KNV58_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131662,KNV58_gp063,KNV58_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131663,KNV58_gp002,KNV58_gp002,-,-,-,-,segregation and condensation protein B,protein-coding,-,-,-,segregation and condensation protein B,20210608,-
2772091,65131664,KNV58_gp003,KNV58_gp003,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2772091,65131665,KNV58_gp004,KNV58_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131666,KNV58_gp005,KNV58_gp005,-,-,-,-,flagella-related protein H,protein-coding,-,-,-,flagella-related protein H,20210608,-
2772091,65131667,KNV58_gp006,KNV58_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131668,KNV58_gp007,KNV58_gp007,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772091,65131669,KNV58_gp008,KNV58_gp008,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772091,65131670,KNV58_gp009,KNV58_gp009,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2772091,65131671,KNV58_gp010,KNV58_gp010,-,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20210608,-
2772091,65131672,KNV58_gp011,KNV58_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131673,KNV58_gp012,KNV58_gp012,-,-,-,-,non-ATPase regulatory subunit,protein-coding,-,-,-,non-ATPase regulatory subunit,20210608,-
2772091,65131674,KNV58_gp013,KNV58_gp013,-,-,-,-,DNA double-strand break repair protein,protein-coding,-,-,-,DNA double-strand break repair protein,20210608,-
2772091,65131675,KNV58_gp014,KNV58_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131676,KNV58_gp015,KNV58_gp015,-,-,-,-,DNA double-strand break repair protein,protein-coding,-,-,-,DNA double-strand break repair protein,20210608,-
2772091,65131677,KNV58_gp016,KNV58_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131678,KNV58_gp017,KNV58_gp017,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2772091,65131679,KNV58_gp018,KNV58_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131680,KNV58_gp019,KNV58_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131681,KNV58_gp020,KNV58_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131682,KNV58_gp021,KNV58_gp021,-,-,-,-,nuclear pore complex protein-like protein,protein-coding,-,-,-,nuclear pore complex protein-like protein,20210608,-
2772091,65131683,KNV58_gp022,KNV58_gp022,-,-,-,-,nuclear pore complex protein-like protein,protein-coding,-,-,-,nuclear pore complex protein-like protein,20210608,-
2772091,65131684,KNV58_gp023,KNV58_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131685,KNV58_gp024,KNV58_gp024,-,-,-,-,stabilization protein,protein-coding,-,-,-,stabilization protein,20210608,-
2772091,65131686,KNV58_gp025,KNV58_gp025,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210608,-
