#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074303,18564009,2,DRAGO_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1074303,18564010,3,DRAGO_3,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1074303,18564011,4,DRAGO_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1074303,18564012,5,DRAGO_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1074303,18564013,6,DRAGO_6,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1074303,18564014,7,DRAGO_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1074303,18564015,8,DRAGO_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1074303,18564016,9,DRAGO_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1074303,18564017,10,DRAGO_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1074303,18564018,11,DRAGO_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1074303,18564019,12,DRAGO_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1074303,18564020,14,DRAGO_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1074303,18564021,15,DRAGO_15,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1074303,18564022,13,DRAGO_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1074303,18564023,16,DRAGO_16,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1074303,18564024,17,DRAGO_17,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1074303,18564025,18,DRAGO_18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1074303,18564026,19,DRAGO_19,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1074303,18564027,20,DRAGO_20,-,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20210424,-
1074303,18564028,21,DRAGO_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564029,22,DRAGO_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564030,23,DRAGO_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564031,24,DRAGO_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564032,25,DRAGO_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564033,28,DRAGO_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564034,29,DRAGO_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564035,30,DRAGO_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564036,31,DRAGO_31,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1074303,18564037,32,DRAGO_32,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1074303,18564038,33,DRAGO_33,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1074303,18564039,34,DRAGO_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564040,35,DRAGO_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564041,36,DRAGO_36,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20201220,-
1074303,18564042,37,DRAGO_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564043,39,DRAGO_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564044,43,DRAGO_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564045,46,DRAGO_46,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
1074303,18564046,47,DRAGO_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564047,48,DRAGO_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564048,49,DRAGO_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1074303,18564049,50,DRAGO_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564050,51,DRAGO_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564051,53,DRAGO_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564052,54,DRAGO_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564053,55,DRAGO_55,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1074303,18564054,56,DRAGO_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564055,57,DRAGO_57,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1074303,18564056,58,DRAGO_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564057,59,DRAGO_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564058,60,DRAGO_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564059,61,DRAGO_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564060,62,DRAGO_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564061,63,DRAGO_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564062,64,DRAGO_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564063,65,DRAGO_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564064,66,DRAGO_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564065,67,DRAGO_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564066,68,DRAGO_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564067,69,DRAGO_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564068,70,DRAGO_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564069,71,DRAGO_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564070,72,DRAGO_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564071,73,DRAGO_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564072,74,DRAGO_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564073,75,DRAGO_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564074,76,DRAGO_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564075,77,DRAGO_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564076,78,DRAGO_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
