#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2725612,60327751,2,I5H30_gp002,SEA_DRBY19_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2725612,60327752,3,I5H30_gp003,SEA_DRBY19_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
2725612,60327753,4,I5H30_gp004,SEA_DRBY19_4,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2725612,60327754,5,I5H30_gp005,SEA_DRBY19_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2725612,60327755,6,I5H30_gp006,SEA_DRBY19_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2725612,60327756,7,I5H30_gp007,SEA_DRBY19_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2725612,60327757,8,I5H30_gp008,SEA_DRBY19_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2725612,60327758,9,I5H30_gp009,SEA_DRBY19_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2725612,60327759,10,I5H30_gp010,SEA_DRBY19_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2725612,60327760,11,I5H30_gp011,SEA_DRBY19_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2725612,60327761,13,I5H30_gp012,SEA_DRBY19_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2725612,60327762,14,I5H30_gp014,SEA_DRBY19_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210327,-
2725612,60327763,12,I5H30_gp013,SEA_DRBY19_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2725612,60327764,15,I5H30_gp015,SEA_DRBY19_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2725612,60327765,16,I5H30_gp016,SEA_DRBY19_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2725612,60327766,17,I5H30_gp017,SEA_DRBY19_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2725612,60327767,18,I5H30_gp018,SEA_DRBY19_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2725612,60327768,19,I5H30_gp019,SEA_DRBY19_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2725612,60327769,20,I5H30_gp020,SEA_DRBY19_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
