#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2664226,60321166,2,I5G61_gp02,SEA_QUESADILLA_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201129,-
2664226,60321167,3,I5G61_gp03,SEA_QUESADILLA_3,-,-,-,QueC-like queosine biosynthesis protein,protein-coding,-,-,-,QueC-like queosine biosynthesis protein,20201202,-
2664226,60321168,4,I5G61_gp04,SEA_QUESADILLA_4,-,-,-,QueD-like queosine biosynthesis protein,protein-coding,-,-,-,QueD-like queosine biosynthesis protein,20210424,-
2664226,60321169,5,I5G61_gp05,SEA_QUESADILLA_5,-,-,-,QueE-like queosine biosynthesis protein,protein-coding,-,-,-,QueE-like queosine biosynthesis protein,20201202,-
2664226,60321170,6,I5G61_gp06,SEA_QUESADILLA_6,-,-,-,GTP cyclohydrolase I,protein-coding,-,-,-,GTP cyclohydrolase I,20210424,-
2664226,60321171,7,I5G61_gp07,SEA_QUESADILLA_7,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210424,-
2664226,60321172,8,I5G61_gp08,SEA_QUESADILLA_8,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2664226,60321173,9,I5G61_gp09,SEA_QUESADILLA_9,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210424,-
2664226,60321174,10,I5G61_gp10,SEA_QUESADILLA_10,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2664226,60321175,11,I5G61_gp11,SEA_QUESADILLA_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201129,-
2664226,60321176,12,I5G61_gp12,SEA_QUESADILLA_12,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210424,-
2664226,60321177,13,I5G61_gp13,SEA_QUESADILLA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321178,14,I5G61_gp14,SEA_QUESADILLA_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2664226,60321179,15,I5G61_gp15,SEA_QUESADILLA_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321180,16,I5G61_gp16,SEA_QUESADILLA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321181,17,I5G61_gp17,SEA_QUESADILLA_17,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2664226,60321182,18,I5G61_gp18,SEA_QUESADILLA_18,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2664226,60321183,19,I5G61_gp19,SEA_QUESADILLA_19,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2664226,60321184,20,I5G61_gp20,SEA_QUESADILLA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321185,21,I5G61_gp21,SEA_QUESADILLA_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2664226,60321186,22,I5G61_gp22,SEA_QUESADILLA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321187,23,I5G61_gp23,SEA_QUESADILLA_23,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
2664226,60321188,24,I5G61_gp24,SEA_QUESADILLA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321189,25,I5G61_gp25,SEA_QUESADILLA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321190,26,I5G61_gp26,SEA_QUESADILLA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321191,27,I5G61_gp27,SEA_QUESADILLA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321192,28,I5G61_gp28,SEA_QUESADILLA_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2664226,60321193,29,I5G61_gp29,SEA_QUESADILLA_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2664226,60321194,30,I5G61_gp30,SEA_QUESADILLA_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2664226,60321195,31,I5G61_gp31,SEA_QUESADILLA_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2664226,60321196,32,I5G61_gp32,SEA_QUESADILLA_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2664226,60321197,33,I5G61_gp33,SEA_QUESADILLA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321198,34,I5G61_gp34,SEA_QUESADILLA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321199,35,I5G61_gp35,SEA_QUESADILLA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321200,36,I5G61_gp36,SEA_QUESADILLA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321201,37,I5G61_gp37,SEA_QUESADILLA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321202,38,I5G61_gp38,SEA_QUESADILLA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321203,39,I5G61_gp39,SEA_QUESADILLA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321204,40,I5G61_gp40,SEA_QUESADILLA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321205,41,I5G61_gp41,SEA_QUESADILLA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321206,42,I5G61_gp42,SEA_QUESADILLA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
