#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163970,54991666,HOT19_gp02,HOT19_gp02,-,-,-,-,DNA packaging protein B,protein-coding,-,-,-,DNA packaging protein B,20210403,-
2163970,54991667,HOT19_gp03,HOT19_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991668,HOT19_gp04,HOT19_gp04,-,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210403,-
2163970,54991669,HOT19_gp05,HOT19_gp05,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20210403,-
2163970,54991670,HOT19_gp06,HOT19_gp06,-,-,-,-,type II holin,protein-coding,-,-,-,type II holin,20210403,-
2163970,54991671,HOT19_gp07,HOT19_gp07,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2163970,54991672,HOT19_gp08,HOT19_gp08,-,-,-,-,DNA translocation protein,protein-coding,-,-,-,DNA translocation protein,20210403,-
2163970,54991673,HOT19_gp09,HOT19_gp09,-,-,-,-,internal virion protein C,protein-coding,-,-,-,internal virion protein C,20210403,-
2163970,54991674,HOT19_gp10,HOT19_gp10,-,-,-,-,DNA translocation protein,protein-coding,-,-,-,DNA translocation protein,20210403,-
2163970,54991675,HOT19_gp11,HOT19_gp11,-,-,-,-,internal virion protein A,protein-coding,-,-,-,internal virion protein A,20210403,-
2163970,54991676,HOT19_gp12,HOT19_gp12,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201221,-
2163970,54991677,HOT19_gp13,HOT19_gp13,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20210403,-
2163970,54991678,HOT19_gp14,HOT19_gp14,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
2163970,54991679,HOT19_gp15,HOT19_gp15,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2163970,54991680,HOT19_gp16,HOT19_gp16,-,-,-,-,capsid assembly protein,protein-coding,-,-,-,capsid assembly protein,20210403,-
2163970,54991681,HOT19_gp17,HOT19_gp17,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210403,-
2163970,54991682,HOT19_gp18,HOT19_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163970,54991683,HOT19_gp19,HOT19_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163970,54991684,HOT19_gp20,HOT19_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163970,54991685,HOT19_gp21,HOT19_gp21,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210403,-
2163970,54991686,HOT19_gp22,HOT19_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991687,HOT19_gp23,HOT19_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2163970,54991688,HOT19_gp24,HOT19_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991689,HOT19_gp25,HOT19_gp25,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210403,-
2163970,54991690,HOT19_gp26,HOT19_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991691,HOT19_gp27,HOT19_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991692,HOT19_gp28,HOT19_gp28,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2163970,54991693,HOT19_gp29,HOT19_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163970,54991694,HOT19_gp30,HOT19_gp30,-,-,-,-,putative lysizyme/amidase,protein-coding,-,-,-,putative lysizyme/amidase,20210403,-
2163970,54991695,HOT19_gp31,HOT19_gp31,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210403,-
2163970,54991696,HOT19_gp32,HOT19_gp32,-,-,-,-,Single-stranded DNA binding protein,protein-coding,-,-,-,Single-stranded DNA binding protein,20210403,-
2163970,54991697,HOT19_gp33,HOT19_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991698,HOT19_gp34,HOT19_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991699,HOT19_gp35,HOT19_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163970,54991700,HOT19_gp36,HOT19_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163970,54991701,HOT19_gp37,HOT19_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991702,HOT19_gp38,HOT19_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991703,HOT19_gp39,HOT19_gp39,-,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20210403,-
2163970,54991704,HOT19_gp40,HOT19_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991705,HOT19_gp41,HOT19_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991706,HOT19_gp42,HOT19_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991707,HOT19_gp43,HOT19_gp43,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210403,-
2163970,54991708,HOT19_gp44,HOT19_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991709,HOT19_gp45,HOT19_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163970,54991710,HOT19_gp46,HOT19_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991711,HOT19_gp47,HOT19_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991712,HOT19_gp48,HOT19_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991713,HOT19_gp49,HOT19_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991714,HOT19_gp50,HOT19_gp50,-,-,-,-,3-beta hydroxysteroid dehydrogenase,protein-coding,-,-,-,3-beta hydroxysteroid dehydrogenase,20201221,-
2163970,54991715,HOT19_gp51,HOT19_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991716,HOT19_gp52,HOT19_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991717,HOT19_gp53,HOT19_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163970,54991718,HOT19_gp01,HOT19_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163970,55153913,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
