#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610828,26624013,AVU36_gp02,AVU36_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1610828,26624014,AVU36_gp03,AVU36_gp03,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1610828,26624015,AVU36_gp04,AVU36_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624016,AVU36_gp05,AVU36_gp05,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1610828,26624017,AVU36_gp06,AVU36_gp06,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1610828,26624018,AVU36_gp07,AVU36_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624019,AVU36_gp08,AVU36_gp08,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1610828,26624020,AVU36_gp09,AVU36_gp09,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1610828,26624021,AVU36_gp10,AVU36_gp10,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1610828,26624022,AVU36_gp11,AVU36_gp11,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1610828,26624023,AVU36_gp12,AVU36_gp12,-,-,-,-,tail structural protein,protein-coding,-,-,-,tail structural protein,20201221,-
1610828,26624024,AVU36_gp13,AVU36_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624025,AVU36_gp14,AVU36_gp14,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20201221,-
1610828,26624026,AVU36_gp15,AVU36_gp15,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1610828,26624027,AVU36_gp16,AVU36_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624028,AVU36_gp17,AVU36_gp17,-,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20201221,-
1610828,26624029,AVU36_gp18,AVU36_gp18,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1610828,26624030,AVU36_gp19,AVU36_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624031,AVU36_gp20,AVU36_gp20,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1610828,26624032,AVU36_gp21,AVU36_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624033,AVU36_gp22,AVU36_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624034,AVU36_gp23,AVU36_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624035,AVU36_gp24,AVU36_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624036,AVU36_gp25,AVU36_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624037,AVU36_gp26,AVU36_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624038,AVU36_gp27,AVU36_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624039,AVU36_gp28,AVU36_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624040,AVU36_gp29,AVU36_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624041,AVU36_gp30,AVU36_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624042,AVU36_gp31,AVU36_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624043,AVU36_gp32,AVU36_gp32,-,-,-,-,DNA polymerase B,protein-coding,-,-,-,DNA polymerase B,20201221,-
1610828,26624044,AVU36_gp33,AVU36_gp33,-,-,-,-,DNA polymerase protein beta subunit,protein-coding,-,-,-,DNA polymerase protein beta subunit,20201221,-
1610828,26624045,AVU36_gp34,AVU36_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624046,AVU36_gp35,AVU36_gp35,-,-,-,-,queuosine tRNA-ribosyltransferase,protein-coding,-,-,-,queuosine tRNA-ribosyltransferase,20201221,-
1610828,26624047,AVU36_gp36,AVU36_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624048,AVU36_gp37,AVU36_gp37,-,-,-,-,GTP cyclohydrolase I type 1,protein-coding,-,-,-,GTP cyclohydrolase I type 1,20201221,-
1610828,26624049,AVU36_gp38,AVU36_gp38,-,-,-,-,6-carboxytetrahydropterin synthase,protein-coding,-,-,-,6-carboxytetrahydropterin synthase,20201221,-
1610828,26624050,AVU36_gp39,AVU36_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624051,AVU36_gp40,AVU36_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624052,AVU36_gp41,AVU36_gp41,-,-,-,-,putative preQ0 transporter,protein-coding,-,-,-,putative preQ0 transporter,20201221,-
1610828,26624053,AVU36_gp42,AVU36_gp42,-,-,-,-,queuosine biosynthesis QueC ATPase,protein-coding,-,-,-,queuosine biosynthesis QueC ATPase,20201221,-
1610828,26624054,AVU36_gp43,AVU36_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624055,AVU36_gp44,AVU36_gp44,-,-,-,-,radical SAM domain-containing protein,protein-coding,-,-,-,radical SAM domain-containing protein,20201221,-
1610828,26624056,AVU36_gp45,AVU36_gp45,-,-,-,-,putative queuosine biosynthesis protein,protein-coding,-,-,-,putative queuosine biosynthesis protein,20201221,-
1610828,26624057,AVU36_gp46,AVU36_gp46,-,-,-,-,transcriptional activator FtrA domain-containing protein,protein-coding,-,-,-,transcriptional activator FtrA domain-containing protein,20201221,-
1610828,26624058,AVU36_gp47,AVU36_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610828,26624059,AVU36_gp48,AVU36_gp48,-,-,-,-,helicase-like protein,protein-coding,-,-,-,helicase-like protein,20201221,-
1610828,26624060,AVU36_gp49,AVU36_gp49,-,-,-,-,putative nuclease,protein-coding,-,-,-,putative nuclease,20201221,-
