#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1273750,16194190,21,M198_gp21,HHTV1_21,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1273750,16194191,31,M198_gp31,HHTV1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194192,29,M198_gp29,HHTV1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194193,4,M198_gp04,HHTV1_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194194,52,M198_gp52,HHTV1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194195,71,M198_gp69,HHTV1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194196,74,M198_gp74,HHTV1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194197,49,M198_gp49,HHTV1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194198,1,M198_gp01,HHTV1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194199,39,M198_gp39,HHTV1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194200,8,M198_gp08,HHTV1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194201,59,M198_gp59,HHTV1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194202,5,M198_gp05,HHTV1_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194203,34,M198_gp34,HHTV1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194204,15,M198_gp15,HHTV1_15,-,-,-,gpF-like protein,protein-coding,-,-,-,gpF-like protein,20201221,-
1273750,16194205,70,M198_gp71,HHTV1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194206,16,M198_gp16,HHTV1_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194207,14,M198_gp14,HHTV1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194208,6,M198_gp06,HHTV1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194209,3,M198_gp03,HHTV1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194210,40,M198_gp40,HHTV1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194211,13,M198_gp13,HHTV1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194212,25,M198_gp25,HHTV1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194213,67,M198_gp67,HHTV1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194214,9,M198_gp09,HHTV1_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1273750,16194215,24,M198_gp24,HHTV1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194216,55,M198_gp55,HHTV1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194217,2,M198_gp02,HHTV1_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194218,22,M198_gp22,HHTV1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194219,51,M198_gp51,HHTV1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194220,38,M198_gp38,HHTV1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194221,62,M198_gp62,HHTV1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194222,63,M198_gp63,HHTV1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194223,12,M198_gp12,HHTV1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194224,60,M198_gp60,HHTV1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194225,30,M198_gp30,HHTV1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194226,53,M198_gp53,HHTV1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194227,72,M198_gp72,HHTV1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194228,41,M198_gp42,HHTV1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194229,56,M198_gp56,HHTV1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194230,33,M198_gp33,HHTV1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194231,43,M198_gp43,HHTV1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194232,18,M198_gp18,HHTV1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194233,19,M198_gp19,HHTV1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194234,20,M198_gp20,HHTV1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194235,28,M198_gp28,HHTV1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194236,11,M198_gp11,HHTV1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194237,58,M198_gp58,HHTV1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194238,46,M198_gp46,HHTV1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194239,54,M198_gp54,HHTV1_54,-,-,-,PCNA protein,protein-coding,-,-,-,PCNA protein,20201221,-
1273750,16194240,68,M198_gp68,HHTV1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194241,45,M198_gp45,HHTV1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194242,44,M198_gp44,HHTV1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194243,32,M198_gp32,HHTV1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194244,66,M198_gp66,HHTV1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194245,64,M198_gp64,HHTV1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194246,50,M198_gp50,HHTV1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194247,61,M198_gp61,HHTV1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194248,57,M198_gp57,HHTV1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194249,65,M198_gp65,HHTV1_65,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1273750,16194250,69,M198_gp70,HHTV1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194251,36,M198_gp36,HHTV1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194252,37,M198_gp37,HHTV1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194253,42,M198_gp41,HHTV1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194254,35,M198_gp35,HHTV1_35,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20201221,-
1273750,16194255,10,M198_gp10,HHTV1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273750,16194256,23,M198_gp23,HHTV1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
