#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500813,24724807,ACQ75_gp02,ACQ75_gp02,PHL092M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500813,24724808,ACQ75_gp03,ACQ75_gp03,PHL092M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500813,24724809,ACQ75_gp04,ACQ75_gp04,PHL092M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724810,ACQ75_gp05,ACQ75_gp05,PHL092M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500813,24724811,ACQ75_gp06,ACQ75_gp06,PHL092M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500813,24724812,ACQ75_gp07,ACQ75_gp07,PHL092M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724813,ACQ75_gp08,ACQ75_gp08,PHL092M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724814,ACQ75_gp09,ACQ75_gp09,PHL092M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724815,ACQ75_gp10,ACQ75_gp10,PHL092M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724816,ACQ75_gp11,ACQ75_gp11,PHL092M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500813,24724817,ACQ75_gp12,ACQ75_gp12,PHL092M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724818,ACQ75_gp13,ACQ75_gp13,PHL092M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724819,ACQ75_gp14,ACQ75_gp14,PHL092M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500813,24724820,ACQ75_gp15,ACQ75_gp15,PHL092M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500813,24724821,ACQ75_gp16,ACQ75_gp16,PHL092M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500813,24724822,ACQ75_gp17,ACQ75_gp17,PHL092M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724823,ACQ75_gp18,ACQ75_gp18,PHL092M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724824,ACQ75_gp19,ACQ75_gp19,PHL092M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500813,24724825,ACQ75_gp20,ACQ75_gp20,PHL092M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500813,24724826,ACQ75_gp21,ACQ75_gp21,PHL092M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500813,24724827,ACQ75_gp22,ACQ75_gp22,PHL092M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724828,ACQ75_gp23,ACQ75_gp23,PHL092M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500813,24724829,ACQ75_gp24,ACQ75_gp24,PHL092M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724830,ACQ75_gp25,ACQ75_gp25,PHL092M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724831,ACQ75_gp26,ACQ75_gp26,PHL092M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724832,ACQ75_gp27,ACQ75_gp27,PHL092M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724833,ACQ75_gp28,ACQ75_gp28,PHL092M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724834,ACQ75_gp29,ACQ75_gp29,PHL092M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724835,ACQ75_gp30,ACQ75_gp30,PHL092M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500813,24724836,ACQ75_gp31,ACQ75_gp31,PHL092M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500813,24724837,ACQ75_gp32,ACQ75_gp32,PHL092M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724838,ACQ75_gp33,ACQ75_gp33,PHL092M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500813,24724839,ACQ75_gp34,ACQ75_gp34,PHL092M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724840,ACQ75_gp35,ACQ75_gp35,PHL092M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724841,ACQ75_gp36,ACQ75_gp36,PHL092M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500813,24724842,ACQ75_gp37,ACQ75_gp37,PHL092M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724843,ACQ75_gp38,ACQ75_gp38,PHL092M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724844,ACQ75_gp39,ACQ75_gp39,PHL092M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724845,ACQ75_gp40,ACQ75_gp40,PHL092M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724846,ACQ75_gp41,ACQ75_gp41,PHL092M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724847,ACQ75_gp42,ACQ75_gp42,PHL092M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724848,ACQ75_gp43,ACQ75_gp43,PHL092M00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724849,ACQ75_gp44,ACQ75_gp44,PHL092M00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500813,24724850,ACQ75_gp45,ACQ75_gp45,PHL092M00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500813,24724851,ACQ75_gp01,ACQ75_gp01,PHL092M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500813,24936526,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
