#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2716727,65054117,KMB93_gp001,KMB93_gp001,PhiZZ23_001,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210608,-
2716727,65054118,KMB93_gp002,KMB93_gp002,PhiZZ23_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2716727,65054119,KMB93_gp003,KMB93_gp003,PhiZZ23_003,-,-,-,DNA topoisomerase subunit,protein-coding,-,-,-,DNA topoisomerase subunit,20210609,-
2716727,65054120,KMB93_gp004,KMB93_gp004,PhiZZ23_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054121,KMB93_gp005,KMB93_gp005,PhiZZ23_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054122,KMB93_gp006,KMB93_gp006,PhiZZ23_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054123,KMB93_gp007,KMB93_gp007,PhiZZ23_007,-,-,-,mRNA metabolism moderator,protein-coding,-,-,-,mRNA metabolism moderator,20210608,-
2716727,65054124,KMB93_gp008,KMB93_gp008,PhiZZ23_008,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20210608,-
2716727,65054125,KMB93_gp009,KMB93_gp009,PhiZZ23_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054126,KMB93_gp010,KMB93_gp010,PhiZZ23_010,-,-,-,transcription regulatory protein,protein-coding,-,-,-,transcription regulatory protein,20210608,-
2716727,65054127,KMB93_gp011,KMB93_gp011,PhiZZ23_011,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2716727,65054128,KMB93_gp012,KMB93_gp012,PhiZZ23_012,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2716727,65054129,KMB93_gp013,KMB93_gp013,PhiZZ23_013,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210609,-
2716727,65054130,KMB93_gp014,KMB93_gp014,PhiZZ23_014,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2716727,65054131,KMB93_gp015,KMB93_gp015,PhiZZ23_015,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2716727,65054132,KMB93_gp016,KMB93_gp016,PhiZZ23_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054133,KMB93_gp017,KMB93_gp017,PhiZZ23_017,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2716727,65054134,KMB93_gp018,KMB93_gp018,PhiZZ23_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054135,KMB93_gp019,KMB93_gp019,PhiZZ23_019,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210608,-
2716727,65054136,KMB93_gp020,KMB93_gp020,PhiZZ23_020,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210608,-
2716727,65054137,KMB93_gp021,KMB93_gp021,PhiZZ23_021,-,-,-,NAD--protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD--protein ADP-ribosyltransferase,20210608,-
2716727,65054138,KMB93_gp022,KMB93_gp022,PhiZZ23_022,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210608,-
2716727,65054139,KMB93_gp023,KMB93_gp023,PhiZZ23_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054140,KMB93_gp024,KMB93_gp024,PhiZZ23_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054141,KMB93_gp025,KMB93_gp025,PhiZZ23_025,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210608,-
2716727,65054142,KMB93_gp026,KMB93_gp026,PhiZZ23_026,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20210608,-
2716727,65054143,KMB93_gp027,KMB93_gp027,PhiZZ23_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054144,KMB93_gp028,KMB93_gp028,PhiZZ23_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054145,KMB93_gp029,KMB93_gp029,PhiZZ23_029,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210608,-
2716727,65054146,KMB93_gp030,KMB93_gp030,PhiZZ23_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054147,KMB93_gp031,KMB93_gp031,PhiZZ23_031,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210608,-
2716727,65054148,KMB93_gp032,KMB93_gp032,PhiZZ23_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054149,KMB93_gp033,KMB93_gp033,PhiZZ23_033,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210608,-
2716727,65054150,KMB93_gp034,KMB93_gp034,PhiZZ23_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054151,KMB93_gp035,KMB93_gp035,PhiZZ23_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054152,KMB93_gp036,KMB93_gp036,PhiZZ23_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054153,KMB93_gp037,KMB93_gp037,PhiZZ23_037,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210608,-
2716727,65054154,KMB93_gp038,KMB93_gp038,PhiZZ23_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054155,KMB93_gp039,KMB93_gp039,PhiZZ23_039,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210608,-
2716727,65054156,KMB93_gp040,KMB93_gp040,PhiZZ23_040,-,-,-,DNA primase/helicase subunit,protein-coding,-,-,-,DNA primase/helicase subunit,20210608,-
2716727,65054157,KMB93_gp041,KMB93_gp041,PhiZZ23_041,-,-,-,putative head vertex assembly chaperone,protein-coding,-,-,-,putative head vertex assembly chaperone,20210608,-
2716727,65054158,KMB93_gp042,KMB93_gp042,PhiZZ23_042,-,-,-,RecA-like recombinase protein,protein-coding,-,-,-,RecA-like recombinase protein,20210609,-
2716727,65054159,KMB93_gp043,KMB93_gp043,PhiZZ23_043,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,20210608,-
2716727,65054160,KMB93_gp044,KMB93_gp044,PhiZZ23_044,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210608,-
2716727,65054161,KMB93_gp045,KMB93_gp045,PhiZZ23_045,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210608,-
2716727,65054162,KMB93_gp046,KMB93_gp046,PhiZZ23_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2716727,65054163,KMB93_gp047,KMB93_gp047,PhiZZ23_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054164,KMB93_gp048,KMB93_gp048,PhiZZ23_048,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2716727,65054165,KMB93_gp049,KMB93_gp049,PhiZZ23_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054166,KMB93_gp050,KMB93_gp050,PhiZZ23_050,-,-,-,translation repressor of early genes,protein-coding,-,-,-,translation repressor of early genes,20210612,-
2716727,65054167,KMB93_gp051,KMB93_gp051,PhiZZ23_051,-,-,-,clamp-loader subunit,protein-coding,-,-,-,clamp-loader subunit,20210608,-
2716727,65054168,KMB93_gp052,KMB93_gp052,PhiZZ23_052,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210608,-
2716727,65054169,KMB93_gp053,KMB93_gp053,PhiZZ23_053,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210609,-
2716727,65054170,KMB93_gp054,KMB93_gp054,PhiZZ23_054,-,-,-,putative RNA polymerase binding protein,protein-coding,-,-,-,putative RNA polymerase binding protein,20210612,-
2716727,65054171,KMB93_gp055,KMB93_gp055,PhiZZ23_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054172,KMB93_gp056,KMB93_gp056,PhiZZ23_056,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210608,-
2716727,65054173,KMB93_gp057,KMB93_gp057,PhiZZ23_057,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210608,-
2716727,65054174,KMB93_gp058,KMB93_gp058,PhiZZ23_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054175,KMB93_gp059,KMB93_gp059,PhiZZ23_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054176,KMB93_gp060,KMB93_gp060,PhiZZ23_060,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20210608,-
2716727,65054177,KMB93_gp061,KMB93_gp061,PhiZZ23_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054178,KMB93_gp062,KMB93_gp062,PhiZZ23_062,-,-,-,alpha-glucosyl-transferase,protein-coding,-,-,-,alpha-glucosyl-transferase,20210608,-
2716727,65054179,KMB93_gp063,KMB93_gp063,PhiZZ23_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054180,KMB93_gp064,KMB93_gp064,PhiZZ23_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054181,KMB93_gp065,KMB93_gp065,PhiZZ23_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716727,65054182,KMB93_gp066,KMB93_gp066,PhiZZ23_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054183,KMB93_gp067,KMB93_gp067,PhiZZ23_067,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20210609,-
2716727,65054184,KMB93_gp068,KMB93_gp068,PhiZZ23_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054185,KMB93_gp069,KMB93_gp069,PhiZZ23_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054186,KMB93_gp070,KMB93_gp070,PhiZZ23_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054187,KMB93_gp071,KMB93_gp071,PhiZZ23_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054188,KMB93_gp072,KMB93_gp072,PhiZZ23_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054189,KMB93_gp073,KMB93_gp073,PhiZZ23_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054190,KMB93_gp074,KMB93_gp074,PhiZZ23_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054191,KMB93_gp075,KMB93_gp075,PhiZZ23_075,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210608,-
2716727,65054192,KMB93_gp076,KMB93_gp076,PhiZZ23_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054193,KMB93_gp077,KMB93_gp077,PhiZZ23_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054194,KMB93_gp078,KMB93_gp078,PhiZZ23_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054195,KMB93_gp079,KMB93_gp079,PhiZZ23_079,-,-,-,NrdG,protein-coding,-,-,-,NrdG,20210609,-
2716727,65054196,KMB93_gp080,KMB93_gp080,PhiZZ23_080,-,-,-,anaerobic NTP reductase large subunit,protein-coding,-,-,-,anaerobic NTP reductase large subunit,20210608,-
2716727,65054197,KMB93_gp081,KMB93_gp081,PhiZZ23_081,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210612,-
2716727,65054198,KMB93_gp082,KMB93_gp082,PhiZZ23_082,-,-,-,inhibitor of host Lon protease,protein-coding,-,-,-,inhibitor of host Lon protease,20210608,-
2716727,65054199,KMB93_gp083,KMB93_gp083,PhiZZ23_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054200,KMB93_gp084,KMB93_gp084,PhiZZ23_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054201,KMB93_gp085,KMB93_gp085,PhiZZ23_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054202,KMB93_gp086,KMB93_gp086,PhiZZ23_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054203,KMB93_gp087,KMB93_gp087,PhiZZ23_087,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716727,65054204,KMB93_gp088,KMB93_gp088,PhiZZ23_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054205,KMB93_gp089,KMB93_gp089,PhiZZ23_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054206,KMB93_gp090,KMB93_gp090,PhiZZ23_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054207,KMB93_gp091,KMB93_gp091,PhiZZ23_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054208,KMB93_gp092,KMB93_gp092,PhiZZ23_092,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716727,65054209,KMB93_gp093,KMB93_gp093,PhiZZ23_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054210,KMB93_gp094,KMB93_gp094,PhiZZ23_094,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716727,65054211,KMB93_gp095,KMB93_gp095,PhiZZ23_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054212,KMB93_gp096,KMB93_gp096,PhiZZ23_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054213,KMB93_gp097,KMB93_gp097,PhiZZ23_097,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
