#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2608376,56135077,H1O04_gp02,H1O04_gp02,KL_02,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210424,-
2608376,56135078,H1O04_gp03,H1O04_gp03,KL_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135079,H1O04_gp04,H1O04_gp04,KL_04,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200724,-
2608376,56135080,H1O04_gp05,H1O04_gp05,KL_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135081,H1O04_gp06,H1O04_gp06,KL_06,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20210327,-
2608376,56135082,H1O04_gp07,H1O04_gp07,KL_07,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210306,-
2608376,56135083,H1O04_gp08,H1O04_gp08,KL_08,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20200905,-
2608376,56135084,H1O04_gp09,H1O04_gp09,KL_09,-,-,-,holin,protein-coding,-,-,-,holin,20200724,-
2608376,56135085,H1O04_gp10,H1O04_gp10,KL_10,-,-,-,SAR endolysin,protein-coding,-,-,-,SAR endolysin,20201217,-
2608376,56135086,H1O04_gp11,H1O04_gp11,KL_11,-,-,-,u-spanin,protein-coding,-,-,-,u-spanin,20210424,-
2608376,56135087,H1O04_gp12,H1O04_gp12,KL_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135088,H1O04_gp14,H1O04_gp14,KL_14,-,-,-,cytosine DNA methylase,protein-coding,-,-,-,cytosine DNA methylase,20200724,-
2608376,56135089,H1O04_gp17,H1O04_gp17,KL_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135090,H1O04_gp19,H1O04_gp19,KL_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135091,H1O04_gp21,H1O04_gp21,KL_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135092,H1O04_gp22,H1O04_gp22,KL_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135093,H1O04_gp23,H1O04_gp23,KL_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
