#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767584,64470733,KGG73_gp02,KGG73_gp02,CPT_Sentinel_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767584,64470734,KGG73_gp03,KGG73_gp03,CPT_Sentinel_003,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210505,-
2767584,64470735,KGG73_gp04,KGG73_gp04,CPT_Sentinel_004,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20210505,-
2767584,64470736,KGG73_gp05,KGG73_gp05,CPT_Sentinel_005,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2767584,64470737,KGG73_gp06,KGG73_gp06,CPT_Sentinel_006,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767584,64470738,KGG73_gp07,KGG73_gp07,CPT_Sentinel_007,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767584,64470739,KGG73_gp08,KGG73_gp08,CPT_Sentinel_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767584,64470740,KGG73_gp09,KGG73_gp09,CPT_Sentinel_009,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767584,64470741,KGG73_gp10,KGG73_gp10,CPT_Sentinel_010,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2767584,64470742,KGG73_gp11,KGG73_gp11,CPT_Sentinel_012,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210505,-
2767584,64470743,KGG73_gp13,KGG73_gp13,CPT_Sentinel_013,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2767584,64470744,KGG73_gp12,KGG73_gp12,CPT_Sentinel_011,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210505,-
2767584,64470745,KGG73_gp14,KGG73_gp14,CPT_Sentinel_014,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767584,64470746,KGG73_gp15,KGG73_gp15,CPT_Sentinel_015,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767584,64470747,KGG73_gp16,KGG73_gp16,CPT_Sentinel_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470748,KGG73_gp17,KGG73_gp17,CPT_Sentinel_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470749,KGG73_gp18,KGG73_gp18,CPT_Sentinel_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
