#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
71366,1262702,PVL_04,PVL_04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
71366,1262703,PVL_36,PVL_36,-,-,-,-,DUF2513 domain-containing protein,protein-coding,-,-,-,DUF2513 domain-containing protein,20210607,-
71366,1262704,PVL_30,PVL_30,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210212,-
71366,1262705,PVL_38,PVL_38,-,-,-,-,DUF1270 family protein,protein-coding,-,-,-,DUF1270 family protein,20201220,-
71366,1262706,PVL_07,PVL_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262707,PVL_56,PVL_56,-,-,-,-,transcriptional activator RinB,protein-coding,-,-,-,transcriptional activator RinB,20201220,-
71366,1262708,PVL_06,PVL_06,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
71366,1262709,PVL_50,PVL_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262710,PVL_05,PVL_05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262711,PVL_47,PVL_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262712,PVL_12,PVL_12,-,-,-,-,Ig-like domain-containing protein,protein-coding,-,-,-,Ig-like domain-containing protein,20201220,-
71366,1262713,PVL_15,PVL_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262714,PVL_10,PVL_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262715,PVL_41,PVL_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262716,PVL_34,PVL_34,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20210212,-
71366,1262717,PVL_40,PVL_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262718,PVL_39,PVL_39,-,-,-,-,DUF1108 family protein,protein-coding,-,-,-,DUF1108 family protein,20201220,-
71366,1262719,PVL_09,PVL_09,-,-,-,-,head-tail adaptor protein,protein-coding,-,-,-,head-tail adaptor protein,20201220,-
71366,1262720,PVL_24,PVL_24,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210417,-
71366,1262721,PVL_51,PVL_51,-,-,-,-,DUF1024 family protein,protein-coding,-,-,-,DUF1024 family protein,20201220,-
71366,1262722,PVL_49,PVL_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262723,PVL_08,PVL_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262724,PVL_01,PVL_01,-,-,-,-,terminase small subunit P27 family,protein-coding,-,-,-,terminase small subunit P27 family,20210212,-
71366,1262725,PVL_46,PVL_46,-,-,-,-,DnaD domain-containing protein,protein-coding,-,-,-,DnaD domain-containing protein,20201220,-
71366,1262726,PVL_26,PVL_26,-,-,-,-,Panton-Valentine bi-component leukocidin subunit S,protein-coding,-,-,-,Panton-Valentine bi-component leukocidin subunit S,20210212,-
71366,1262727,PVL_43,PVL_43,-,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20210129,-
71366,1262728,PVL_62,PVL_62,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
71366,1262729,PVL_53,PVL_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262730,PVL_27,PVL_27,-,-,-,-,Panton-Valentine bi-component leukocidin subunit F,protein-coding,-,-,-,Panton-Valentine bi-component leukocidin subunit F,20201220,-
71366,1262731,PVL_23,PVL_23,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
71366,1262732,PVL_11,PVL_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262733,PVL_29,PVL_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262734,PVL_22,PVL_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262735,PVL_02,PVL_02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262736,PVL_03,PVL_03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262737,PVL_42,PVL_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262738,PVL_55,PVL_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262739,PVL_21,PVL_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262740,PVL_37,PVL_37,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210212,-
71366,1262741,PVL_17,PVL_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262742,PVL_14,PVL_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262743,PVL_18,PVL_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262744,PVL_16,PVL_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262745,PVL_33,PVL_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262746,PVL_20,PVL_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262747,PVL_44,PVL_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262748,PVL_35,PVL_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262749,PVL_32,PVL_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262750,PVL_59,PVL_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262751,PVL_45,PVL_45,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210212,-
71366,1262752,PVL_58,PVL_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262753,PVL_61,PVL_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262754,PVL_25,PVL_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262755,PVL_31,PVL_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262756,PVL_60,PVL_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262757,PVL_54,PVL_54,-,-,-,-,DUF1381 domain-containing protein,protein-coding,-,-,-,DUF1381 domain-containing protein,20201220,-
71366,1262758,PVL_28,PVL_28,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201220,-
71366,1262759,PVL_52,PVL_52,-,-,-,-,ORF024,protein-coding,-,-,-,ORF024,20210212,-
71366,1262760,PVL_48,PVL_48,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201220,-
71366,1262761,PVL_57,PVL_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262762,PVL_19,PVL_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,1262763,PVL_13,PVL_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
71366,2829745,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus aureus bacteriophage PVL; Staphylococcus aureus phage phi PVL; bacteriophage phi PVL).,other,-,-,-,-,20210609,-
