#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590944,64854694,2,KIJ58_gp02,SEA_SOILDRAGON_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210514,-
2590944,64854695,3,KIJ58_gp03,SEA_SOILDRAGON_3,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2590944,64854696,4,KIJ58_gp04,SEA_SOILDRAGON_4,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2590944,64854697,5,KIJ58_gp05,SEA_SOILDRAGON_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854698,6,KIJ58_gp06,SEA_SOILDRAGON_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854699,7,KIJ58_gt01,SEA_SOILDRAGON_7,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2590944,64854700,8,KIJ58_gt02,SEA_SOILDRAGON_8,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2590944,64854701,9,KIJ58_gt03,SEA_SOILDRAGON_9,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2590944,64854702,10,KIJ58_gp90,SEA_SOILDRAGON_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854703,1,KIJ58_gp01,SEA_SOILDRAGON_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210514,-
2590944,64854704,11,KIJ58_gp89,SEA_SOILDRAGON_11,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210514,-
2590944,64854705,12,KIJ58_gp88,SEA_SOILDRAGON_12,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210514,-
2590944,64854706,13,KIJ58_gp87,SEA_SOILDRAGON_13,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210515,-
2590944,64854707,14,KIJ58_gp86,SEA_SOILDRAGON_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210612,-
2590944,64854708,15,KIJ58_gp85,SEA_SOILDRAGON_15,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210514,-
2590944,64854709,16,KIJ58_gp84,SEA_SOILDRAGON_16,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210514,-
2590944,64854710,17,KIJ58_gp83,SEA_SOILDRAGON_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210514,-
2590944,64854711,18,KIJ58_gp82,SEA_SOILDRAGON_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854712,19,KIJ58_gp81,SEA_SOILDRAGON_19,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210612,-
2590944,64854713,20,KIJ58_gp80,SEA_SOILDRAGON_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854714,21,KIJ58_gp79,SEA_SOILDRAGON_21,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210515,-
2590944,64854715,22,KIJ58_gp78,SEA_SOILDRAGON_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2590944,64854716,23,KIJ58_gp77,SEA_SOILDRAGON_23,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210514,-
