#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656526,55814456,2,HYQ08_gp002,SEA_MUFASA8_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2656526,55814457,3,HYQ08_gp003,SEA_MUFASA8_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2656526,55814458,4,HYQ08_gp004,SEA_MUFASA8_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2656526,55814459,5,HYQ08_gp005,SEA_MUFASA8_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814460,6,HYQ08_gp006,SEA_MUFASA8_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2656526,55814461,7,HYQ08_gp007,SEA_MUFASA8_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814462,8,HYQ08_gp008,SEA_MUFASA8_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200704,-
2656526,55814463,9,HYQ08_gp009,SEA_MUFASA8_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814464,10,HYQ08_gp010,SEA_MUFASA8_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814465,11,HYQ08_gp011,SEA_MUFASA8_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814466,12,HYQ08_gp012,SEA_MUFASA8_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2656526,55814467,13,HYQ08_gp013,SEA_MUFASA8_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814468,14,HYQ08_gp014,SEA_MUFASA8_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814469,15,HYQ08_gp015,SEA_MUFASA8_15,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20200704,-
2656526,55814470,16,HYQ08_gp016,SEA_MUFASA8_16,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
2656526,55814471,17,HYQ08_gp017,SEA_MUFASA8_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656526,55814472,18,HYQ08_gp018,SEA_MUFASA8_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200704,-
2656526,55814473,19,HYQ08_gp019,SEA_MUFASA8_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200704,-
2656526,55814474,20,HYQ08_gp020,SEA_MUFASA8_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656526,55814475,22,HYQ08_gp022,SEA_MUFASA8_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814476,23,HYQ08_gp023,SEA_MUFASA8_23,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2656526,55814477,24,HYQ08_gp024,SEA_MUFASA8_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814478,25,HYQ08_gp025,SEA_MUFASA8_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2656526,55814479,26,HYQ08_gp026,SEA_MUFASA8_26,-,-,-,cysteine protease,protein-coding,-,-,-,cysteine protease,20210424,-
2656526,55814480,27,HYQ08_gp027,SEA_MUFASA8_27,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200905,-
2656526,55814481,28,HYQ08_gp028,SEA_MUFASA8_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814482,29,HYQ08_gp029,SEA_MUFASA8_29,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2656526,55814483,30,HYQ08_gp030,SEA_MUFASA8_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814484,31,HYQ08_gp031,SEA_MUFASA8_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814485,32,HYQ08_gp032,SEA_MUFASA8_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656526,55814486,33,HYQ08_gp033,SEA_MUFASA8_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814487,34,HYQ08_gp034,SEA_MUFASA8_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814488,35,HYQ08_gp035,SEA_MUFASA8_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814489,36,HYQ08_gp036,SEA_MUFASA8_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814490,37,HYQ08_gp037,SEA_MUFASA8_37,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200905,-
2656526,55814491,38,HYQ08_gp038,SEA_MUFASA8_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2656526,55814492,39,HYQ08_gp039,SEA_MUFASA8_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814493,40,HYQ08_gp040,SEA_MUFASA8_40,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2656526,55814494,41,HYQ08_gp041,SEA_MUFASA8_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814495,42,HYQ08_gp042,SEA_MUFASA8_42,-,-,-,DNA repair protein,protein-coding,-,-,-,DNA repair protein,20200905,-
2656526,55814496,43,HYQ08_gp043,SEA_MUFASA8_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814497,44,HYQ08_gp044,SEA_MUFASA8_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814498,45,HYQ08_gp045,SEA_MUFASA8_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814499,46,HYQ08_gp046,SEA_MUFASA8_46,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200704,-
2656526,55814500,47,HYQ08_gp047,SEA_MUFASA8_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200704,-
2656526,55814501,48,HYQ08_gp048,SEA_MUFASA8_48,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200905,-
2656526,55814502,49,HYQ08_gp049,SEA_MUFASA8_49,-,-,-,RepA-like replication initiator,protein-coding,-,-,-,RepA-like replication initiator,20200704,-
2656526,55814503,50,HYQ08_gp050,SEA_MUFASA8_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656526,55814504,52,HYQ08_gp052,SEA_MUFASA8_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814505,53,HYQ08_gp053,SEA_MUFASA8_53,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2656526,55814506,54,HYQ08_gp054,SEA_MUFASA8_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814507,55,HYQ08_gp055,SEA_MUFASA8_55,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200704,-
2656526,55814508,56,HYQ08_gp056,SEA_MUFASA8_56,-,-,-,RNA binding protein,protein-coding,-,-,-,RNA binding protein,20200704,-
2656526,55814509,57,HYQ08_gp057,SEA_MUFASA8_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
