#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713310,55818422,HYQ37_gp002,HYQ37_gp002,pertopsoe_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210129,-
2713310,55818423,HYQ37_gp003,HYQ37_gp003,pertopsoe_3,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200910,-
2713310,55818424,HYQ37_gp004,HYQ37_gp004,pertopsoe_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713310,55818425,HYQ37_gp005,HYQ37_gp005,pertopsoe_5,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210129,-
2713310,55818426,HYQ37_gp006,HYQ37_gp006,pertopsoe_6,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210129,-
2713310,55818427,HYQ37_gp007,HYQ37_gp007,pertopsoe_7,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210129,-
2713310,55818428,HYQ37_gp008,HYQ37_gp008,pertopsoe_8,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210129,-
2713310,55818429,HYQ37_gp009,HYQ37_gp009,pertopsoe_9,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210129,-
2713310,55818430,HYQ37_gp010,HYQ37_gp010,pertopsoe_10,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713310,55818431,HYQ37_gp011,HYQ37_gp011,pertopsoe_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818432,HYQ37_gp012,HYQ37_gp012,pertopsoe_12,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210129,-
2713310,55818433,HYQ37_gp013,HYQ37_gp013,pertopsoe_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818434,HYQ37_gp014,HYQ37_gp014,pertopsoe_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
