#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301566,60329770,2,I5H49_gp002,SEA_JOEYJR_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2301566,60329771,3,I5H49_gp003,SEA_JOEYJR_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2301566,60329772,4,I5H49_gp004,SEA_JOEYJR_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301566,60329773,5,I5H49_gp005,SEA_JOEYJR_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2301566,60329774,6,I5H49_gp006,SEA_JOEYJR_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2301566,60329775,7,I5H49_gp007,SEA_JOEYJR_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301566,60329776,8,I5H49_gp008,SEA_JOEYJR_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301566,60329777,9,I5H49_gp009,SEA_JOEYJR_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2301566,60329778,10,I5H49_gp010,SEA_JOEYJR_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301566,60329779,11,I5H49_gp011,SEA_JOEYJR_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301566,60329780,13,I5H49_gp012,SEA_JOEYJR_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301566,60329781,14,I5H49_gp014,SEA_JOEYJR_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2301566,60329782,12,I5H49_gp013,SEA_JOEYJR_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301566,60329783,15,I5H49_gp015,SEA_JOEYJR_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301566,60329784,16,I5H49_gp016,SEA_JOEYJR_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301566,60329785,17,I5H49_gp017,SEA_JOEYJR_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329786,18,I5H49_gp018,SEA_JOEYJR_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301566,60329787,19,I5H49_gp019,SEA_JOEYJR_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2301566,60329788,20,I5H49_gp020,SEA_JOEYJR_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301566,60329789,21,I5H49_gp021,SEA_JOEYJR_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329790,22,I5H49_gp022,SEA_JOEYJR_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329791,23,I5H49_gp023,SEA_JOEYJR_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329792,24,I5H49_gp024,SEA_JOEYJR_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329793,25,I5H49_gp025,SEA_JOEYJR_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329794,26,I5H49_gp026,SEA_JOEYJR_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329795,27,I5H49_gp027,SEA_JOEYJR_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329796,28,I5H49_gp028,SEA_JOEYJR_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329797,29,I5H49_gp029,SEA_JOEYJR_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329798,30,I5H49_gp030,SEA_JOEYJR_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201203,-
2301566,60329799,31,I5H49_gp031,SEA_JOEYJR_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2301566,60329800,32,I5H49_gp032,SEA_JOEYJR_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2301566,60329801,33,I5H49_gp033,SEA_JOEYJR_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2301566,60329802,34,I5H49_gp034,SEA_JOEYJR_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329803,35,I5H49_gp035,SEA_JOEYJR_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
2301566,60329804,36,I5H49_gp036,SEA_JOEYJR_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329805,37,I5H49_gp037,SEA_JOEYJR_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329806,38,I5H49_gp038,SEA_JOEYJR_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329807,39,I5H49_gp039,SEA_JOEYJR_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329808,40,I5H49_gp040,SEA_JOEYJR_40,-,-,-,excise,protein-coding,-,-,-,excise,20210123,-
2301566,60329809,41,I5H49_gp041,SEA_JOEYJR_41,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2301566,60329810,42,I5H49_gp042,SEA_JOEYJR_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329811,44,I5H49_gp043,SEA_JOEYJR_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2301566,60329812,43,I5H49_gp044,SEA_JOEYJR_44,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2301566,60329813,45,I5H49_gp045,SEA_JOEYJR_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329814,46,I5H49_gp046,SEA_JOEYJR_46,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2301566,60329815,47,I5H49_gp047,SEA_JOEYJR_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301566,60329816,48,I5H49_gp048,SEA_JOEYJR_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329817,49,I5H49_gp049,SEA_JOEYJR_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329818,50,I5H49_gp050,SEA_JOEYJR_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329819,51,I5H49_gp051,SEA_JOEYJR_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2301566,60329820,52,I5H49_gp052,SEA_JOEYJR_52,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301566,60329821,53,I5H49_gp053,SEA_JOEYJR_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301566,60329822,54,I5H49_gp054,SEA_JOEYJR_54,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2301566,60329823,55,I5H49_gp055,SEA_JOEYJR_55,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2301566,60329824,56,I5H49_gp056,SEA_JOEYJR_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329825,57,I5H49_gp057,SEA_JOEYJR_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329826,58,I5H49_gp058,SEA_JOEYJR_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329827,59,I5H49_gp059,SEA_JOEYJR_59,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210212,-
2301566,60329828,60,I5H49_gp060,SEA_JOEYJR_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329829,61,I5H49_gp061,SEA_JOEYJR_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2301566,60329830,62,I5H49_gp062,SEA_JOEYJR_62,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
