#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1485682,25257867,DI09_100p10,DI09_100p10,-,-,Unknown,-,tectonin beta-propeller repeat-containing protein 1,protein-coding,-,-,-,tectonin beta-propeller repeat-containing protein 1,20200318,-
1485682,25257868,DI09_100p100,DI09_100p100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257869,DI09_100p110,DI09_100p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257870,DI09_100p20,DI09_100p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257871,DI09_100p30,DI09_100p30,-,-,Unknown,-,26S protease regulatory subunit 6A,protein-coding,-,-,-,26S protease regulatory subunit 6A,20200318,-
1485682,25257872,DI09_100p40,DI09_100p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257873,DI09_100p50,DI09_100p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257874,DI09_100p60,DI09_100p60,-,-,Unknown,-,Nhp2 non-histone chromosome protein 2-like 1,protein-coding,-,-,-,Nhp2 non-histone chromosome protein 2-like 1,20200318,-
1485682,25257875,DI09_100p70,DI09_100p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257876,DI09_100p80,DI09_100p80,-,-,Unknown,-,kinetochore protein Mis13,protein-coding,-,-,-,kinetochore protein Mis13,20200318,-
1485682,25257877,DI09_100p90,DI09_100p90,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257878,DI09_101p10,DI09_101p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257879,DI09_101p100,DI09_101p100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257880,DI09_101p110,DI09_101p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257881,DI09_101p20,DI09_101p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257882,DI09_101p30,DI09_101p30,-,-,Unknown,-,eukaryotic peptide chain release factor subunit 1,protein-coding,-,-,-,eukaryotic peptide chain release factor subunit 1,20200318,-
1485682,25257883,DI09_101p40,DI09_101p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257884,DI09_101p50,DI09_101p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257885,DI09_101p60,DI09_101p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257886,DI09_101p70,DI09_101p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257887,DI09_101p80,DI09_101p80,-,-,Unknown,-,putative 40S ribosomal protein Rps3,protein-coding,-,-,-,putative 40S ribosomal protein Rps3,20200318,-
1485682,25257888,DI09_101p90,DI09_101p90,-,-,Unknown,-,mitochondrial external NADH dehydrogenase Nde1,protein-coding,-,-,-,mitochondrial external NADH dehydrogenase Nde1,20200318,-
1485682,25257889,DI09_102p10,DI09_102p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257890,DI09_102p20,DI09_102p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257891,DI09_102p30,DI09_102p30,-,-,Unknown,-,ribosome biogenesis protein Brx1,protein-coding,-,-,-,ribosome biogenesis protein Brx1,20200318,-
