#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2268589,54995190,HOT56_gp02,HOT56_gp02,-,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210129,-
2268589,54995191,HOT56_gp03,HOT56_gp03,-,-,-,-,DNA packaging protein A,protein-coding,-,-,-,DNA packaging protein A,20210129,-
2268589,54995192,HOT56_gp04,HOT56_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995193,HOT56_gp05,HOT56_gp05,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210129,-
2268589,54995194,HOT56_gp06,HOT56_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2268589,54995195,HOT56_gp07,HOT56_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995196,HOT56_gp08,HOT56_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995197,HOT56_gp09,HOT56_gp09,-,-,-,-,internal virion protein,protein-coding,-,-,-,internal virion protein,20210129,-
2268589,54995198,HOT56_gp10,HOT56_gp10,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201221,-
2268589,54995199,HOT56_gp11,HOT56_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995200,HOT56_gp12,HOT56_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995201,HOT56_gp13,HOT56_gp13,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210129,-
2268589,54995202,HOT56_gp14,HOT56_gp14,-,-,-,-,capsid assembly protein,protein-coding,-,-,-,capsid assembly protein,20210129,-
2268589,54995203,HOT56_gp15,HOT56_gp15,-,-,-,-,head to tail joining protein,protein-coding,-,-,-,head to tail joining protein,20210129,-
2268589,54995204,HOT56_gp16,HOT56_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2268589,54995205,HOT56_gp17,HOT56_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995206,HOT56_gp18,HOT56_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995207,HOT56_gp19,HOT56_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995208,HOT56_gp20,HOT56_gp20,-,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210129,-
2268589,54995209,HOT56_gp21,HOT56_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995210,HOT56_gp22,HOT56_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995211,HOT56_gp23,HOT56_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995212,HOT56_gp24,HOT56_gp24,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210129,-
2268589,54995213,HOT56_gp25,HOT56_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995214,HOT56_gp26,HOT56_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995215,HOT56_gp27,HOT56_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995216,HOT56_gp28,HOT56_gp28,-,-,-,-,primase/helicase protein,protein-coding,-,-,-,primase/helicase protein,20210129,-
2268589,54995217,HOT56_gp29,HOT56_gp29,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210129,-
2268589,54995218,HOT56_gp30,HOT56_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
