#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500831,24723202,ACQ62_gp02,ACQ62_gp02,PHL301M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500831,24723203,ACQ62_gp03,ACQ62_gp03,PHL301M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500831,24723204,ACQ62_gp04,ACQ62_gp04,PHL301M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723205,ACQ62_gp05,ACQ62_gp05,PHL301M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500831,24723206,ACQ62_gp06,ACQ62_gp06,PHL301M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500831,24723207,ACQ62_gp07,ACQ62_gp07,PHL301M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723208,ACQ62_gp08,ACQ62_gp08,PHL301M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723209,ACQ62_gp09,ACQ62_gp09,PHL301M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723210,ACQ62_gp10,ACQ62_gp10,PHL301M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723211,ACQ62_gp11,ACQ62_gp11,PHL301M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500831,24723212,ACQ62_gp12,ACQ62_gp12,PHL301M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723213,ACQ62_gp13,ACQ62_gp13,PHL301M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723214,ACQ62_gp14,ACQ62_gp14,PHL301M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500831,24723215,ACQ62_gp15,ACQ62_gp15,PHL301M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500831,24723216,ACQ62_gp16,ACQ62_gp16,PHL301M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500831,24723217,ACQ62_gp17,ACQ62_gp17,PHL301M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723218,ACQ62_gp18,ACQ62_gp18,PHL301M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723219,ACQ62_gp19,ACQ62_gp19,PHL301M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500831,24723220,ACQ62_gp20,ACQ62_gp20,PHL301M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500831,24723221,ACQ62_gp21,ACQ62_gp21,PHL301M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500831,24723222,ACQ62_gp22,ACQ62_gp22,PHL301M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723223,ACQ62_gp23,ACQ62_gp23,PHL301M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500831,24723224,ACQ62_gp24,ACQ62_gp24,PHL301M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723225,ACQ62_gp25,ACQ62_gp25,PHL301M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
