#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1486424,19488310,2,FH37_gp02,PBI_BERNAL13_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1486424,19488311,3,FH37_gp03,PBI_BERNAL13_3,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1486424,19488312,4,FH37_gp04,PBI_BERNAL13_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1486424,19488313,5,FH37_gp05,PBI_BERNAL13_5,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200927,-
1486424,19488314,6,FH37_gp06,PBI_BERNAL13_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488315,7,FH37_gp07,PBI_BERNAL13_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1486424,19488316,8,FH37_gp08,PBI_BERNAL13_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1486424,19488317,9,FH37_gp09,PBI_BERNAL13_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488318,10,FH37_gp10,PBI_BERNAL13_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488319,11,FH37_gp11,PBI_BERNAL13_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488320,12,FH37_gp12,PBI_BERNAL13_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488321,13,FH37_gp13,PBI_BERNAL13_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488322,14,FH37_gp14,PBI_BERNAL13_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
1486424,19488323,16,FH37_gp15,PBI_BERNAL13_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1486424,19488324,17,FH37_gp17,PBI_BERNAL13_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210123,-
1486424,19488325,15,FH37_gp16,PBI_BERNAL13_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1486424,19488326,18,FH37_gp18,PBI_BERNAL13_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486424,19488327,19,FH37_gp19,PBI_BERNAL13_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
