#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283297,60330909,2,I5H60_gp002,SEA_MANTRA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210212,-
2283297,60330910,3,I5H60_gp003,SEA_MANTRA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2283297,60330911,4,I5H60_gp004,SEA_MANTRA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2283297,60330912,5,I5H60_gp005,SEA_MANTRA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2283297,60330913,6,I5H60_gp006,SEA_MANTRA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2283297,60330914,7,I5H60_gp007,SEA_MANTRA_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2283297,60330915,8,I5H60_gp008,SEA_MANTRA_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2283297,60330916,9,I5H60_gp009,SEA_MANTRA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283297,60330917,10,I5H60_gp010,SEA_MANTRA_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2283297,60330918,11,I5H60_gp011,SEA_MANTRA_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2283297,60330919,13,I5H60_gp012,SEA_MANTRA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2283297,60330920,14,I5H60_gp014,SEA_MANTRA_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2283297,60330921,12,I5H60_gp013,SEA_MANTRA_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2283297,60330922,15,I5H60_gp015,SEA_MANTRA_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283297,60330923,16,I5H60_gp016,SEA_MANTRA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283297,60330924,17,I5H60_gp017,SEA_MANTRA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330925,18,I5H60_gp018,SEA_MANTRA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2283297,60330926,19,I5H60_gp019,SEA_MANTRA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2283297,60330927,20,I5H60_gp020,SEA_MANTRA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330928,21,I5H60_gp021,SEA_MANTRA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330929,22,I5H60_gp022,SEA_MANTRA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330930,23,I5H60_gp023,SEA_MANTRA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330931,24,I5H60_gp024,SEA_MANTRA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330932,25,I5H60_gp025,SEA_MANTRA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330933,26,I5H60_gp026,SEA_MANTRA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330934,27,I5H60_gp027,SEA_MANTRA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330935,28,I5H60_gp028,SEA_MANTRA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330936,29,I5H60_gp029,SEA_MANTRA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330937,30,I5H60_gp030,SEA_MANTRA_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210313,-
2283297,60330938,31,I5H60_gp031,SEA_MANTRA_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2283297,60330939,32,I5H60_gp032,SEA_MANTRA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283297,60330940,33,I5H60_gp033,SEA_MANTRA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2283297,60330941,34,I5H60_gp034,SEA_MANTRA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330942,35,I5H60_gp035,SEA_MANTRA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283297,60330943,36,I5H60_gp036,SEA_MANTRA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330944,37,I5H60_gp037,SEA_MANTRA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330945,38,I5H60_gp038,SEA_MANTRA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330946,39,I5H60_gp039,SEA_MANTRA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330947,40,I5H60_gp040,SEA_MANTRA_40,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
2283297,60330948,41,I5H60_gp041,SEA_MANTRA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330949,42,I5H60_gp042,SEA_MANTRA_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2283297,60330950,43,I5H60_gp043,SEA_MANTRA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283297,60330951,44,I5H60_gp044,SEA_MANTRA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2283297,60330952,45,I5H60_gp045,SEA_MANTRA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330953,46,I5H60_gp046,SEA_MANTRA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330954,47,I5H60_gp047,SEA_MANTRA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283297,60330955,48,I5H60_gp048,SEA_MANTRA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330956,49,I5H60_gp049,SEA_MANTRA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330957,50,I5H60_gp050,SEA_MANTRA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330958,51,I5H60_gp051,SEA_MANTRA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330959,52,I5H60_gp052,SEA_MANTRA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283297,60330960,53,I5H60_gp053,SEA_MANTRA_53,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2283297,60330961,54,I5H60_gp054,SEA_MANTRA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2283297,60330962,55,I5H60_gp055,SEA_MANTRA_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2283297,60330963,56,I5H60_gp056,SEA_MANTRA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283297,60330964,57,I5H60_gp057,SEA_MANTRA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330965,58,I5H60_gp058,SEA_MANTRA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330966,59,I5H60_gp059,SEA_MANTRA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283297,60330967,60,I5H60_gp060,SEA_MANTRA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2283297,60330968,61,I5H60_gp061,SEA_MANTRA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330969,62,I5H60_gp062,SEA_MANTRA_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2283297,60330970,64,I5H60_gp064,SEA_MANTRA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283297,60330971,65,I5H60_gp065,SEA_MANTRA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330972,66,I5H60_gp066,SEA_MANTRA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330973,67,I5H60_gp067,SEA_MANTRA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330974,68,I5H60_gp068,SEA_MANTRA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330975,70,I5H60_gp070,SEA_MANTRA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330976,71,I5H60_gp071,SEA_MANTRA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330977,72,I5H60_gp072,SEA_MANTRA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
