#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024296,60336686,2,I5J48_gp02,PBI_MAJEKE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2024296,60336687,3,I5J48_gp03,PBI_MAJEKE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2024296,60336688,4,I5J48_gp04,PBI_MAJEKE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2024296,60336689,5,I5J48_gp05,PBI_MAJEKE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2024296,60336690,6,I5J48_gp06,PBI_MAJEKE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2024296,60336691,7,I5J48_gp07,PBI_MAJEKE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336692,8,I5J48_gp08,PBI_MAJEKE_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
2024296,60336693,9,I5J48_gp09,PBI_MAJEKE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2024296,60336694,10,I5J48_gp10,PBI_MAJEKE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2024296,60336695,11,I5J48_gp11,PBI_MAJEKE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336696,12,I5J48_gp12,PBI_MAJEKE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336697,13,I5J48_gp13,PBI_MAJEKE_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2024296,60336698,14,I5J48_gp14,PBI_MAJEKE_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2024296,60336699,16,I5J48_gp15,PBI_MAJEKE_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2024296,60336700,17,I5J48_gp17,PBI_MAJEKE_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2024296,60336701,15,I5J48_gp16,PBI_MAJEKE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2024296,60336702,18,I5J48_gp18,PBI_MAJEKE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2024296,60336703,19,I5J48_gp19,PBI_MAJEKE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2024296,60336704,20,I5J48_gp20,PBI_MAJEKE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2024296,60336705,21,I5J48_gp21,PBI_MAJEKE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2024296,60336706,22,I5J48_gp22,PBI_MAJEKE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336707,23,I5J48_gp23,PBI_MAJEKE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336708,24,I5J48_gp24,PBI_MAJEKE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336709,25,I5J48_gp25,PBI_MAJEKE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336710,26,I5J48_gp26,PBI_MAJEKE_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2024296,60336711,27,I5J48_gp27,PBI_MAJEKE_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2024296,60336712,28,I5J48_gp28,PBI_MAJEKE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2024296,60336713,29,I5J48_gp29,PBI_MAJEKE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2024296,60336714,30,I5J48_gp30,PBI_MAJEKE_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2024296,60336715,31,I5J48_gp31,PBI_MAJEKE_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2024296,60336716,32,I5J48_gp32,PBI_MAJEKE_32,-,-,-,excise,protein-coding,-,-,-,excise,20210417,-
2024296,60336717,33,I5J48_gp33,PBI_MAJEKE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336718,34,I5J48_gp34,PBI_MAJEKE_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2024296,60336719,35,I5J48_gp35,PBI_MAJEKE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336720,36,I5J48_gp36,PBI_MAJEKE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336721,37,I5J48_gp37,PBI_MAJEKE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336722,38,I5J48_gp38,PBI_MAJEKE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2024296,60336723,39,I5J48_gp39,PBI_MAJEKE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336724,40,I5J48_gp40,PBI_MAJEKE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336725,41,I5J48_gp41,PBI_MAJEKE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336726,42,I5J48_gp42,PBI_MAJEKE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336727,43,I5J48_gp43,PBI_MAJEKE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
