#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2596980,62348741,2,JMN45_gp02,SEA_ANGLERFISH_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2596980,62348742,3,JMN45_gp03,SEA_ANGLERFISH_3,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2596980,62348743,4,JMN45_gp04,SEA_ANGLERFISH_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348744,6,JMN45_gp06,SEA_ANGLERFISH_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348745,7,JMN45_gp07,SEA_ANGLERFISH_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348746,8,JMN45_gp08,SEA_ANGLERFISH_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348747,9,JMN45_gp09,SEA_ANGLERFISH_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2596980,62348748,10,JMN45_gp10,SEA_ANGLERFISH_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2596980,62348749,11,JMN45_gp11,SEA_ANGLERFISH_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348750,12,JMN45_gp12,SEA_ANGLERFISH_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2596980,62348751,13,JMN45_gp13,SEA_ANGLERFISH_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2596980,62348752,14,JMN45_gp14,SEA_ANGLERFISH_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2596980,62348753,15,JMN45_gp15,SEA_ANGLERFISH_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2596980,62348754,16,JMN45_gp16,SEA_ANGLERFISH_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2596980,62348755,17,JMN45_gp17,SEA_ANGLERFISH_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348756,18,JMN45_gp18,SEA_ANGLERFISH_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2596980,62348757,19,JMN45_gp19,SEA_ANGLERFISH_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2596980,62348758,20,JMN45_gp20,SEA_ANGLERFISH_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2596980,62348759,21,JMN45_gp21,SEA_ANGLERFISH_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
