#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5661,13385311,LDBPK_291900,LDBPK_291900,-,-,29,-,"diphthamide synthesis protein, putative",protein-coding,-,-,-,"diphthamide synthesis protein, putative",20210424,-
5661,13385312,LDBPK_291910,LDBPK_291910,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385313,LDBPK_291920,LDBPK_291920,-,-,29,-,"40S ribosomal protein S15A, putative",protein-coding,-,-,-,"40S ribosomal protein S15A, putative",20200918,-
5661,13385314,LDBPK_291930,LDBPK_291930,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385315,LDBPK_291940,LDBPK_291940,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385316,LDBPK_291950,LDBPK_291950,-,-,29,-,"dihydrolipoamide dehydrogenase, putative",protein-coding,-,-,-,"dihydrolipoamide dehydrogenase, putative",20200918,-
5661,13385317,LDBPK_29tRNA1,LDBPK_29tRNA1,-,-,29,-,tRNA,tRNA,-,-,-,-,20200918,-
5661,13385318,LDBPK_291970,LDBPK_291970,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385319,LDBPK_291980,LDBPK_291980,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385320,LDBPK_291990,LDBPK_291990,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385321,LDBPK_292000,LDBPK_292000,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385322,LDBPK_292010,LDBPK_292010,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385323,LDBPK_292020,LDBPK_292020,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385324,LDBPK_292030,LDBPK_292030,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385325,LDBPK_292040,LDBPK_292040,-,-,29,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385326,LDBPK_292050,LDBPK_292050,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385327,LDBPK_292060,LDBPK_292060,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385328,LDBPK_292070,LDBPK_292070,-,-,29,-,"protein farnesyltransferase alpha subunit, putative",protein-coding,-,-,-,"protein farnesyltransferase alpha subunit, putative",20200918,-
5661,13385329,LDBPK_292080,LDBPK_292080,-,-,29,-,"fumarate hydratase, putative",protein-coding,-,-,-,"fumarate hydratase, putative",20200918,-
5661,13385330,LDBPK_292090,LDBPK_292090,-,-,29,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20210424,-
5661,13385331,LDBPK_292100,LDBPK_292100,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385332,LDBPK_292110,LDBPK_292110,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385333,LDBPK_292120,LDBPK_292120,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385334,LDBPK_292130,LDBPK_292130,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385335,LDBPK_292140,LDBPK_292140,-,-,29,-,"serine/threonine protein kinase, putative",protein-coding,-,-,-,"serine/threonine protein kinase, putative",20200918,-
5661,13385336,LDBPK_292150,LDBPK_292150,-,-,29,-,"N-acetylglucosaminyl transferase component, putative",protein-coding,-,-,-,"N-acetylglucosaminyl transferase component, putative",20200918,-
5661,13385337,LDBPK_292160,LDBPK_292160,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385338,LDBPK_292170,LDBPK_292170,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385339,LDBPK_292180,LDBPK_292180,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385340,LDBPK_292190,LDBPK_292190,-,-,29,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385341,LDBPK_292200,LDBPK_292200,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385342,LDBPK_292210,LDBPK_292210,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385343,LDBPK_292220,LDBPK_292220,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385344,LDBPK_292230,LDBPK_292230,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385345,LDBPK_292240,LDBPK_292240,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385346,LDBPK_292250,LDBPK_292250,-,-,29,-,C-8 sterol isomerase-like protein,protein-coding,-,-,-,C-8 sterol isomerase-like protein,20210424,-
5661,13385347,LDBPK_292260,LDBPK_292260,-,-,29,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200918,-
5661,13385348,LDBPK_292270,LDBPK_292270,-,-,29,-,"rab-GDP dissociation inhibitor, putative",protein-coding,-,-,-,"rab-GDP dissociation inhibitor, putative",20200918,-
5661,13385349,LDBPK_292280,LDBPK_292280,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385350,LDBPK_292290,LDBPK_292290,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385351,LDBPK_292300,LDBPK_292300,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385352,LDBPK_292310,LDBPK_292310,-,-,29,-,"GTP-binding protein, putative",protein-coding,-,-,-,"GTP-binding protein, putative",20200918,-
5661,13385353,LDBPK_292320,LDBPK_292320,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385354,LDBPK_292330,LDBPK_292330,-,-,29,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385355,LDBPK_292340,LDBPK_292340,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385356,LDBPK_292350,LDBPK_292350,-,-,29,-,"aminopeptidase, putative",protein-coding,-,-,-,"aminopeptidase, putative",20200918,-
5661,13385357,LDBPK_292360,LDBPK_292360,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385358,LDBPK_292370,LDBPK_292370,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385359,LDBPK_292380,LDBPK_292380,-,-,29,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385360,LDBPK_292390,LDBPK_292390,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385361,LDBPK_292400,LDBPK_292400,-,-,29,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385362,LDBPK_292410,LDBPK_292410,-,-,29,-,"ubiquitin hydrolase, putative",protein-coding,-,-,-,"ubiquitin hydrolase, putative",20200918,-
5661,13385363,LDBPK_292420,LDBPK_292420,-,-,29,-,enoyl-CoA hydratase/isomerase-like protein,protein-coding,-,-,-,enoyl-CoA hydratase/isomerase-like protein,20210424,-
5661,13385364,LDBPK_292430,LDBPK_292430,-,-,29,-,"mitogen activated protein kinase, putative",protein-coding,-,-,-,"mitogen activated protein kinase, putative",20210417,-
5661,13385365,LDBPK_292440,LDBPK_292440,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385366,LDBPK_292450,LDBPK_292450,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385367,LDBPK_292460,LDBPK_292460,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385368,LDBPK_292470,LDBPK_292470,-,-,29,-,"aspartyl aminopeptidase, putative",protein-coding,-,-,-,"aspartyl aminopeptidase, putative",20200918,-
5661,13385369,LDBPK_292480,LDBPK_292480,-,-,29,-,"60S ribosomal protein L39, putative",protein-coding,-,-,-,"60S ribosomal protein L39, putative",20210424,-
5661,13385370,LDBPK_292490,LDBPK_292490,-,-,29,-,"kinesin, putative",protein-coding,-,-,-,"kinesin, putative",20200918,-
5661,13385371,LDBPK_292500,LDBPK_292500,-,-,29,-,"kinesin, putative",protein-coding,-,-,-,"kinesin, putative",20200918,-
5661,13385372,LDBPK_292510,LDBPK_292510,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385373,LDBPK_292520,LDBPK_292520,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385374,LDBPK_292530,LDBPK_292530,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385375,LDBPK_292540,LDBPK_292540,-,-,29,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385376,LDBPK_292550,LDBPK_292550,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385377,LDBPK_292560,LDBPK_292560,-,-,29,-,"heat shock protein 20, putative",protein-coding,-,-,-,"heat shock protein 20, putative",20200918,-
5661,13385378,LDBPK_292570,LDBPK_292570,-,-,29,-,"60S ribosomal protein L13, putative",protein-coding,-,-,-,"60S ribosomal protein L13, putative",20200918,-
5661,13385379,LDBPK_292580,LDBPK_292580,-,-,29,-,"60S ribosomal protein L13, putative",protein-coding,-,-,-,"60S ribosomal protein L13, putative",20200918,-
5661,13385380,LDBPK_292590,LDBPK_292590,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385381,LDBPK_292600,LDBPK_292600,-,-,29,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200918,-
5661,13385382,LDBPK_292610,LDBPK_292610,-,-,29,-,vacuolar protein sorting-associated protein 4,protein-coding,-,-,-,vacuolar protein sorting-associated protein 4,20210424,-
5661,13385383,LDBPK_292620,LDBPK_292620,-,-,29,-,ATP-dependent phosphofructokinase,protein-coding,-,-,-,ATP-dependent phosphofructokinase,20200918,-
5661,13385384,LDBPK_292630,LDBPK_292630,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385385,LDBPK_292640,LDBPK_292640,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385386,LDBPK_292650,LDBPK_292650,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385387,LDBPK_292660,LDBPK_292660,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385388,LDBPK_292670,LDBPK_292670,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385389,LDBPK_292680,LDBPK_292680,-,-,29,-,"serine/threonine-protein kinase, putative",protein-coding,-,-,-,"serine/threonine-protein kinase, putative",20200918,-
5661,13385390,LDBPK_292690,LDBPK_292690,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385391,LDBPK_292700,LDBPK_292700,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385392,LDBPK_292710,LDBPK_292710,-,-,29,-,"poly(A) polymerase, putative",protein-coding,-,-,-,"poly(A) polymerase, putative",20200918,-
5661,13385393,LDBPK_292720,LDBPK_292720,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385394,LDBPK_292730,LDBPK_292730,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385395,LDBPK_292740,LDBPK_292740,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385396,LDBPK_292750,LDBPK_292750,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385397,LDBPK_292760,LDBPK_292760,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385398,LDBPK_292770,LDBPK_292770,-,-,29,-,"helicase, putative",protein-coding,-,-,-,"helicase, putative",20200918,-
5661,13385399,LDBPK_292780,LDBPK_292780,-,-,29,-,"serine/threonine-protein kinase Nek3, putative",protein-coding,-,-,-,"serine/threonine-protein kinase Nek3, putative",20200918,-
5661,13385400,LDBPK_292790,LDBPK_292790,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385401,LDBPK_292800,LDBPK_292800,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385402,LDBPK_292810,LDBPK_292810,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385403,LDBPK_292820,LDBPK_292820,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385404,LDBPK_292830,LDBPK_292830,-,-,29,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200918,-
5661,13385405,LDBPK_292840,LDBPK_292840,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385406,LDBPK_292850,LDBPK_292850,-,-,29,-,"actin-like protein, putative",protein-coding,-,-,-,"actin-like protein, putative",20200918,-
5661,13385407,LDBPK_292860,LDBPK_292860,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385408,LDBPK_292870,LDBPK_292870,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385409,LDBPK_292880,LDBPK_292880,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385410,LDBPK_292890,LDBPK_292890,-,-,29,-,mitochondrial carrier protein-like protein,protein-coding,-,-,-,mitochondrial carrier protein-like protein,20210424,-
5661,13385411,LDBPK_292900,LDBPK_292900,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385412,LDBPK_292910,LDBPK_292910,-,-,29,-,"inosine-adenosine-guanosine-nucleoside hydrolase, putative",protein-coding,-,-,-,"inosine-adenosine-guanosine-nucleoside hydrolase, putative",20200918,-
5661,13385413,LDBPK_292920,LDBPK_292920,-,-,29,-,ribonuclease inhibitor-like protein,protein-coding,-,-,-,ribonuclease inhibitor-like protein,20200918,-
5661,13385414,LDBPK_292930,LDBPK_292930,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385415,LDBPK_292940,LDBPK_292940,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385416,LDBPK_292950,LDBPK_292950,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385417,LDBPK_292960,LDBPK_292960,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385418,LDBPK_292980,LDBPK_292980,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385419,LDBPK_292990,LDBPK_292990,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385420,LDBPK_29tRNA2,LDBPK_29tRNA2,-,-,29,-,tRNA,tRNA,-,-,-,-,20200918,-
5661,13385421,LDBPK_291960,LDBPK_291960,-,-,29,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385422,LDBPK_290010,LDBPK_290010,-,-,29,-,"3,2-trans-enoyl-CoA isomerase, mitochondrial precursor-like protein",protein-coding,-,-,-,"3,2-trans-enoyl-CoA isomerase, mitochondrial precursor-like protein",20200918,-
5661,13385423,LDBPK_290020,LDBPK_290020,-,-,29,-,transcription factor-like protein,protein-coding,-,-,-,transcription factor-like protein,20200918,-
5661,13385424,LDBPK_300020,LDBPK_300020,-,-,30,-,"cyclophilin, putative",protein-coding,-,-,-,"cyclophilin, putative",20200918,-
5661,13385425,LDBPK_300030,LDBPK_300030,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385426,LDBPK_300040,LDBPK_300040,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385427,LDBPK_300050,LDBPK_300050,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385428,LDBPK_300060,LDBPK_300060,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385429,LDBPK_300070,LDBPK_300070,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385430,LDBPK_300080,LDBPK_300080,-,-,30,-,"mitotic cyclin, putative",protein-coding,-,-,-,"mitotic cyclin, putative",20200918,-
5661,13385431,LDBPK_300090,LDBPK_300090,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385432,LDBPK_300100,LDBPK_300100,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385433,LDBPK_300110,LDBPK_300110,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385434,LDBPK_300120,LDBPK_300120,-,-,30,-,alkyldihydroxyacetonephosphate synthase,protein-coding,-,-,-,alkyldihydroxyacetonephosphate synthase,20200918,-
5661,13385435,LDBPK_300130,LDBPK_300130,-,-,30,-,"lysyl-tRNA synthetase, putative",protein-coding,-,-,-,"lysyl-tRNA synthetase, putative",20200918,-
5661,13385436,LDBPK_300140,LDBPK_300140,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385437,LDBPK_300150,LDBPK_300150,-,-,30,-,"leucine-rich repeat protein, putative",protein-coding,-,-,-,"leucine-rich repeat protein, putative",20200918,-
5661,13385438,LDBPK_300160,LDBPK_300160,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385439,LDBPK_300170,LDBPK_300170,-,-,30,-,"2-hydroxy-3-oxopropionate reductase, putative",protein-coding,-,-,-,"2-hydroxy-3-oxopropionate reductase, putative",20200918,-
5661,13385440,LDBPK_300180,LDBPK_300180,-,-,30,-,pseudo,pseudo,-,-,-,-,20200918,-
5661,13385441,LDBPK_300190,LDBPK_300190,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385442,LDBPK_300200,LDBPK_300200,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385443,LDBPK_300210,LDBPK_300210,-,-,30,-,"ribosomal RNA adenine dimethylase family protein, putative",protein-coding,-,-,-,"ribosomal RNA adenine dimethylase family protein, putative",20200918,-
5661,13385444,LDBPK_300220,LDBPK_300220,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385445,LDBPK_300230,LDBPK_300230,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385446,LDBPK_300240,LDBPK_300240,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385447,LDBPK_300250,LDBPK_300250,-,-,30,-,"ubiquitin hydrolase, putative",protein-coding,-,-,-,"ubiquitin hydrolase, putative",20210424,-
5661,13385448,LDBPK_300260,LDBPK_300260,-,-,30,-,"Zn finger protein, putative",protein-coding,-,-,-,"Zn finger protein, putative",20200918,-
5661,13385449,LDBPK_300270,LDBPK_300270,-,-,30,-,"AUT2/APG4/ATG4 cysteine peptidase, putative",protein-coding,-,-,-,"AUT2/APG4/ATG4 cysteine peptidase, putative",20200918,-
5661,13385450,LDBPK_300280,LDBPK_300280,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385451,LDBPK_300290,LDBPK_300290,-,-,30,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385452,LDBPK_300300,LDBPK_300300,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385453,LDBPK_300310,LDBPK_300310,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385454,LDBPK_300320,LDBPK_300320,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385455,LDBPK_300340,LDBPK_300340,-,-,30,-,"KU80 protein, putative",protein-coding,-,-,-,"KU80 protein, putative",20200918,-
5661,13385456,LDBPK_300350,LDBPK_300350,-,-,30,-,"kinesin, putative",protein-coding,-,-,-,"kinesin, putative",20200918,-
5661,13385457,LDBPK_300360,LDBPK_300360,-,-,30,-,"endosomal integral membrane protein, putative",protein-coding,-,-,-,"endosomal integral membrane protein, putative",20200918,-
