#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126810,60331524,2,I5H66_gp02,SEA_MISHA28_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2126810,60331525,3,I5H66_gp03,SEA_MISHA28_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2126810,60331526,4,I5H66_gp04,SEA_MISHA28_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2126810,60331527,5,I5H66_gp05,SEA_MISHA28_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2126810,60331528,6,I5H66_gp06,SEA_MISHA28_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2126810,60331529,7,I5H66_gp07,SEA_MISHA28_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2126810,60331530,8,I5H66_gp08,SEA_MISHA28_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2126810,60331531,9,I5H66_gp09,SEA_MISHA28_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2126810,60331532,10,I5H66_gp10,SEA_MISHA28_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2126810,60331533,11,I5H66_gp11,SEA_MISHA28_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2126810,60331534,12,I5H66_gp12,SEA_MISHA28_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2126810,60331535,14,I5H66_gp13,SEA_MISHA28_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2126810,60331536,15,I5H66_gp15,SEA_MISHA28_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2126810,60331537,13,I5H66_gp14,SEA_MISHA28_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2126810,60331538,16,I5H66_gp16,SEA_MISHA28_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126810,60331539,17,I5H66_gp17,SEA_MISHA28_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126810,60331540,18,I5H66_gp18,SEA_MISHA28_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126810,60331541,19,I5H66_gp19,SEA_MISHA28_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126810,60331542,20,I5H66_gp20,SEA_MISHA28_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2126810,60331543,21,I5H66_gp21,SEA_MISHA28_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331544,22,I5H66_gp22,SEA_MISHA28_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331545,23,I5H66_gp23,SEA_MISHA28_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331546,24,I5H66_gp24,SEA_MISHA28_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331547,25,I5H66_gp25,SEA_MISHA28_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331548,26,I5H66_gp26,SEA_MISHA28_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331549,27,I5H66_gp27,SEA_MISHA28_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331550,28,I5H66_gp28,SEA_MISHA28_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331551,29,I5H66_gp29,SEA_MISHA28_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331552,30,I5H66_gp30,SEA_MISHA28_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331553,31,I5H66_gp31,SEA_MISHA28_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2126810,60331554,32,I5H66_gp32,SEA_MISHA28_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2126810,60331555,33,I5H66_gp33,SEA_MISHA28_33,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2126810,60331556,34,I5H66_gp34,SEA_MISHA28_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2126810,60331557,35,I5H66_gp35,SEA_MISHA28_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331558,36,I5H66_gp36,SEA_MISHA28_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20201129,-
2126810,60331559,37,I5H66_gp37,SEA_MISHA28_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331560,39,I5H66_gp39,SEA_MISHA28_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331561,40,I5H66_gp40,SEA_MISHA28_40,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2126810,60331562,41,I5H66_gp41,SEA_MISHA28_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331563,43,I5H66_gp43,SEA_MISHA28_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331564,44,I5H66_gp44,SEA_MISHA28_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331565,45,I5H66_gp45,SEA_MISHA28_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331566,46,I5H66_gp46,SEA_MISHA28_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331567,48,I5H66_gp48,SEA_MISHA28_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331568,49,I5H66_gp49,SEA_MISHA28_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331569,50,I5H66_gp50,SEA_MISHA28_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331570,51,I5H66_gp51,SEA_MISHA28_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331571,53,I5H66_gp53,SEA_MISHA28_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331572,54,I5H66_gp54,SEA_MISHA28_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331573,55,I5H66_gp55,SEA_MISHA28_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331574,56,I5H66_gp56,SEA_MISHA28_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331575,57,I5H66_gp57,SEA_MISHA28_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2126810,60331576,58,I5H66_gp58,SEA_MISHA28_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331577,59,I5H66_gp59,SEA_MISHA28_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331578,60,I5H66_gp60,SEA_MISHA28_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331579,61,I5H66_gp61,SEA_MISHA28_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331580,63,I5H66_gp63,SEA_MISHA28_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331581,64,I5H66_gp64,SEA_MISHA28_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331582,65,I5H66_gp65,SEA_MISHA28_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331583,66,I5H66_gp66,SEA_MISHA28_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331584,67,I5H66_gp67,SEA_MISHA28_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331585,68,I5H66_gp68,SEA_MISHA28_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331586,69,I5H66_gp69,SEA_MISHA28_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331587,70,I5H66_gp70,SEA_MISHA28_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331588,71,I5H66_gp71,SEA_MISHA28_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2126810,60331589,72,I5H66_gp72,SEA_MISHA28_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331590,73,I5H66_gp73,SEA_MISHA28_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331591,75,I5H66_gp75,SEA_MISHA28_75,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2126810,60331592,76,I5H66_gp76,SEA_MISHA28_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331593,77,I5H66_gp77,SEA_MISHA28_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331594,78,I5H66_gp78,SEA_MISHA28_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331595,79,I5H66_gp79,SEA_MISHA28_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
